date,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate
2020-03-04,,,0,1
2020-03-05,1,,0,5
2020-03-06,3,,0,7
2020-03-07,3,,0,12
2020-03-08,5,1,0,14
2020-03-09,9,2,1,19
2020-03-10,11,3,2,32
2020-03-11,17,5,2,59
2020-03-12,17,5,3,108
2020-03-13,17,5,8,149
2020-03-14,20,5,8,182
2020-03-15,22,5,8,215
2020-03-16,27,5,8,236
2020-03-17,29,6,8,243
2020-03-18,30,6,15,267
2020-03-19,30,8,18,285
2020-03-20,33,9,18,309
2020-03-21,33,9,25,339
2020-03-22,33,9,31,369
2020-03-23,36,11,37,394
2020-03-24,59,14,44,409
2020-03-25,59,14,51,449
2020-03-26,75,15,79,465
2020-03-27,82,23,90,491
2020-03-28,83,24,104,522
2020-03-29,84,24,115,534
2020-03-30,84,30,135,556
2020-03-31,84,30,144,584
2020-04-01,89,32,172,604
2020-04-02,93,35,185,624
2020-04-03,101,42,201,634
2020-04-04,107,49,204,638
2020-04-05,114,56,211,640
2020-04-06,119,70,222,645
2020-04-07,130,72,225,665
2020-04-08,136,72,228,689
2020-04-09,139,79,239,703
2020-04-10,144,83,243,719
2020-04-11,144,90,249,723
2020-04-12,147,92,249,725
2020-04-13,148,95,249,729
2020-04-14,148,106,256,738
2020-04-15,148,111,267,743
2020-04-16,152,117,279,757
2020-04-17,155,121,283,759
2020-04-18,156,122,289,764
2020-04-19,156,123,289,768
2020-04-20,158,123,292,772
2020-04-21,159,125,294,776
2020-04-22,157,128,298,784
2020-04-23,158,128,300,788
2020-04-24,159,127,303,800
2020-04-25,158,130,304,805
2020-04-26,160,131,305,807
2020-04-27,160,131,309,809
2020-04-28,162,133,312,811
2020-04-29,162,133,313,821
2020-04-30,164,133,315,822
2020-05-01,165,133,318,823
2020-05-02,165,133,318,823
2020-05-03,165,133,318,823
2020-05-04,166,134,322,823
2020-05-05,166,134,324,824
2020-05-06,165,135,324,825
2020-05-07,165,135,324,826
2020-05-08,165,135,324,830
2020-05-09,165,135,324,833
2020-05-10,165,136,324,835
2020-05-11,166,136,324,835
2020-05-12,166,136,324,837
2020-05-13,166,137,324,837
2020-05-14,166,137,324,838
2020-05-15,166,137,324,838
2020-05-16,166,137,324,839
2020-05-17,166,137,324,839
2020-05-18,166,137,324,840
2020-05-19,166,137,325,840
2020-05-20,166,137,325,840
2020-05-21,166,137,325,840
2020-05-22,166,137,325,840
2020-05-23,166,137,325,840
2020-05-24,166,137,325,841
2020-05-25,166,137,325,841
2020-05-26,166,137,325,843
2020-05-27,167,137,325,844
2020-05-28,167,137,325,844
2020-05-29,167,137,325,844
2020-05-30,167,137,325,844
2020-05-31,167,137,325,844
2020-06-01,168,137,325,845
2020-06-02,168,137,325,847
2020-06-03,168,137,325,847
2020-06-04,169,137,325,848
2020-06-05,169,137,325,853
2020-06-06,169,137,325,854
2020-06-07,169,137,325,854
2020-06-08,169,137,325,855
2020-06-09,170,137,325,856
2020-06-10,170,137,325,856
2020-06-11,170,137,325,858
2020-06-12,170,137,325,860
2020-06-13,170,137,325,863
2020-06-14,170,137,325,864
2020-06-15,170,137,325,867
2020-06-16,170,137,325,871
2020-06-17,172,137,325,877
2020-06-18,172,137,325,879
2020-06-19,172,137,325,885
2020-06-20,172,137,325,886
2020-06-21,172,137,325,887
2020-06-22,172,137,325,900
2020-06-23,173,137,325,905
2020-06-24,173,137,325,911
2020-06-25,174,137,325,921
2020-06-26,174,137,325,935
2020-06-27,174,137,325,944
2020-06-28,174,137,325,948
2020-06-29,180,137,325,957
2020-06-30,181,137,325,969
2020-07-01,182,137,325,989
2020-07-02,184,137,325,1003
2020-07-03,190,137,326,1026
2020-07-04,191,142,329,1038
2020-07-05,192,144,335,1045
2020-07-06,193,144,336,1066
2020-07-07,193,145,337,1088
2020-07-08,195,145,338,1098
2020-07-09,196,146,338,1113
2020-07-10,196,146,339,1146
2020-07-11,196,147,340,1159
2020-07-12,197,147,341,1165
2020-07-13,198,149,343,1170
2020-07-14,198,150,343,1188
2020-07-15,198,152,344,1204
2020-07-16,199,153,345,1220
2020-07-17,199,153,347,1242
2020-07-18,200,155,347,1245
2020-07-19,200,155,347,1252
2020-07-20,200,157,353,1268
2020-07-21,201,158,353,1295
2020-07-22,203,159,357,1315
2020-07-23,204,160,357,1332
2020-07-24,205,160,357,1345
2020-07-25,205,163,365,1350
2020-07-26,206,163,365,1354
2020-07-27,206,163,365,1368
2020-07-28,207,163,367,1379
2020-07-29,209,163,367,1401
2020-07-30,209,163,367,1418
2020-07-31,210,163,367,1432
2020-08-01,212,163,367,1439
2020-08-02,212,163,367,1440
2020-08-03,212,163,367,1449
2020-08-04,212,163,367,1467
2020-08-05,212,163,369,1480
2020-08-06,212,163,369,1490
2020-08-07,213,164,369,1502
2020-08-08,213,164,369,1504
2020-08-09,213,164,369,1510
2020-08-10,214,164,369,1526
2020-08-11,217,164,369,1554
2020-08-12,217,164,369,1583
2020-08-13,217,164,369,1620
2020-08-14,218,165,370,1649
2020-08-15,217,166,370,1664
2020-08-16,217,166,370,1677
2020-08-17,218,166,370,1703
2020-08-18,222,166,371,1735
2020-08-19,223,167,371,1776
2020-08-20,225,169,371,1810
2020-08-21,228,169,371,1850
2020-08-22,230,169,371,1882
2020-08-23,232,169,371,1894
2020-08-24,232,169,371,1915
2020-08-25,234,169,372,1948
2020-08-26,236,169,372,1979
2020-08-27,242,170,372,2014
2020-08-28,245,170,372,2048
2020-08-29,248,170,372,2076
2020-08-30,251,170,372,2091
