TheISOYearWeek,TheDate,st_test_PCR,st_test_HAGT,st_potrjenih_primerov
2020-02,2020-01-06,0,0,0
2020-02,2020-01-07,0,0,0
2020-02,2020-01-08,0,0,0
2020-02,2020-01-09,0,0,0
2020-02,2020-01-10,0,0,0
2020-02,2020-01-11,0,0,0
2020-02,2020-01-12,0,0,0
2020-03,2020-01-13,0,0,0
2020-03,2020-01-14,0,0,0
2020-03,2020-01-15,0,0,0
2020-03,2020-01-16,0,0,0
2020-03,2020-01-17,0,0,0
2020-03,2020-01-18,0,0,0
2020-03,2020-01-19,0,0,0
2020-04,2020-01-20,0,0,0
2020-04,2020-01-21,0,0,0
2020-04,2020-01-22,0,0,0
2020-04,2020-01-23,0,0,0
2020-04,2020-01-24,0,0,0
2020-04,2020-01-25,0,0,0
2020-04,2020-01-26,0,0,0
2020-05,2020-01-27,0,0,0
2020-05,2020-01-28,0,0,0
2020-05,2020-01-29,0,0,0
2020-05,2020-01-30,0,0,0
2020-05,2020-01-31,0,0,0
2020-05,2020-02-01,0,0,0
2020-05,2020-02-02,0,0,0
2020-06,2020-02-03,0,0,0
2020-06,2020-02-04,0,0,0
2020-06,2020-02-05,0,0,0
2020-06,2020-02-06,0,0,0
2020-06,2020-02-07,0,0,0
2020-06,2020-02-08,0,0,0
2020-06,2020-02-09,0,0,0
2020-07,2020-02-10,0,0,0
2020-07,2020-02-11,0,0,0
2020-07,2020-02-12,0,0,0
2020-07,2020-02-13,0,0,0
2020-07,2020-02-14,0,0,0
2020-07,2020-02-15,0,0,0
2020-07,2020-02-16,0,0,0
2020-08,2020-02-17,0,0,0
2020-08,2020-02-18,0,0,0
2020-08,2020-02-19,0,0,0
2020-08,2020-02-20,0,0,0
2020-08,2020-02-21,0,0,0
2020-08,2020-02-22,0,0,0
2020-08,2020-02-23,0,0,0
2020-09,2020-02-24,0,0,0
2020-09,2020-02-25,0,0,0
2020-09,2020-02-26,0,0,0
2020-09,2020-02-27,0,0,0
2020-09,2020-02-28,0,0,0
2020-09,2020-02-29,0,0,0
2020-09,2020-03-01,0,0,0
2020-10,2020-03-02,0,0,0
2020-10,2020-03-03,0,0,0
2020-10,2020-03-04,364,0,1
2020-10,2020-03-05,103,0,5
2020-10,2020-03-06,278,0,4
2020-10,2020-03-07,177,0,5
2020-10,2020-03-08,238,0,5
2020-11,2020-03-09,367,0,11
2020-11,2020-03-10,542,0,17
2020-11,2020-03-11,749,0,35
2020-11,2020-03-12,1045,0,50
2020-11,2020-03-13,1197,0,46
2020-11,2020-03-14,916,0,36
2020-11,2020-03-15,590,0,35
2020-12,2020-03-16,871,0,26
2020-12,2020-03-17,1121,0,10
2020-12,2020-03-18,1026,0,32
2020-12,2020-03-19,1184,0,23
2020-12,2020-03-20,1242,0,28
2020-12,2020-03-21,872,0,37
2020-12,2020-03-22,731,0,36
2020-13,2020-03-23,1257,0,36
2020-13,2020-03-24,1243,0,48
2020-13,2020-03-25,1181,0,47
2020-13,2020-03-26,1075,0,61
2020-13,2020-03-27,1384,0,52
2020-13,2020-03-28,999,0,47
2020-13,2020-03-29,597,0,24
2020-14,2020-03-30,1125,0,48
2020-14,2020-03-31,1288,0,37
2020-14,2020-04-01,1095,0,55
2020-14,2020-04-02,1064,0,40
2020-14,2020-04-03,1188,0,41
2020-14,2020-04-04,655,0,20
2020-14,2020-04-05,489,0,23
2020-15,2020-04-06,1202,0,35
2020-15,2020-04-07,1214,0,36
2020-15,2020-04-08,1144,0,33
2020-15,2020-04-09,1234,0,35
2020-15,2020-04-10,1232,0,29
2020-15,2020-04-11,572,0,17
