datum_izvida,stevilo_potrjenih_skupaj,stevilo_potrjenih_pcr,stevilo_potrjenih_hagt,stevilo_potrjenih_skupaj_0_17,stevilo_potrjenih_skupaj_18_24,stevilo_potrjenih_skupaj_25_44,stevilo_potrjenih_skupaj_45_64,stevilo_potrjenih_skupaj_65_74,stevilo_potrjenih_skupaj_75_plus,stevilo_potrjenih_pcr_0_17,stevilo_potrjenih_pcr_18_24,stevilo_potrjenih_pcr_25_44,stevilo_potrjenih_pcr_45_64,stevilo_potrjenih_pcr_65_74,stevilo_potrjenih_pcr_75_plus,stevilo_potrjenih_hagt_0_17,stevilo_potrjenih_hagt_18_24,stevilo_potrjenih_hagt_25_44,stevilo_potrjenih_hagt_45_64,stevilo_potrjenih_hagt_65_74,stevilo_potrjenih_hagt_75_plus,stevilo_testiranj_skupaj,stevilo_testiranj_pcr,stevilo_testiranj_hagt,stevilo_umrlih
2020-03-04,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,364,364,0,0
2020-03-05,5,5,0,0,0,3,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,103,103,0,0
2020-03-06,4,4,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,278,278,0,0
2020-03-07,5,5,0,0,0,4,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,177,177,0,0
2020-03-08,5,5,0,0,0,0,4,1,0,0,0,0,4,1,0,0,0,0,0,0,0,238,238,0,0
2020-03-09,11,11,0,0,1,4,3,2,1,0,1,4,3,2,1,0,0,0,0,0,0,367,367,0,0
2020-03-10,17,17,0,0,1,5,9,1,1,0,1,5,9,1,1,0,0,0,0,0,0,542,542,0,0
2020-03-11,35,35,0,2,2,17,10,2,2,2,2,17,10,2,2,0,0,0,0,0,0,749,749,0,0
2020-03-12,50,50,0,7,5,18,18,0,2,7,5,18,18,0,2,0,0,0,0,0,0,1045,1045,0,0
2020-03-13,46,46,0,5,3,14,16,4,4,5,3,14,16,4,4,0,0,0,0,0,0,1197,1197,0,0
2020-03-14,36,36,0,5,3,18,7,2,1,5,3,18,7,2,1,0,0,0,0,0,0,916,916,0,1
2020-03-15,35,35,0,1,3,16,14,1,0,1,3,16,14,1,0,0,0,0,0,0,0,590,590,0,0
2020-03-16,26,26,0,1,2,10,13,0,0,1,2,10,13,0,0,0,0,0,0,0,0,871,871,0,0
2020-03-17,10,10,0,1,1,4,4,0,0,1,1,4,4,0,0,0,0,0,0,0,0,1121,1121,0,0
