date,cases.vaccinated.confirmed.todate
2021-02-04,1
2021-02-05,2
2021-02-06,2
2021-02-07,2
2021-02-08,2
2021-02-09,4
2021-02-10,7
2021-02-11,7
2021-02-12,7
2021-02-13,7
2021-02-14,8
2021-02-15,8
2021-02-16,8
2021-02-17,9
2021-02-18,10
2021-02-19,13
2021-02-20,15
2021-02-21,15
2021-02-22,16
2021-02-23,18
2021-02-24,19
2021-02-25,20
2021-02-26,22
2021-02-27,22
2021-02-28,22
2021-03-01,26
2021-03-02,30
2021-03-03,33
2021-03-04,34
2021-03-05,36
2021-03-06,36
2021-03-07,36
2021-03-08,38
2021-03-09,42
2021-03-10,43
2021-03-11,45
2021-03-12,46
2021-03-13,48
2021-03-14,48
2021-03-15,52
2021-03-16,54
2021-03-17,55
2021-03-18,62
2021-03-19,68
2021-03-20,69
2021-03-21,70
2021-03-22,80
2021-03-23,83
2021-03-24,92
2021-03-25,107
2021-03-26,116
2021-03-27,121
2021-03-28,123
2021-03-29,130
2021-03-30,133
2021-03-31,141
2021-04-01,143
2021-04-02,150
2021-04-03,155
2021-04-04,156
2021-04-05,163
2021-04-06,168
2021-04-07,171
2021-04-08,181
2021-04-09,188
2021-04-10,190
2021-04-11,195
2021-04-12,202
2021-04-13,214
2021-04-14,227
2021-04-15,246
2021-04-16,263
2021-04-17,276
2021-04-18,281
2021-04-19,298
2021-04-20,314
2021-04-21,321
2021-04-22,341
2021-04-23,348
2021-04-24,350
2021-04-25,352
2021-04-26,361
2021-04-27,363
2021-04-28,371
2021-04-29,375
2021-04-30,384
2021-05-01,390
2021-05-02,392
2021-05-03,400
2021-05-04,405
2021-05-05,410
2021-05-06,419
2021-05-07,437
2021-05-08,439
2021-05-09,442
2021-05-10,452
2021-05-11,462
2021-05-12,467
2021-05-13,474
2021-05-14,480
2021-05-15,486
2021-05-16,488
2021-05-17,494
2021-05-18,498
2021-05-19,501
2021-05-20,504
2021-05-21,512
2021-05-22,513
2021-05-23,513
2021-05-24,515
2021-05-25,521
2021-05-26,528
2021-05-27,531
2021-05-28,536
2021-05-29,539
2021-05-30,540
2021-05-31,547
2021-06-01,554
2021-06-02,568
2021-06-03,575
2021-06-04,582
2021-06-05,587
2021-06-06,591
2021-06-07,599
2021-06-08,607
2021-06-09,613
2021-06-10,619
2021-06-11,621
2021-06-12,623
2021-06-13,626
2021-06-14,631
2021-06-15,638
2021-06-16,646
2021-06-17,652
2021-06-18,652
2021-06-19,652
2021-06-20,652
2021-06-21,655
2021-06-22,658
2021-06-23,661
2021-06-24,665
2021-06-25,665
2021-06-26,665
2021-06-27,665
2021-06-28,667
2021-06-29,668
2021-06-30,670
2021-07-01,671
2021-07-02,672
2021-07-03,672
2021-07-04,672
2021-07-05,676
2021-07-06,680
2021-07-07,683
2021-07-08,689
2021-07-09,692
2021-07-10,692
2021-07-11,693
2021-07-12,706
2021-07-13,716
2021-07-14,719
2021-07-15,724
2021-07-16,731
2021-07-17,733
2021-07-18,735
2021-07-19,746
2021-07-20,756
2021-07-21,765
2021-07-22,775
2021-07-23,782
2021-07-24,783
2021-07-25,788
2021-07-26,799
2021-07-27,811
2021-07-28,828
2021-07-29,843
2021-07-30,863
2021-07-31,870
2021-08-01,876
2021-08-02,902
2021-08-03,916
2021-08-04,932
2021-08-05,955
2021-08-06,974
2021-08-07,984
2021-08-08,991
2021-08-09,1022
2021-08-10,1059
2021-08-11,1091
2021-08-12,1114
2021-08-13,1152
2021-08-14,1174
2021-08-15,1184
2021-08-16,1244
2021-08-17,1295
2021-08-18,1356
2021-08-19,1411
2021-08-20,1472
2021-08-21,1512
2021-08-22,1529
2021-08-23,1621
2021-08-24,1718
2021-08-25,1808
2021-08-26,1929
2021-08-27,2057
2021-08-28,2112
2021-08-29,2145
2021-08-30,2251
2021-08-31,2411
2021-09-01,2564
2021-09-02,2701
2021-09-03,2849
2021-09-04,2904
2021-09-05,2949
2021-09-06,3152
2021-09-07,3384
2021-09-08,3610
2021-09-09,3823
2021-09-10,4066
2021-09-11,4174
2021-09-12,4252
2021-09-13,4545
2021-09-14,4839
2021-09-15,5128
2021-09-16,5363
2021-09-17,5665
2021-09-18,5780
2021-09-19,5846
2021-09-20,6177
2021-09-21,6450
2021-09-22,6693
2021-09-23,6928
2021-09-24,7147
2021-09-25,7270
2021-09-26,7329
2021-09-27,7592
2021-09-28,7986
2021-09-29,8255
2021-09-30,8549
2021-10-01,8828
2021-10-02,8967
2021-10-03,9016
2021-10-04,9239
2021-10-05,9547
2021-10-06,9789
2021-10-07,10003
2021-10-08,10237
2021-10-09,10371
2021-10-10,10421
2021-10-11,10695
2021-10-12,11048
2021-10-13,11367
2021-10-14,11711
2021-10-15,12195
2021-10-16,12404
2021-10-17,12547
2021-10-18,13056
2021-10-19,13768
2021-10-20,14407
2021-10-21,15099
2021-10-22,15861
2021-10-23,16350
2021-10-24,16572
2021-10-25,17366
2021-10-26,18511
2021-10-27,19447
2021-10-28,20339
