date,deceased
2010-01-01,58
2010-01-02,43
2010-01-03,58
2010-01-04,65
2010-01-05,49
2010-01-06,57
2010-01-07,56
2010-01-08,53
2010-01-09,51
2010-01-10,49
2010-01-11,52
2010-01-12,48
2010-01-13,48
2010-01-14,50
2010-01-15,48
2010-01-16,49
2010-01-17,48
2010-01-18,56
2010-01-19,41
2010-01-20,52
2010-01-21,51
2010-01-22,59
2010-01-23,57
2010-01-24,42
2010-01-25,65
2010-01-26,49
2010-01-27,47
2010-01-28,62
2010-01-29,50
2010-01-30,55
2010-01-31,65
2010-02-01,58
2010-02-02,49
2010-02-03,65
2010-02-04,64
2010-02-05,62
2010-02-06,50
2010-02-07,64
2010-02-08,73
2010-02-09,54
2010-02-10,51
2010-02-11,48
2010-02-12,42
2010-02-13,54
2010-02-14,48
2010-02-15,46
2010-02-16,66
2010-02-17,51
2010-02-18,67
2010-02-19,58
2010-02-20,53
2010-02-21,51
2010-02-22,75
2010-02-23,75
2010-02-24,58
2010-02-25,58
2010-02-26,68
2010-02-27,67
2010-02-28,66
2010-03-01,51
2010-03-02,54
2010-03-03,49
2010-03-04,52
2010-03-05,66
2010-03-06,59
2010-03-07,55
2010-03-08,47
2010-03-09,56
2010-03-10,63
2010-03-11,47
2010-03-12,47
2010-03-13,64
2010-03-14,62
2010-03-15,56
2010-03-16,66
2010-03-17,49
2010-03-18,54
2010-03-19,57
2010-03-20,48
2010-03-21,49
2010-03-22,54
2010-03-23,69
2010-03-24,54
2010-03-25,46
2010-03-26,44
2010-03-27,53
2010-03-28,59
2010-03-29,48
2010-03-30,55
2010-03-31,50
2010-04-01,60
2010-04-02,63
2010-04-03,39
2010-04-04,47
2010-04-05,50
2010-04-06,57
2010-04-07,49
2010-04-08,63
2010-04-09,52
2010-04-10,52
2010-04-11,53
2010-04-12,58
2010-04-13,58
2010-04-14,76
2010-04-15,61
2010-04-16,53
2010-04-17,51
2010-04-18,51
2010-04-19,67
2010-04-20,41
2010-04-21,54
2010-04-22,57
2010-04-23,50
2010-04-24,53
2010-04-25,46
2010-04-26,69
2010-04-27,47
2010-04-28,70
2010-04-29,47
2010-04-30,61
2010-05-01,73
2010-05-02,51
2010-05-03,38
2010-05-04,54
2010-05-05,53
2010-05-06,56
2010-05-07,64
2010-05-08,45
2010-05-09,59
2010-05-10,58
2010-05-11,56
2010-05-12,49
2010-05-13,54
2010-05-14,52
2010-05-15,40
2010-05-16,59
2010-05-17,56
2010-05-18,50
2010-05-19,49
2010-05-20,49
2010-05-21,47
2010-05-22,56
2010-05-23,55
2010-05-24,59
2010-05-25,49
2010-05-26,44
2010-05-27,48
2010-05-28,46
2010-05-29,52
2010-05-30,49
2010-05-31,47
2010-06-01,57
2010-06-02,47
2010-06-03,41
2010-06-04,59
2010-06-05,62
2010-06-06,68
2010-06-07,61
2010-06-08,55
2010-06-09,56
2010-06-10,45
2010-06-11,63
2010-06-12,62
