date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+
2010-01-01,,,,,,1,3,24,,,1,,,1,3,27
2010-01-02,,,,,,,1,27,,,,,,2,,15
2010-01-03,,,,,,1,2,28,,,,1,,,4,22
2010-01-04,,,,,,,4,26,,1,,1,1,1,2,30
2010-01-05,,,,,,,1,21,,,,,,,5,23
2010-01-06,,,,,,2,2,15,,1,,,,1,4,32
2010-01-07,,,,,,1,3,26,,,,,1,,4,22
2010-01-08,,,,,,1,1,27,,,,,,3,3,18
2010-01-09,,,,,,1,1,28,,,,,1,1,3,18
2010-01-10,,1,,,,,2,20,,,,,,1,3,22
2010-01-11,,,,,,1,1,21,,,,,,3,6,21
2010-01-12,,,,,,1,1,20,,,,,,1,1,25
2010-01-13,,,,,,,,27,,,,,,1,2,21
2010-01-14,,,,,,,1,23,,,,,,,4,22
2010-01-15,,,,,,,,22,,,,2,,1,1,22
2010-01-16,,,,,,,,24,,,1,,,2,1,23
2010-01-17,,,,,,2,3,18,,,,1,,,2,22
2010-01-18,,,,,1,1,2,28,,,,,,,6,18
2010-01-19,,,,,,,3,15,,,,1,1,1,4,14
2010-01-20,,,,,2,,1,13,,,,1,,2,3,29
2010-01-21,,1,,,,,4,21,,,,,,1,3,21
2010-01-22,,,,,,,1,32,,,,,1,,3,23
2010-01-23,,,,,,1,2,20,,,,,,4,4,28
2010-01-24,,,,,,,,23,,,,,1,,2,16
2010-01-25,,,,1,,1,3,34,,,,,,,4,25
2010-01-26,,,,,,,2,24,,,,,,1,3,19
2010-01-27,,,,,,,,28,,,,,,1,1,19
2010-01-28,,1,,,,2,2,28,,,,,1,,3,28
2010-01-29,,,,,,,2,24,,,,,,1,,25
2010-01-30,,,,,1,,1,22,,,,,,1,6,25
2010-01-31,,,,,2,,,36,,,,,,2,5,21
2010-02-01,,,,,2,,,30,,,,2,,2,1,24
2010-02-02,,,,,,,1,21,,,,,1,,3,24
2010-02-03,,,,1,,,1,33,,,,,,3,3,24
2010-02-04,,3,,,1,1,,33,,,,,,,6,24
2010-02-05,,1,,,,,1,24,,,,,1,3,7,25
2010-02-06,,,,,1,1,1,28,,,,,,2,2,18
2010-02-07,,,,,,,1,24,,,2,,,,3,32
2010-02-08,,,,,,1,,33,,,,,,3,7,29
2010-02-09,,,,,,1,,22,,,,,,3,3,24
2010-02-10,,,,,,1,4,20,,,,,,,5,21
2010-02-11,,,,,1,,2,19,,,,,2,,2,23
2010-02-12,,1,,,,,1,19,,,,,,2,4,15
2010-02-13,,,,,,,1,25,,,1,1,1,1,4,21
2010-02-14,,,,,,,,21,,,,1,1,,4,22
2010-02-15,,,,,,1,2,19,,,,,,2,2,22
2010-02-16,,1,,,,3,1,22,,,,,,1,5,34
2010-02-17,,,,,,,,27,,,1,1,,,,23
2010-02-18,,1,,,,,3,30,,,,,,,4,30
2010-02-19,,,,,,1,6,30,,,,,,2,2,22
2010-02-20,,,,,,1,1,26,,,,,1,,5,19
2010-02-21,,,,,,1,2,23,,,,,,1,1,22
2010-02-22,,,,,,,5,40,,,,1,,3,2,25
2010-02-23,,,,,1,,2,35,,,,,1,3,3,32
2010-02-24,,,,,1,1,2,28,,1,,,,,4,23
2010-02-25,,,,,,,1,26,,,,2,,2,3,23
2010-02-26,,,,,,1,1,26,,,,,2,1,2,37
2010-02-27,,1,,,1,2,1,34,,,,,2,2,2,23
2010-02-28,,1,,1,,,1,31,,,,2,,1,6,24
2010-03-01,,,,,,1,1,22,,,,,,2,4,23
2010-03-02,,,,,,1,2,25,,,,,,,5,23
2010-03-03,,1,,,,,1,21,,,,,2,1,4,19
2010-03-04,,,,,1,,2,26,,,,,,4,1,19
2010-03-05,,,,,,,2,31,,,,,1,,4,28
2010-03-06,,,,,,2,3,24,,,,,1,2,4,21
2010-03-07,,,1,,,1,2,32,,1,,,,2,3,17
