iso.code,municipality.name,ue.id,ue.name,region.id,region.code,region.name
SI-001,Ajdovščina,1,Ajdovščina,11,ng,Goriška
SI-213,Ankaran/Ancarano,17,Koper,12,kp,Obalno-kraška
SI-195,Apače,8,Gornja Radgona,1,ms,Pomurska
SI-002,Beltinci,36,Murska Sobota,1,ms,Pomurska
SI-148,Benedikt,21,Lenart,2,mb,Podravska
SI-149,Bistrica ob Sotli,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-003,Bled,44,Radovljica,9,kr,Gorenjska
SI-150,Bloke,4,Cerknica,10,po,Primorsko-notranjska
SI-004,Bohinj,44,Radovljica,9,kr,Gorenjska
SI-005,Borovnica,60,Vrhnika,8,lj,Osrednjeslovenska
SI-006,Bovec,55,Tolmin,11,ng,Goriška
SI-151,Braslovče,62,Žalec,4,ce,Savinjska
SI-007,Brda,37,Nova Gorica,11,ng,Goriška
SI-009,Brežice,2,Brežice,6,kk,Posavska
SI-008,Brezovica,24,Ljubljana,8,lj,Osrednjeslovenska
SI-152,Cankova,36,Murska Sobota,1,ms,Pomurska
SI-011,Celje,3,Celje,4,ce,Savinjska
SI-012,Cerklje na Gorenjskem,18,Kranj,9,kr,Gorenjska
SI-013,Cerknica,4,Cerknica,10,po,Primorsko-notranjska
SI-014,Cerkno,11,Idrija,11,ng,Goriška
SI-153,Cerkvenjak,21,Lenart,2,mb,Podravska
SI-196,Cirkulane,42,Ptuj,2,mb,Podravska
SI-015,Črenšovci,22,Lendava,1,ms,Pomurska
SI-016,Črna na Koroškem,45,Ravne na Koroškem,3,sg,Koroška
SI-017,Črnomelj,5,Črnomelj,7,nm,Jugovzhodna Slovenija
SI-018,Destrnik,42,Ptuj,2,mb,Podravska
SI-019,Divača,48,Sežana,12,kp,Obalno-kraška
SI-154,Dobje,52,Šentjur pri Celju,4,ce,Savinjska
SI-020,Dobrepolje,9,Grosuplje,8,lj,Osrednjeslovenska
SI-155,Dobrna,3,Celje,4,ce,Savinjska
SI-021,Dobrova - Polhov Gradec,24,Ljubljana,8,lj,Osrednjeslovenska
SI-156,Dobrovnik/Dobronak,22,Lendava,1,ms,Pomurska
SI-022,Dol pri Ljubljani,24,Ljubljana,8,lj,Osrednjeslovenska
SI-157,Dolenjske Toplice,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-023,Domžale,6,Domžale,8,lj,Osrednjeslovenska
SI-024,Dornava,42,Ptuj,2,mb,Podravska
SI-025,Dravograd,7,Dravograd,3,sg,Koroška
SI-026,Duplek,64,Maribor,2,mb,Podravska
SI-027,Gorenja vas - Poljane,53,Škofja Loka,9,kr,Gorenjska
SI-028,Gorišnica,42,Ptuj,2,mb,Podravska
SI-207,Gorje,44,Radovljica,9,kr,Gorenjska
SI-029,Gornja Radgona,8,Gornja Radgona,1,ms,Pomurska
SI-030,Gornji Grad,35,Mozirje,4,ce,Savinjska
SI-031,Gornji Petrovci,36,Murska Sobota,1,ms,Pomurska
SI-158,Grad,36,Murska Sobota,1,ms,Pomurska
SI-032,Grosuplje,9,Grosuplje,8,lj,Osrednjeslovenska
SI-159,Hajdina,42,Ptuj,2,mb,Podravska
SI-160,Hoče - Slivnica,64,Maribor,2,mb,Podravska
SI-161,Hodoš/Hodos,36,Murska Sobota,1,ms,Pomurska
SI-162,Horjul,24,Ljubljana,8,lj,Osrednjeslovenska
SI-034,Hrastnik,10,Hrastnik,5,za,Zasavska
SI-035,Hrpelje - Kozina,48,Sežana,12,kp,Obalno-kraška
SI-036,Idrija,11,Idrija,11,ng,Goriška
SI-037,Ig,24,Ljubljana,8,lj,Osrednjeslovenska
SI-038,Ilirska Bistrica,12,Ilirska Bistrica,10,po,Primorsko-notranjska
SI-039,Ivančna Gorica1,9,Grosuplje,8,lj,Osrednjeslovenska
SI-040,Izola/Isola,13,Izola,12,kp,Obalno-kraška
SI-041,Jesenice,14,Jesenice,9,kr,Gorenjska
SI-163,Jezersko,18,Kranj,9,kr,Gorenjska
SI-042,Juršinci,42,Ptuj,2,mb,Podravska
SI-043,Kamnik,15,Kamnik,8,lj,Osrednjeslovenska
SI-044,Kanal,37,Nova Gorica,11,ng,Goriška
SI-045,Kidričevo,42,Ptuj,2,mb,Podravska
SI-046,Kobarid,55,Tolmin,11,ng,Goriška
SI-047,Kobilje,22,Lendava,1,ms,Pomurska
SI-048,Kočevje,16,Kočevje,7,nm,Jugovzhodna Slovenija
SI-049,Komen,48,Sežana,12,kp,Obalno-kraška
SI-164,Komenda,15,Kamnik,8,lj,Osrednjeslovenska
SI-050,Koper/Capodistria,17,Koper,12,kp,Obalno-kraška
SI-197,Kostanjevica na Krki,19,Krško,6,kk,Posavska
SI-165,Kostel,16,Kočevje,7,nm,Jugovzhodna Slovenija
SI-051,Kozje,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-052,Kranj,18,Kranj,9,kr,Gorenjska
SI-053,Kranjska Gora,14,Jesenice,9,kr,Gorenjska
SI-166,Križevci,29,Ljutomer,1,ms,Pomurska
SI-054,Krško,19,Krško,6,kk,Posavska
SI-055,Kungota,65,Pesnica,2,mb,Podravska
SI-056,Kuzma,36,Murska Sobota,1,ms,Pomurska
SI-057,Laško,20,Laško,4,ce,Savinjska
SI-058,Lenart,21,Lenart,2,mb,Podravska
SI-059,Lendava/Lendva,22,Lendava,1,ms,Pomurska
SI-060,Litija,23,Litija,6,kk,Zasavska
SI-061,Ljubljana,24,Ljubljana,8,lj,Osrednjeslovenska
SI-062,Ljubno,35,Mozirje,4,ce,Savinjska
SI-063,Ljutomer,29,Ljutomer,1,ms,Pomurska
SI-208,Log - Dragomer,60,Vrhnika,8,lj,Osrednjeslovenska
SI-064,Logatec,30,Logatec,8,lj,Osrednjeslovenska
SI-065,Loška dolina,4,Cerknica,10,po,Primorsko-notranjska
SI-066,Loški potok,46,Ribnica,7,nm,Jugovzhodna Slovenija
SI-167,Lovrenc na Pohorju,68,Ruše,2,mb,Podravska
SI-067,Luče,35,Mozirje,4,ce,Savinjska
SI-068,Lukovica,6,Domžale,8,lj,Osrednjeslovenska
SI-069,Majšperk,42,Ptuj,2,mb,Podravska
SI-198,Makole,50,Slovenska Bistrica,2,mb,Podravska
SI-070,Maribor,64,Maribor,2,mb,Podravska
SI-168,Markovci,42,Ptuj,2,mb,Podravska
SI-071,Medvode,24,Ljubljana,8,lj,Osrednjeslovenska
SI-072,Mengeš,6,Domžale,8,lj,Osrednjeslovenska
SI-073,Metlika,34,Metlika,7,nm,Jugovzhodna Slovenija
SI-074,Mežica,45,Ravne na Koroškem,3,sg,Koroška
SI-169,Miklavž na Dravskem polju,64,Maribor,2,mb,Podravska
SI-075,Miren - Kostanjevica,37,Nova Gorica,11,ng,Goriška
SI-212,Mirna,57,Trebnje,7,nm,Jugovzhodna Slovenija
SI-170,Mirna Peč,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-076,Mislinja,49,Slovenj Gradec,3,sg,Koroška
SI-199,Mokronog - Trebelno,57,Trebnje,7,nm,Jugovzhodna Slovenija
SI-077,Moravče,6,Domžale,8,lj,Osrednjeslovenska
SI-078,Moravske Toplice,36,Murska Sobota,1,ms,Pomurska
SI-079,Mozirje,35,Mozirje,4,ce,Savinjska
SI-080,Murska Sobota,36,Murska Sobota,1,ms,Pomurska
SI-081,Muta,43,Radlje ob Dravi,3,sg,Koroška
SI-082,Naklo,18,Kranj,9,kr,Gorenjska
SI-083,Nazarje,35,Mozirje,4,ce,Savinjska
SI-084,Nova Gorica,37,Nova Gorica,11,ng,Goriška
SI-085,Novo mesto,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-086,Odranci,22,Lendava,1,ms,Pomurska
SI-171,Oplotnica,50,Slovenska Bistrica,2,mb,Podravska
SI-087,Ormož,39,Ormož,2,mb,Podravska
SI-088,Osilnica,16,Kočevje,7,nm,Jugovzhodna Slovenija
SI-089,Pesnica3,65,Pesnica,2,mb,Podravska
SI-090,Piran/Pirano,40,Piran,12,kp,Obalno-kraška
SI-091,Pivka,41,Postojna,10,po,Primorsko-notranjska
SI-092,Podčetrtek,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-172,Podlehnik,42,Ptuj,2,mb,Podravska
SI-093,Podvelka,43,Radlje ob Dravi,3,sg,Koroška
SI-200,Poljčane,50,Slovenska Bistrica,2,mb,Podravska
SI-173,Polzela,62,Žalec,4,ce,Savinjska
SI-094,Postojna,41,Postojna,10,po,Primorsko-notranjska
SI-174,Prebold,62,Žalec,4,ce,Savinjska
SI-095,Preddvor,18,Kranj,9,kr,Gorenjska
SI-175,Prevalje,45,Ravne na Koroškem,3,sg,Koroška
SI-096,Ptuj,42,Ptuj,2,mb,Podravska
SI-097,Puconci,36,Murska Sobota,1,ms,Pomurska
SI-098,Rače - Fram,64,Maribor,2,mb,Podravska
SI-099,Radeče,20,Laško,4,ce,Savinjska
SI-100,Radenci,8,Gornja Radgona,1,ms,Pomurska
SI-101,Radlje ob Dravi,43,Radlje ob Dravi,3,sg,Koroška
SI-102,Radovljica,44,Radovljica,9,kr,Gorenjska
SI-103,Ravne na Koroškem,45,Ravne na Koroškem,3,sg,Koroška
SI-176,Razkrižje,29,Ljutomer,1,ms,Pomurska
SI-209,Rečica ob Savinji,35,Mozirje,4,ce,Savinjska
SI-201,Renče - Vogrsko,37,Nova Gorica,11,ng,Goriška
SI-104,Ribnica,46,Ribnica,7,nm,Jugovzhodna Slovenija
SI-177,Ribnica na Pohorju,43,Radlje ob Dravi,3,sg,Koroška
SI-106,Rogaška Slatina,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-105,Rogašovci,36,Murska Sobota,1,ms,Pomurska
SI-107,Rogatec,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-108,Ruše,68,Ruše,2,mb,Podravska
SI-033,Šalovci,36,Murska Sobota,1,ms,Pomurska
SI-178,Selnica ob Dravi,68,Ruše,2,mb,Podravska
SI-109,Semič,5,Črnomelj,7,nm,Jugovzhodna Slovenija
SI-183,Šempeter - Vrtojba,37,Nova Gorica,11,ng,Goriška
SI-117,Šenčur,18,Kranj,9,kr,Gorenjska
SI-118,Šentilj,65,Pesnica,2,mb,Podravska
SI-119,Šentjernej,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-120,Šentjur pri Celju,52,Šentjur pri Celju,4,ce,Savinjska
SI-211,Šentrupert,57,Trebnje,7,nm,Jugovzhodna Slovenija
SI-110,Sevnica,47,Sevnica,6,kk,Posavska
SI-111,Sežana,48,Sežana,12,kp,Obalno-kraška
SI-121,Škocjan2,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-122,Škofja Loka,53,Škofja Loka,9,kr,Gorenjska
SI-123,Škofljica,24,Ljubljana,8,lj,Osrednjeslovenska
SI-112,Slovenj Gradec,49,Slovenj Gradec,3,sg,Koroška
SI-113,Slovenska Bistrica,50,Slovenska Bistrica,2,mb,Podravska
SI-114,Slovenske Konjice,51,Slovenske Konjice,4,ce,Savinjska
SI-124,Šmarje pri Jelšah,54,Šmarje pri Jelšah,4,ce,Savinjska
SI-206,Šmarješke Toplice,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-125,Šmartno ob Paki,59,Velenje,4,ce,Savinjska
SI-194,Šmartno pri Litiji,23,Litija,6,kk,Zasavska
SI-179,Sodražica,46,Ribnica,7,nm,Jugovzhodna Slovenija
SI-180,Solčava,35,Mozirje,4,ce,Savinjska
SI-126,Šoštanj,59,Velenje,4,ce,Savinjska
SI-202,Središče ob Dravi,39,Ormož,2,mb,Podravska
SI-115,Starše,64,Maribor,2,mb,Podravska
SI-127,Štore,3,Celje,4,ce,Savinjska
SI-203,Straža,38,Novo mesto,7,nm,Jugovzhodna Slovenija
SI-181,Sveta Ana,21,Lenart,2,mb,Podravska
SI-204,Sveta Trojica v Slov. goricah,21,Lenart,2,mb,Podravska
SI-182,Sveti Andraž v Slov. goricah,42,Ptuj,2,mb,Podravska
SI-116,Sveti Jurij ob Ščavnici,8,Gornja Radgona,1,ms,Pomurska
SI-210,Sveti Jurij v Slov. goricah,21,Lenart,2,mb,Podravska
SI-205,Sveti Tomaž,39,Ormož,2,mb,Podravska
SI-184,Tabor,62,Žalec,4,ce,Savinjska
SI-010,Tišina,36,Murska Sobota,1,ms,Pomurska
SI-128,Tolmin,55,Tolmin,11,ng,Goriška
SI-129,Trbovlje,56,Trbovlje,5,za,Zasavska
SI-130,Trebnje,57,Trebnje,7,nm,Jugovzhodna Slovenija
SI-185,Trnovska vas,42,Ptuj,2,mb,Podravska
SI-131,Tržič,58,Tržič,9,kr,Gorenjska
SI-186,Trzin,6,Domžale,8,lj,Osrednjeslovenska
SI-132,Turnišče,22,Lendava,1,ms,Pomurska
SI-133,Velenje,59,Velenje,4,ce,Savinjska
SI-187,Velika Polana,22,Lendava,1,ms,Pomurska
SI-134,Velike Lašče,24,Ljubljana,8,lj,Osrednjeslovenska
SI-188,Veržej,29,Ljutomer,1,ms,Pomurska
SI-135,Videm,42,Ptuj,2,mb,Podravska
SI-136,Vipava,1,Ajdovščina,11,ng,Goriška
SI-137,Vitanje,51,Slovenske Konjice,4,ce,Savinjska
SI-138,Vodice,24,Ljubljana,8,lj,Osrednjeslovenska
SI-139,Vojnik,3,Celje,4,ce,Savinjska
SI-189,Vransko,62,Žalec,4,ce,Savinjska
SI-140,Vrhnika,60,Vrhnika,8,lj,Osrednjeslovenska
SI-141,Vuzenica,43,Radlje ob Dravi,3,sg,Koroška
SI-142,Zagorje ob Savi,61,Zagorje ob Savi,5,za,Zasavska
SI-190,Žalec,62,Žalec,4,ce,Savinjska
SI-143,Zavrč,42,Ptuj,2,mb,Podravska
SI-146,Železniki,53,Škofja Loka,9,kr,Gorenjska
SI-191,Žetale,42,Ptuj,2,mb,Podravska
SI-147,Žiri,53,Škofja Loka,9,kr,Gorenjska
SI-192,Žirovnica,14,Jesenice,9,kr,Gorenjska
SI-144,Zreče,51,Slovenske Konjice,4,ce,Savinjska
SI-193,Žužemberk,38,Novo mesto,7,nm,Jugovzhodna Slovenija
