id,name,url
bse,Bolnišnica Sežana,https://www.bolnisnica-sezana.si/
bto,Bolnišnica Topolščica,http://www.boltop.si/
sbbr,SB Brežice,https://www.sb-brezice.si/
sbce,SB Celje,https://www.sb-celje.si/
sbiz,SB Izola,https://www.sb-izola.si/
sbje,SB Jesenice,https://www.sb-je.si/
sbms,SB Murska Sobota,https://www.sb-ms.si/
sbng,SB Nova Gorica,http://www.bolnisnica-go.si/
sbnm,SB Novo mesto,https://www.sb-nm.si/
sbpt,SB Ptuj,http://www.sb-ptuj.si/
sbsg,SB Slovenj Gradec,https://www.sb-sg.si/
sbtr,SB Trbovlje,http://www.sb-trbovlje.si/
ukclj,UKC Ljubljana,https://www.kclj.si/
ukcmb,UKC Maribor,https://www.ukc-mb.si/
ukg,UK Golnik,https://www.klinika-golnik.si/
upklj,UPK Ljubljana,https://www.psih-klinika.si/
pbbe,PB Begunje,https://www.pb-begunje.si/
pbvo,PB Vojnik,https://www.pb-vojnik.si/
pbor,PB Ormož,https://www.pb-ormoz.si/
pbid,PB Idrija,https://www.pb-idrija.si/
