id,region,name,name_alt,iso_code,population,area,pop_dens,geo-longitude,geo-latitude
slovenija,si,SLOVENIJA,Slovenija,,2108977,20271,103,14.817781480,46.119864030
ajdovščina,ng,Ajdovščina,,SI-001,19704,245,79,13.907659690,45.899366859
ankaran,kp,Ankaran/Ancarano,Ankaran,SI-213,3261,8,403,13.742476813,45.575384077
apače,ms,Apače,,SI-195,3556,54,65,15.873497968,46.693012120
beltinci,ms,Beltinci,,SI-002,8068,62,130,16.231721512,46.607991794
benedikt,mb,Benedikt,,SI-148,2614,24,109,15.890981294,46.617306836
bistrica_ob_sotli,kk,Bistrica ob Sotli,,SI-149,1356,31,43,15.646830114,46.058621260
bled,kr,Bled,,SI-003,8217,72,109,14.078749847,46.345646516
bloke,po,Bloke,,SI-150,1616,75,21,14.510304404,45.783879362
bohinj,kr,Bohinj,,SI-004,5611,334,15,13.915927468,46.294110579
borovnica,lj,Borovnica,,SI-005,4664,42,109,14.378284147,45.913136888
bovec,ng,Bovec,,SI-006,3245,367,8,13.623630433,46.355576276
braslovče,ce,Braslovče,,SI-151,5656,55,103,15.025603949,46.282333557
brda,ng,Brda,,SI-007,5639,72,78,13.545399629,46.012480983
brezovica,lj,Brezovica,,SI-008,12785,91,139,15.620854128,45.931508108
brežice,kk,Brežice,,SI-009,24419,268,90,14.424489510,45.948344129
cankova,ms,Cankova,,SI-152,1753,31,56,16.025027901,46.735638248
celje,ce,Celje,,SI-011,49007,95,521,15.266047741,46.248610163
cerklje_na_gorenjskem,kr,Cerklje na Gorenjskem,,SI-012,7859,78,100,14.500023328,46.252837624
cerknica,po,Cerknica,,SI-013,11691,241,48,14.378040824,45.804822100
cerkno,ng,Cerkno,,SI-014,4547,132,34,13.972386089,46.124666510
cerkvenjak,mb,Cerkvenjak,,SI-153,2171,25,83,15.942536637,46.560971419
cirkulane,mb,Cirkulane,,SI-196,2378,32,73,15.995350511,46.341645792
črenšovci,ms,Črenšovci,,SI-015,3972,34,117,16.295700941,46.555889415
