id,name,population,nuts_3,nuts_2,nuts_1
si,SLOVENIJA,2100126,,,SI0
ms,Pomurska,114397,SI031,SI03,
mb,Podravska,326510,SI032,SI03,
sg,Koroška,70835,SI033,SI03,
ce,Savinjska,258345,SI034,SI03,
za,Zasavska,57148,SI035,SI03,
kk,Posavska,75983,SI036,SI03,
nm,Jugovzhodna Slovenija,145859,SI037,SI03,
lj,Osrednjeslovenska,554823,SI041,SI04,
kr,Gorenjska,207842,SI042,SI04,
po,Primorsko-notranjska,53092,SI038,SI03,
ng,Goriška,118421,SI043,SI04,
kp,Obalno-kraška,116871,SI044,SI04,
t,TUJCI,,,,
n,NEZNANO,,,,
