risk_factor,sex,age_group,prevalence
Astma (vključno z alergijsko astmo),male,15-24,4.1
Astma (vključno z alergijsko astmo),male,25-34,3.8
Astma (vključno z alergijsko astmo),male,35-44,2.9
Astma (vključno z alergijsko astmo),male,45-54,5.3
Astma (vključno z alergijsko astmo),male,55-64,3.6
Astma (vključno z alergijsko astmo),male,65-74,5.4
Astma (vključno z alergijsko astmo),male,75+,11.6
Astma (vključno z alergijsko astmo),female,15-24,6.2
Astma (vključno z alergijsko astmo),female,25-34,2.1
Astma (vključno z alergijsko astmo),female,35-44,6.5
Astma (vključno z alergijsko astmo),female,45-54,5.2
Astma (vključno z alergijsko astmo),female,55-64,5.1
Astma (vključno z alergijsko astmo),female,65-74,6.4
Astma (vključno z alergijsko astmo),female,75+,7.2
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,15-24,1.3
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,25-34,2.4
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,35-44,2.1
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,45-54,2.3
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,55-64,5.2
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,65-74,9.8
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",male,75+,10.2
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,15-24,1.9
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,25-34,2.1
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,35-44,2.4
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,45-54,4.7
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,55-64,6.2
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,65-74,4.5
"Kronični bronhitis, kronična obstruktivna pljučna bolezen, emfizem",female,75+,8.0
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,15-24,-
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,25-34,-
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,35-44,0.2
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,45-54,0.6
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,55-64,3.8
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,65-74,2.5
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,male,75+,7.8
Srčni infarkt (miokardni infarkt) ali kronične posledice srčnega infarkta,female,15-24,0.1
