dict,id,mizs_key,value
school_type,PV,1010,Predšolska vzgoja (vrtec)
school_type,OS,2010,Osnovna šola
school_type,OSPP,2020,Osnovna šola za učence s posebnimi potrebami
school_type,GS,2030,Glasbena šola
school_type,SS,3010,Srednja šola
school_type,DD,3020,Dijaški dom
school_type,ZAV,4010,Zavodi za otroke in mladostnike s posebnimi potrebami
school_type,VSS,5040,Višja strokovna šola
position,PVV,5001,Vzgojitelj
position,PVDS,5002,Drugi strokovni delavec
position,PVDD,5003,Drugi delavci
position,OSU,5004,Učitelj
position,OSDS,5005,Drugi strokovni delavec
position,OSDD,5006,Drugi delavci
position,OSPPU,5007,Učitelj
position,OSPPDS,5008,Drugi strokovni delavec
position,OSPPDD,5009,Drugi delavci
position,GSU,5010,Učitelj
position,GSDS,5011,Drugi strokovni delavec
position,GSDD,5012,Drugi delavci
position,SSU,5013,Učitelj
position,SSDS,5014,Drugi strokovni delavec
position,SSDD,5015,Drugi delavci
position,DDV,5016,Vzgojitelj
position,DDDS,5017,Drugi strokovni delavec
position,DDDD,5018,Drugi delavci
position,ZAVU,5019,Učitelj
position,ZAVV,5020,Vzgojitelj
position,ZAVDS,5021,Drugi strokovni delavec
position,ZAVDD,5022,Drugi delavci
position,VSSP,5023,Predavatelj
position,VSSDS,5024,Drugi strokovni delavec
position,VSSDD,5025,Drugi delavci
class,PVSO1,1001,1. star. obd.
class,PVSO2,1002,2. star. obd.
class,PVSO12,1003,Komb. 1. in 2. star. obd.
class,OS1,1004,1. razred
class,OS2,1005,2. razred
class,OS3,1006,3. razred
class,OS4,1007,4. razred
class,OS5,1008,5. razred
class,OS6,1009,6. razred
class,OS7,1010,7. razred
class,OS8,1011,8. razred
class,OS9,1012,9. razred
class,OSPP1,1013,1. razred
class,OSPP2,1014,2. razred
class,OSPP3,1015,3. razred
class,OSPP4,1016,4. razred
class,OSPP5,1017,5. razred
class,OSPP6,1018,6. razred
class,OSPP7,1019,7. razred
class,OSPP8,1020,8. razred
class,OSPP9,1021,9. razred
class,OSPPST1,1022,I. stopnja
class,OSPPST2,1023,II. stopnja
class,OSPPST3,1024,III. stopnja
class,OSPPST4,1025,IV. stopnja
class,OSPPST5,1026,V. stopnja
class,OSPPST6,1027,VI. stopnja
class,SS1,1028,1. letnik
class,SS2,1029,2. letnik
class,SS3,1030,3. letnik
class,SS4,1031,4. letnik
class,SS5,1032,5. letnik
class,VSS1,1033,1. letnik
class,VSS2,1034,2. letnik
class,VSS3,1035,3. letnik
class,VSS4,1036,4. letnik
class,VSS5,1037,5. letnik
class,DDVSK1,1038,Vzgojna skupina v DD
class,DDVSK2,1039,Vzgojna skupina
class,ZAVSO1,1040,1. star. obd.
class,ZAVSO2,1041,2. star. obd.
class,ZAVSO3,1042,3. star. obd.
class,ZAV1,1043,1. razred
class,ZAV2,1044,2. razred
class,ZAV3,1045,3. razred
class,ZAV4,1046,4. razred
class,ZAV5,1047,5. razred
class,ZAV6,1048,6. razred
class,ZAV7,1049,7. razred
