type,zavid,matzavid,maticna,region,municipality,name,address,post,post.office,openstreetmap,slid,phone,fax,email,website,geo.lat,geo.lon
OS,121,121,5082544000,ng,Ajdovščina,Osnovna šola Col,Col 35,5273,Col,https://www.openstreetmap.org/way/343747815,,05 364 33 50,05 364 33 57,info@os-col.si,http://www.os-col.si,45.88071,14.00158
OS,645,121,5082544001,ng,Ajdovščina,Osnovna šola Col Podružnica Podkraj,Podkraj 9,5273,Col,,1021,05 364 33 70,,info@os-col.si,http://www.os-col.si,45.86597,14.05844
OS,118,118,5082528000,ng,Ajdovščina,Osnovna šola Danila Lokarja Ajdovščina,Cesta 5. maja 15,5270,Ajdovščina,https://www.openstreetmap.org/way/367148044,,"05 367 11 00, 05 367 11 02",05 367 11 11,os.dl-ajdovscina@guest.arnes.si,http://www.os-ajdovscina.si/,45.89125,13.90296
OS,703,118,5082528001,ng,Ajdovščina,Osnovna šola Danila Lokarja Ajdovščina Podružnica Lokavec,Lokavec 128,5270,Ajdovščina,,,05 368 04 13,,tajnistvo@os-ajdovscina.si,http://www.os-ajdovscina.si,45.90291,13.88223
OS,115,115,5085888000,ng,Ajdovščina,Osnovna šola Dobravlje,Dobravlje 1,5263,Dobravlje,https://www.openstreetmap.org/way/481318950,,05 365 10 10,05 365 10 20,o-dobravlje.ng@guest.arnes.si,http://www.os-dobravlje.si,45.88506,13.84119
OS,658,115,5085888002,ng,Ajdovščina,Osnovna šola Dobravlje Podružnica Črniče,Črniče 27,5262,Črniče,,1032,05 368 47 03,,,,45.90760,13.77841
OS,666,115,5085888007,ng,Ajdovščina,Osnovna šola Dobravlje Podružnica Skrilje,Skrilje 39,5263,Dobravlje,,1030,05 364 65 36,,,,45.89263,13.84980
OS,657,115,5085888005,ng,Ajdovščina,Osnovna šola Dobravlje Podružnica Vipavski Križ,Vipavski Križ 10,5270,Ajdovščina,,1035,05 367 14 70,,,,45.88065,13.86281
OS,664,115,5085888006,ng,Ajdovščina,Osnovna šola Dobravlje Podružnica Vrtovin,Vrtovin 74,5262,Črniče,,,05 364 71 20,,,,45.90062,13.81493
OS,117,117,5082536000,ng,Ajdovščina,Osnovna šola Otlica,Otlica 48,5270,Ajdovščina,https://www.openstreetmap.org/way/244617847,,05 364 95 31,,o-otlica.ng@guest.arnes.si,http://www.os-otlica.si/,45.92747,13.91105
OS,10609,10609,2294460000,ng,Ajdovščina,"Osnovna šola Šturje, Ajdovščina",Bevkova ulica 22,5270,Ajdovščina,https://www.openstreetmap.org/way/413192283,,05 365 38 00,05 365 38 07,tajnistvo@os-sturje.si,http://www.os-sturje.si/,45.88487,13.91350
OS,10849,10609,2294460001,ng,Ajdovščina,"Osnovna šola Šturje, Ajdovščina, Podružnica Budanje",Budanje 24,5271,Vipava,,,05 364 52 41,,tajnistvo@os-sturje.si,,45.87109,13.94687
OS,22415,22415,7085761000,kp,Ankaran,Osnovna šola in vrtec Ankaran,Regentova ulica 4,6280,Ankaran - Ancarano,https://www.openstreetmap.org/way/452136964,50031,05 662 66 80,05 662 66 89,info@osv-ankaran.si,http://www.osv-ankaran.si,45.58038,13.73810
OS,177,177,5084768000,ms,Apače,Osnovna šola in vrtec Apače,Apače 38,9253,Apače,https://www.openstreetmap.org/way/732161828,,02 569 81 17,02 569 10 10,o-apace.ms@guest.arnes.si,http://www.os-apace.si,46.69689,15.90835
OS,9856,177,5084768001,ms,Apače,"Osnovna šola in vrtec Apače, Podružnica Stogovci",Stogovci 33,9253,Apače,,,02 569 10 10,,o-apace.ms@guest.arnes.si,,46.69700,15.84437
OS,726,177,5088968001,ms,Beltinci,"Osnovna šola Bakovci, Podružnica Dokležovje",Glavna ulica 18,9231,Beltinci,,80041,02 543 13 94,,,,46.60096,16.17857
OS,351,351,5085560000,ms,Beltinci,Osnovna šola Beltinci,Panonska ulica 35 B,9231,Beltinci,https://www.openstreetmap.org/way/224943733,,02 541 31 00,02 541 31 12,o-beltinci.ms@guest.arnes.si,http://www.o-beltinci.ms.edus.si,46.60893,16.23851
OS,249,249,5084032000,mb,Benedikt,Osnovna šola Benedikt,Šolska ulica 2,2234,Benedikt,https://www.openstreetmap.org/node/1845074348,,02 729 58 20,02 729 58 21,info@os-benedikt.si,http://www.os-benedikt.si,46.60805,15.88997
OS,502,502,5087902000,kk,Bistrica ob Sotli,Osnovna šola Bistrica ob Sotli,Bistrica ob Sotli 63 A,3256,Bistrica ob Sotli,https://www.openstreetmap.org/way/389909402,,03 800 11 00,03 800 11 11,o-bos.ce@guest.arnes.si,http://www.osbistricaobsotli.si,46.05555,15.66462
OS,436,436,5087295000,kr,Bled,Osnovna šola prof. dr. Josipa Plemlja Bled,Seliška cesta 3,4260,Bled,https://www.openstreetmap.org/way/325693474,3020,04 578 06 20,04 578 06 40,os-bled@guest.arnes.si,http://www.os-bled.si/default.aspx,46.37275,14.10960
OS,883,436,5087295001,kr,Bled,"Osnovna šola prof. dr. Josipa Plemlja Bled, Podružnična šola Bohinjska Bela",Bohinjska Bela 56,4263,Bohinjska Bela,,,04 572 00 11,,osjp.ps-bohinjskabela@guest.arnes.si,http://www.os-bled.si/ps_bohinjska_bela/default.aspx,46.34833,14.06447
OS,884,436,5087295002,kr,Bled,"Osnovna šola prof. dr. Josipa Plemlja Bled, Podružnična šola Ribno",Šolska ulica 15,4260,Bled,,3022,04 576 83 00,,sola.ribno@gmail.com,http://www.os-bled.si/ps_ribno/default.aspx,46.35039,14.12306
OS,146,146,5082749000,po,Bloke,Osnovna šola Toneta Šraja Aljoše,Nova vas 4 B,1385,Nova Vas,https://www.openstreetmap.org/way/896701409,150010,01 709 80 14,01 709 80 14,milena.misic@guest.arnes.si,http://242.gvs.arnes.si/,45.77377,14.50704
OS,437,437,5087309000,kr,Bohinj,Osnovna šola dr. Janeza Mencingerja Bohinjska Bistrica,Savska cesta 10,4264,Bohinjska Bistrica,https://www.openstreetmap.org/way/333170178,4010,04 577 00 00,04 577 00 13,os-bohinj@guest.arnes.si,http://www.osnovna-sola-bohinj.si,46.27560,13.95291
OS,885,437,5087309002,kr,Bohinj,"Osnovna šola dr. Janeza Mencingerja Boh. Bistrica, Podružnična šola Srednja vas",Srednja vas v Bohinju 69,4267,Srednja vas v Bohinju,,4011,04 577 00 32,045770013,mojca.rozman1@quest.arnes.si,http://www.osnovna-sola-bohinj.si,46.29763,13.92305
OS,535,535,5088321000,lj,Borovnica,Osnovna šola dr. Ivana Korošca Borovnica,Paplerjeva ulica 15,1353,Borovnica,https://www.openstreetmap.org/way/206344387,5010,01 757 25 00,01 757 25 10,os-borovnica@guest.arnes.si,http://www2.arnes.si/~osljikbo1s/sola.html,45.91626,14.36587
OS,510,510,5090091000,ng,Bovec,Osnovna šola Bovec,Trg golobarskih žrtev 17,5230,Bovec,https://www.openstreetmap.org/way/323772104,,05 384 15 40,05 384 15 50,os.bovec@guest.arnes.si,http://www2.arnes.si/~osngbo1s/,46.33871,13.55272
OS,847,510,5090091002,ng,Bovec,"Osnovna šola Bovec, Podružnična šola Soča",Soča 28,5232,Soča,,,05 388 95 26,,,http://www2.arnes.si/~osngbo1,46.34268,13.66825
OS,848,510,5090091003,ng,Bovec,"Osnovna šola Bovec, Podružnična šola Žaga",Žaga 13,5224,Srpenica,,,"05 388 96 90, 05 389 61 35",05 389 61 35,ida.semrov@guest.arnes.si,,46.30326,13.48363
OS,552,552,5088496000,ce,Braslovče,Osnovna šola Braslovče,Rakovlje 15 B,3314,Braslovče,https://www.openstreetmap.org/way/348012848,,03 703 23 50,03 703 23 59,sola_braslovce@osbraslovce.si,http://www.osbraslovce.si,46.28197,15.04077
OS,876,552,5088496002,ce,Braslovče,"Osnovna šola Braslovče, Podružnična osnovna šola Gomilsko",Gomilsko 34,3303,Gomilsko,,151011,03 572 61 83,,andreja.zupan@guest.arnes.si,http://www.osbraslovce.si,46.25267,15.04384
OS,877,552,5088496001,ce,Braslovče,"Osnovna šola Braslovče, Podružnična osnovna šola Letuš",Letuš 31,3327,Šmartno ob Paki,,,03 588 52 01,,andreja.zupan@guest.arnes.si,http://www.osbraslovce.si,46.31521,15.02075
OS,1377,552,5088496004,ce,Braslovče,"Osnovna šola Braslovče, Podružnična osnovna šola Trnava",Trnava 5 B,3303,Gomilsko,,151013,03 572 62 00,,andreja.zupan@guest.arnes.si,,46.25629,15.07149
OS,362,362,5089000000,ng,Brda,Osnovna šola Alojza Gradnika Dobrovo,Trg 25. maja 9,5212,Dobrovo v Brdih,https://www.openstreetmap.org/relation/3887612,7010,05 398 80 00,05 398 80 28,os.dobrovo@guest.arnes.si,http://www.os-dobrovo.si,45.99792,13.52784
OS,971,362,5089000003,ng,Brda,Osnovna šola Alojza Gradnika Dobrovo Podružnica Kojsko,Kojsko 69,5211,Kojsko,,,05 304 15 30,05 304 15 30,ps.kojsko@guest.arnes.si,http://www.os-dobrovo.si,46.00265,13.57505
OS,322,322,5089646000,lj,Brezovica,Osnovna šola Brezovica pri Ljubljani,Šolska ulica 15,1351,Brezovica pri Ljubljani,https://www.openstreetmap.org/way/40237528,,"01 29 27 200, 01 29 27 201",01 365 55 39,info@osbrezovica.si,http://www.osbrezovica.si/,46.01688,14.41205
OS,961,322,5089646001,lj,Brezovica,"Osnovna šola Brezovica pri Ljubljani, Podružnica Notranje gorice",Podpeška cesta 390,1357,Notranje Gorice,,8011,01 365 11 22,,info.pos@osbrezovica.si,,45.98729,14.40116
OS,323,323,5084474000,lj,Brezovica,Osnovna šola Preserje,Preserje 60,1352,Preserje,https://www.openstreetmap.org/way/175986892,,01 360 12 60,01 360 12 70,os.preserje@guest.arnes.si,http://www.ospreserje.si/,45.95402,14.41504
OS,956,323,5084474001,lj,Brezovica,Osnovna šola Preserje Podružnica Jezero,Jezero 34,1352,Preserje,,,01 360 12 90,,igor.selan@guest.arnes.si,http://glej matično šolo,45.97191,14.42876
OS,957,323,5084474002,lj,Brezovica,Osnovna šola Preserje Podružnica Rakitna,Rakitna 54,1352,Preserje,,,01 360 12 92,,igor.selan@guest.arnes.si,http://glej matično šolo,45.89147,14.43977
OS,124,124,5083559000,kk,Brežice,Osnovna šola Artiče,Artiče 39,8253,Artiče,https://www.openstreetmap.org/way/328366758,,07 452 10 60,07 452 10 61,o-artice.nm@guest.arnes.si,http://www.osartice.si,45.95159,15.58509
OS,601,601,5088607000,kk,Brežice,Osnovna šola Bizeljsko,Bizeljska cesta 78,8259,Bizeljsko,https://www.openstreetmap.org/way/356468139,,07 452 03 30,07 452 03 33,os-bizeljsko@guest.arnes.si,http://www2.arnes.si/~oskkbiz2/,46.01617,15.69308
OS,122,122,5085896000,kk,Brežice,Osnovna šola Brežice,Levstikova ulica 18,8250,Brežice,https://www.openstreetmap.org/relation/7252560,,07 466 02 00,07 466 02 04,o-brezice.nm@guest.arnes.si,http://www.osbrezice.si,45.90706,15.59595
OS,129,129,5083575000,kk,Brežice,Osnovna šola Cerklje ob Krki,Cerklje ob Krki 3,8263,Cerklje ob Krki,https://www.openstreetmap.org/way/729691052,,07 496 96 00,07 496 96 13,sola@cerkljeobkrki.si,http://sola.cerkljeobkrki.si,45.88456,15.52276
OS,127,127,5082579000,kk,Brežice,Osnovna šola dr. Jožeta Toporišiča Dobova,Kapelska cesta 25,8257,Dobova,https://www.openstreetmap.org/way/674040479,9050,"07 452 22 03, 07 452 22 06",07 452 22 07,oskkdo2s@guest.arnes.si,http://www.osdobova.si,45.90152,15.66152
OS,899,127,5082579001,kk,Brežice,"Osnovna šola dr. Jožeta Toporišiča Dobova, Podružnična šola Kapele",Kapele 4 A,8258,Kapele,,,07 496 83 29,07 496 75 99,oskkdo2s@guest.arnes.si,,45.93017,15.67553
OS,125,125,5082587000,kk,Brežice,Osnovna šola Globoko,Globoko 9,8254,Globoko,https://www.openstreetmap.org/way/416481235,,07 452 19 30,07 452 19 40,os.globoko@guest.arnes.si,http://www.os-globoko.si,45.95602,15.62821
OS,126,126,5082595000,kk,Brežice,Osnovna šola Maksa Pleteršnika Pišece,Pišece 34,8255,Pišece,https://www.openstreetmap.org/way/816412146,9070,07 452 00 70,07 452 00 71,o-pisece.nm@guest.arnes.si,http://ospisece.si,46.00309,15.64719
OS,128,128,5083583000,kk,Brežice,Osnovna šola Velika Dolina,Velika Dolina 30,8261,Jesenice na Dolenjskem,https://www.openstreetmap.org/way/631638427,,07 495 71 12,07 495 71 83,florijan.bergant@guest.arnes.si,http://www.osvelikadolina.si,45.85302,15.66388
OS,353,353,5085608000,ms,Cankova,Osnovna šola Cankova,Cankova 27,9261,Cankova,https://www.openstreetmap.org/way/256186920,,02 540 91 40,02 540 14 50,zbornica-oscankova@guest.arnes.si,http://www.oscankova.si/,46.71801,16.01856
OS,134,134,5082609000,ce,Celje,I. osnovna šola Celje,Vrunčeva ulica 13,3000,Celje,https://www.openstreetmap.org/way/341857736,,03 428 51 00,03 428 51 26,tajnistvo@iosce.si,http://www.iosce.si/,46.23478,15.26596
OS,135,135,5082617000,ce,Celje,II. osnovna šola Celje,Ljubljanska cesta 46,3000,Celje,https://www.openstreetmap.org/way/482796883,,03 428 52 10,03 428 52 20,tajnistvo@slander.si,http://www.slander.si,46.23621,15.24708
OS,136,136,5083613000,ce,Celje,III. osnovna šola Celje,Vodnikova ulica 4,3000,Celje,https://www.openstreetmap.org/way/356276501,,03 425 14 00,03 425 14 28,info@3os-celje.si,http://www.3os-celje.si,46.23039,15.26402
OS,133,133,5082633000,ce,Celje,IV. osnovna šola Celje,Dečkova cesta 60,3000,Celje,https://www.openstreetmap.org/way/474597162,,03 428 54 10,03 428 54 30,o-4os.ce@guest.arnes.si,http://www.o-4os.ce.edus.si/page1.htm,46.24114,15.25803
OS,132,132,5082641000,ce,Celje,Osnovna šola Frana Kranjca,Hrašovčeva ulica 1,3000,Celje,https://www.openstreetmap.org/way/896707801,,"03 428 56 10, 03 428 56 11",03 428 56 18,group1.oscefk@guest.arnes.si,http://www2.arnes.si/~oscefk1s/fk.htm,46.21515,15.26123
OS,137,137,5186650000,ce,Celje,Osnovna šola Frana Roša Celje,Cesta na Dobrovo 114,3000,Celje,https://www.openstreetmap.org/way/485049622,11060,03 425 06 00,03 425 06 20,projekt2.oscefr@guest.arnes.si,http://www.os-frana-rosa.si/,46.25016,15.26509
OS,130,130,5082650000,ce,Celje,Osnovna šola Hudinja,Mariborska cesta 125,3000,Celje,https://www.openstreetmap.org/node/4269929890,,03 428 55 10,03 428 55 23,o-hudinja.ce@guest.arnes.si,http://www.hudinja.si/,46.24907,15.27855
OS,131,131,5062799000,ce,Celje,Osnovna šola Lava Celje,Pucova ulica 7,3000,Celje,https://www.openstreetmap.org/way/412698161,11080,03 425 09 00,03 425 09 28,o-lava.ce@guest.arnes.si,http://www.oslava.si,46.24451,15.24669
OS,1341,1341,1262823000,ce,Celje,Osnovna šola Ljubečna,Kocbekova cesta 40 A,3202,Ljubečna,https://www.openstreetmap.org/way/896893600,,03 780 61 10,03 780 61 20,tajnistvo@os-ljubecna.si,http://www.os-ljubecna.si,46.25906,15.32073
OS,651,1341,5082684003,ce,Celje,Osnovna šola Vojnik Podružnica Šmartno v Rožni dolini,Šmartno v Rožni dolini 3,3201,Šmartno v Rožni dolini,,,03 577 70 47,,majda.rojc@guest.arnes.si,http://www2.arnes.si/~ovojnikce/,46.29430,15.24321
OS,232,232,5086027000,kr,Cerklje na Gorenjskem,Osnovna šola Davorina Jenka Cerklje na Gorenjskem,Krvavška cesta 4,4207,Cerklje na Gorenjskem,https://www.openstreetmap.org/way/120426378,12010,"04 252 60 10, 04 252 60 11",04 252 60 26,tajnistvo@osdj-cerklje.si,http://www.osdj-cerklje.si,46.25433,14.48847
OS,3561,232,5086027001,kr,Cerklje na Gorenjskem,"Osnovna šola Davorina Jenka Cerklje na Gorenjskem, Podružnica Zalog",Zalog pri Cerkljah 29,4207,Cerklje na Gorenjskem,,12011,04 252 60 30,04 252 60 26,tajnistvo@osdj-cerklje.si,http://www.osdj-cerklje.si,46.22989,14.51784
OS,145,145,5082757000,po,Cerknica,Osnovna šola Jožeta Krajca Rakek,Partizanska cesta 28,1381,Rakek,https://www.openstreetmap.org/way/338644655,,"01 705 12 08, 725 25 10",01 705 25 10,os.rakek@guest.arnes.si,http://www.osrakek.si/,45.81008,14.32236
OS,652,145,5082757001,po,Cerknica,Osnovna šola Jožeta Krajca Rakek Podružnica Rudolfa Maistra Unec,Unec 59,1381,Rakek,,,01 705 10 76,,,,45.81996,14.29149
OS,144,144,5082722000,po,Cerknica,Osnovna šola Notranjski odred Cerknica,Cesta 4. maja 92,1380,Cerknica,https://www.openstreetmap.org/way/476018344,,01 705 05 20,01 705 05 31,OS.NO-Cerknica@guest.arnes.si,http://www.os-cerknica.si,45.79636,14.35685
