episari.date.from,episari.date.to,episari.covid.in.m.0-4,episari.covid.in.m.5-14,episari.covid.in.m.15-24,episari.covid.in.m.25-34,episari.covid.in.m.35-44,episari.covid.in.m.45-54,episari.covid.in.m.55-64,episari.covid.in.m.65-74,episari.covid.in.m.75-84,episari.covid.in.m.85+,episari.covid.in.f.0-4,episari.covid.in.f.5-14,episari.covid.in.f.15-24,episari.covid.in.f.25-34,episari.covid.in.f.35-44,episari.covid.in.f.45-54,episari.covid.in.f.55-64,episari.covid.in.f.65-74,episari.covid.in.f.75-84,episari.covid.in.f.85+,episari.covid.deceased.m.0-4,episari.covid.deceased.m.5-14,episari.covid.deceased.m.15-24,episari.covid.deceased.m.25-34,episari.covid.deceased.m.35-44,episari.covid.deceased.m.45-54,episari.covid.deceased.m.55-64,episari.covid.deceased.m.65-74,episari.covid.deceased.m.75-84,episari.covid.deceased.m.85+,episari.covid.deceased.f.0-4,episari.covid.deceased.f.5-14,episari.covid.deceased.f.15-24,episari.covid.deceased.f.25-34,episari.covid.deceased.f.35-44,episari.covid.deceased.f.45-54,episari.covid.deceased.f.55-64,episari.covid.deceased.f.65-74,episari.covid.deceased.f.75-84,episari.covid.deceased.f.85+,episari.covid.icu.in.m.0-4,episari.covid.icu.in.m.5-14,episari.covid.icu.in.m.15-24,episari.covid.icu.in.m.25-34,episari.covid.icu.in.m.35-44,episari.covid.icu.in.m.45-54,episari.covid.icu.in.m.55-64,episari.covid.icu.in.m.65-74,episari.covid.icu.in.m.75-84,episari.covid.icu.in.m.85+,episari.covid.icu.in.f.0-4,episari.covid.icu.in.f.5-14,episari.covid.icu.in.f.15-24,episari.covid.icu.in.f.25-34,episari.covid.icu.in.f.35-44,episari.covid.icu.in.f.45-54,episari.covid.icu.in.f.55-64,episari.covid.icu.in.f.65-74,episari.covid.icu.in.f.75-84,episari.covid.icu.in.f.85+
2020-06-01,2020-08-16,0,0,1,2,3,12,9,8,6,5,0,0,1,2,3,9,5,9,7,10,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,1,5,,,,,,,,,,,,,,,,,,,,
2020-06-01,2020-08-23,0,0,1,2,4,14,9,11,6,5,0,0,2,2,3,10,6,10,8,11,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,1,1,1,5,,,,,,,,,,,,,,,,,,,,
2020-06-01,2020-09-06,0,0,2,3,4,16,13,13,13,6,0,1,2,4,5,11,8,14,10,13,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,1,1,1,5,,,,,,,,,,,,,,,,,,,,
2020-06-01,2020-09-13,0,0,3,4,6,19,16,17,18,6,0,1,2,4,5,14,9,14,18,19,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,1,0,2,5,,,,,,,,,,,,,,,,,,,,
2020-06-29,2020-07-26,0,0,0,2,0,6,1,4,3,4,0,0,1,2,3,6,3,5,5,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
2020-07-06,2020-08-02,0,0,0,1,0,7,2,5,3,4,0,0,1,1,2,6,3,6,4,5,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,
2020-07-13,2020-08-09,0,0,0,1,1,5,4,5,5,2,0,0,0,1,1,5,5,6,4,5,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,1,4,,,,,,,,,,,,,,,,,,,,
2020-07-20,2020-08-16,0,0,1,1,1,5,5,5,3,1,0,0,0,1,1,6,3,6,4,5,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,4,,,,,,,,,,,,,,,,,,,,
2020-07-27,2020-08-23,0,0,1,0,2,7,4,7,3,1,0,0,1,0,0,4,3,3,3,5,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,4,,,,,,,,,,,,,,,,,,,,
2020-08-03,2020-08-30,0,0,1,0,2,6,5,8,8,1,0,1,1,0,0,3,3,5,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,
2020-08-10,2020-09-06,0,0,2,1,1,6,5,7,8,1,0,1,1,2,2,4,3,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
2020-08-17,2020-09-13,0,0,2,2,3,7,8,9,12,1,0,1,1,2,2,5,4,6,11,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
2020-08-24,2020-09-20,0,0,2,4,3,9,17,12,17,4,0,1,0,2,4,7,9,5,14,9,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,
