year,month,deceased
1977,01,1614
1977,02,1397
1977,03,1686
1977,04,1571
1977,05,1480
1977,06,1452
1977,07,1319
1977,08,1370
1977,09,1339
1977,10,1440
1977,11,1395
1977,12,1570
1978,01,1650
1978,02,1670
1978,03,1619
1978,04,1536
1978,05,1537
1978,06,1374
1978,07,1413
1978,08,1348
1978,09,1338
1978,10,1530
1978,11,1616
1978,12,1726
1979,01,1689
1979,02,1521
1979,03,1662
1979,04,1445
1979,05,1583
1979,06,1392
1979,07,1419
1979,08,1413
1979,09,1316
1979,10,1562
1979,11,1548
1979,12,1598
1980,01,1716
1980,02,1412
1980,03,1605
1980,04,1601
1980,05,1640
1980,06,1453
1980,07,1561
1980,08,1446
1980,09,1399
1980,10,1556
1980,11,1640
1980,12,1791
1981,01,2004
1981,02,1642
1981,03,1656
1981,04,1469
1981,05,1518
1981,06,1381
1981,07,1418
1981,08,1361
1981,09,1395
1981,10,1491
1981,11,1582
1981,12,1816
1982,01,1791
1982,02,1587
1982,03,1760
1982,04,1662
1982,05,1637
1982,06,1492
1982,07,1516
1982,08,1517
1982,09,1523
1982,10,1574
1982,11,1595
1982,12,1992
1983,01,1913
1983,02,2053
1983,03,1960
1983,04,1698
1983,05,1597
1983,06,1556
1983,07,1738
1983,08,1489
1983,09,1457
1983,10,1627
1983,11,1796
1983,12,1819
1984,01,1884
1984,02,1747
1984,03,2014
1984,04,1741
1984,05,1678
1984,06,1644
1984,07,1571
1984,08,1542
1984,09,1443
1984,10,1617
1984,11,1600
1984,12,1733
1985,01,1986
1985,02,1621
1985,03,1907
1985,04,1643
1985,05,1710
1985,06,1516
1985,07,1558
1985,08,1513
1985,09,1400
1985,10,1536
1985,11,1738
1985,12,1726
1986,01,1683
1986,02,1843
1986,03,1950
1986,04,1623
1986,05,1544
1986,06,1441
1986,07,1469
1986,08,1437
1986,09,1424
1986,10,1655
1986,11,1582
1986,12,1848
1987,01,2071
1987,02,1598
1987,03,1704
1987,04,1643
1987,05,1663
1987,06,1594
1987,07,1615
1987,08,1477
