date,dl.android,dl.android.todate,dl.ios,dl.ios.todate,dl.todate,tan.issued,tan.issued.todate,tan.entered,tan.entered.todate,tan.ratio_entered_issued,cases.confirmed,tan.ratio_entered_cases,tan.ratio_issued_cases
2020-08-17,4956,4956,,,4956,,,,,,27,,
2020-08-18,18272,23228,,,23228,,,,,,37,,
2020-08-19,5296,28524,,,28524,,,,,,43,,
2020-08-20,4568,33092,,,33092,,,,,,38,,
2020-08-21,2446,35538,,,35538,,,,,,43,,
2020-08-22,1813,37351,,,37351,,,,,,34,,
2020-08-23,1740,39091,,,39091,,,,,,14,,
2020-08-24,1985,41076,,,41076,,,,,,21,,
2020-08-25,2601,43677,,,43677,,,,,,36,,
2020-08-26,1435,45112,,,45112,,,,,,33,,
2020-08-27,1115,46227,,,46227,,,1,1,,42,0.024,
2020-08-28,818,47045,,,47045,,,,1,,37,,
2020-08-29,746,47791,,,47791,,,,1,,31,,
2020-08-30,1077,48868,,,48868,,,,1,,18,,
2020-08-31,721,49589,,,49589,,,1,2,,41,0.024,
2020-09-01,1761,51350,1867,1867,53217,,,2,4,,55,0.036,
2020-09-02,1783,53133,3651,5518,58651,,,1,5,,53,0.019,
2020-09-03,1497,54630,1308,6826,61456,,,1,6,,47,0.021,
2020-09-04,1273,55903,935,7761,63664,,,,6,,43,,
2020-09-05,770,56673,443,8204,64877,,,2,8,,43,0.047,
2020-09-06,770,57443,425,8629,66072,,,,8,,25,,
2020-09-07,1079,58522,451,9080,67602,,,,8,,43,,
2020-09-08,801,59323,418,9498,68821,,,3,11,,79,0.038,
2020-09-09,1133,60456,571,10069,70525,,,,11,,78,,
2020-09-10,13616,74072,5277,15346,89418,,,1,12,,108,0.009,
2020-09-11,5139,79211,1878,17224,96435,,,4,16,,105,0.038,
2020-09-12,5070,84281,1460,18684,102965,,,1,17,,99,0.01,
2020-09-13,4271,88552,1259,19943,108495,,,3,20,,47,0.064,
2020-09-14,2745,91297,791,20734,112031,,,4,24,,83,0.048,
2020-09-15,1675,92972,434,21168,114140,,,4,28,,123,0.033,
2020-09-16,2088,95060,584,21752,116812,,,4,32,,104,0.038,
2020-09-17,1102,96162,379,22131,118293,,,5,37,,137,0.036,
2020-09-18,829,96991,280,22411,119402,,,3,40,,113,0.027,
2020-09-19,574,97565,204,22615,120180,,,1,41,,111,0.009,
2020-09-20,592,98157,209,22824,120981,,,5,46,,50,0.1,
2020-09-21,522,98679,167,22991,121670,,,2,48,,88,0.023,
2020-09-22,672,99351,245,23236,122587,,,2,50,,136,0.015,
2020-09-23,502,99853,198,23434,123287,,,8,58,,121,0.066,
2020-09-24,648,100501,183,23617,124118,,,3,61,,193,0.016,
2020-09-25,953,101454,277,23894,125348,14,14,7,68,0.5,184,0.038,0.076
2020-09-26,649,102103,212,24106,126209,4,18,2,70,0.5,158,0.013,0.025
2020-09-27,535,102638,184,24290,126928,14,32,7,77,0.5,39,0.179,0.359
2020-09-28,614,103252,202,24492,127744,9,41,3,80,0.333,99,0.03,0.091
2020-09-29,466,103718,157,24649,128367,12,53,5,85,0.417,202,0.025,0.059
2020-09-30,676,104394,223,24872,129266,14,67,11,96,0.786,175,0.063,0.08
2020-10-01,513,104907,190,25062,129969,22,89,17,113,0.773,239,0.071,0.092
2020-10-02,649,105556,214,25276,130832,23,112,10,123,0.435,228,0.044,0.101
2020-10-03,445,106001,153,25429,131430,37,149,18,141,0.486,168,0.107,0.22
2020-10-04,441,106442,118,25547,131989,11,160,10,151,0.909,75,0.133,0.147
2020-10-05,461,106903,111,25658,132561,14,174,5,156,0.357,190,0.026,0.074
2020-10-06,1308,108211,360,26018,134229,16,190,7,163,0.438,357,0.02,0.045
2020-10-07,1729,109940,512,26530,136470,21,211,11,174,0.524,388,0.028,0.054
2020-10-08,2059,111999,515,27045,139044,41,252,16,190,0.39,363,0.044,0.113
2020-10-09,2315,114314,769,27814,142128,61,313,27,217,0.443,380,0.071,0.161
2020-10-10,1029,115343,293,28107,143450,41,354,25,242,0.61,411,0.061,0.1
2020-10-11,3453,118796,1118,29225,148021,38,392,14,256,0.368,169,0.083,0.225
2020-10-12,1804,120600,554,29779,150379,44,436,20,276,0.455,399,0.05,0.11
2020-10-13,2761,123361,755,30534,153895,50,486,26,302,0.52,707,0.037,0.071
2020-10-14,5777,129138,1651,32185,161323,60,546,30,332,0.5,748,0.04,0.08
2020-10-15,2941,132079,915,33100,165179,79,625,47,379,0.595,836,0.056,0.094
2020-10-16,2521,134600,695,33795,168395,74,699,41,420,0.554,898,0.046,0.082
2020-10-17,1796,136396,440,34235,170631,146,845,79,499,0.541,727,0.109,0.201
2020-10-18,3187,139583,864,35099,174682,172,1017,71,570,0.413,537,0.132,0.32
2020-10-19,11642,151225,3775,38874,190099,152,1169,62,632,0.408,802,0.077,0.19
2020-10-20,3212,154437,919,39793,194230,169,1338,104,736,0.615,1505,0.069,0.112
2020-10-21,3311,157748,786,40579,198327,187,1525,103,839,0.551,1670,0.062,0.112
2020-10-22,3264,161012,765,41344,202356,221,1746,109,948,0.493,1661,0.066,0.133
2020-10-23,1771,162783,465,41809,204592,223,1969,111,1059,0.498,1969,0.056,0.113
2020-10-24,1534,164317,421,42230,206547,182,2151,118,1177,0.648,1702,0.069,0.107
2020-10-25,1440,165757,345,42575,208332,166,2317,102,1279,0.614,1118,0.091,0.148
2020-10-26,1372,167129,399,42974,210103,177,2494,102,1381,0.576,1502,0.068,0.118
2020-10-27,1241,168370,339,43313,211683,203,2697,107,1488,0.527,2611,0.041,0.078
2020-10-28,1444,169814,327,43640,213454,247,2944,133,1621,0.538,2492,0.053,0.099
2020-10-29,1877,171691,432,44072,215763,211,3155,126,1747,0.597,1800,0.07,0.117
2020-10-30,925,172616,265,44337,216953,172,3327,101,1848,0.587,1797,0.056,0.096
2020-10-31,511,173127,147,44484,217611,274,3601,173,2021,0.631,1347,0.128,0.203
2020-11-01,557,173684,168,44652,218336,184,3785,101,2122,0.549,557,0.181,0.33
2020-11-02,704,174388,158,44810,219198,209,3994,118,2240,0.565,1177,0.1,0.178
2020-11-03,487,174875,100,44910,219785,209,4203,97,2337,0.464,2032,0.048,0.103
2020-11-04,412,175287,97,45007,220294,220,4423,116,2453,0.527,1691,0.069,0.13
2020-11-05,333,175620,83,45090,220710,186,4609,105,2558,0.565,1567,0.067,0.119
2020-11-06,286,175906,72,45162,221068,173,4782,99,2657,0.572,1613,0.061,0.107
2020-11-07,221,176127,62,45224,221351,172,4954,99,2756,0.576,891,0.111,0.193
2020-11-08,171,176298,54,45278,221576,202,5156,108,2864,0.535,466,0.232,0.433
2020-11-09,238,176536,55,45333,221869,77,5233,37,2901,0.481,1089,0.034,0.071
2020-11-10,266,176802,75,45408,222210,220,5453,112,3013,0.509,2228,0.05,0.099
2020-11-11,390,177192,92,45500,222692,245,5698,132,3145,0.539,1932,0.068,0.127
2020-11-12,298,177490,89,45589,223079,182,5880,101,3246,0.555,1516,0.067,0.12
2020-11-13,339,177829,97,45686,223515,179,6059,94,3340,0.525,1740,0.054,0.103
2020-11-14,240,178069,62,45748,223817,182,6241,88,3428,0.484,922,0.095,0.197
2020-11-15,254,178323,72,45820,224143,96,6337,52,3480,0.542,500,0.104,0.192
2020-11-16,233,178556,48,45868,224424,109,6446,62,3542,0.569,1393,0.045,0.078
2020-11-17,258,178814,78,45946,224760,164,6610,115,3657,0.701,2018,0.057,0.081
2020-11-18,252,179066,73,46019,225085,165,6775,100,3757,0.606,2068,0.048,0.08
2020-11-19,261,179327,66,46085,225412,172,6947,116,3873,0.674,1549,0.075,0.111
2020-11-20,320,179647,83,46168,225815,146,7093,83,3956,0.568,1691,0.049,0.086
2020-11-21,216,179863,46,46214,226077,126,7219,89,4045,0.706,1025,0.087,0.123
2020-11-22,230,180093,62,46276,226369,79,7298,49,4094,0.62,471,0.104,0.168
2020-11-23,192,180285,50,46326,226611,79,7377,41,4135,0.519,1308,0.031,0.06
2020-11-24,180,180465,25,46351,226816,141,7518,105,4240,0.745,2234,0.047,0.063
2020-11-25,174,180639,53,46404,227043,188,7706,122,4362,0.649,1782,0.068,0.105
2020-11-26,202,180841,61,46465,227306,132,7838,85,4447,0.644,1612,0.053,0.082
2020-11-27,178,181019,18,46483,227502,140,7978,98,4545,0.7,1601,0.061,0.087
2020-11-28,118,181137,50,46533,227670,86,8064,56,4601,0.651,1109,0.05,0.078
2020-11-29,168,181305,46,46579,227884,68,8132,43,4644,0.632,427,0.101,0.159
2020-11-30,153,181458,43,46622,228080,68,8200,41,4685,0.603,1299,0.032,0.052
2020-12-01,155,181613,34,46656,228269,147,8347,102,4787,0.694,2438,0.042,0.06
2020-12-02,140,181753,52,46708,228461,150,8497,99,4886,0.66,1776,0.056,0.084
2020-12-03,112,181865,38,46746,228611,129,8626,92,4978,0.713,1786,0.052,0.072
2020-12-04,115,181980,41,46787,228767,112,8738,76,5054,0.679,1647,0.046,0.068
2020-12-05,97,182077,41,46828,228905,111,8849,79,5133,0.712,1033,0.076,0.107
