date,state.in_hospital,state.icu,state.critical,state.in_hospital.todate,state.out_of_hospital.todate,state.deceased.todate,state.recovered.todate
2020-03-10,18,1,1,0,8,0,
2020-03-11,18,1,1,27,10,0,
2020-03-12,17,2,1,31,15,0,
2020-03-13,22,4,3,36,19,0,
2020-03-14,29,4,3,44,19,1,
2020-03-15,33,3,3,48,19,1,
2020-03-16,32,5,3,49,21,1,
2020-03-17,38,5,4,60,26,1,
2020-03-18,43,5,4,69,32,1,
2020-03-19,47,7,7,76,35,1,1
2020-03-20,46,8,8,79,39,1,1
2020-03-21,51,8,8,87,42,1,1
2020-03-22,52,11,11,89,43,1,1
2020-03-23,56,10,10,97,46,2,1
2020-03-24,69,11,11,111,46,3,10
2020-03-25,78,14,13,121,47,4,10
2020-03-26,81,16,15,128,51,5,10
2020-03-27,102,22,20,151,51,7,10
2020-03-28,102,23,20,158,57,9,10
2020-03-29,108,24,21,166,58,11,10
2020-03-30,117,29,24,177,59,12,16
2020-03-31,110,28,25,180,68,13,16
2020-04-01,109,31,27,187,75,15,16
2020-04-02,108,30,27,193,81,16,16
2020-04-03,114,30,26,203,83,20,16
2020-04-04,109,32,27,209,93,22,26
2020-04-05,110,31,26,218,98,28,26
2020-04-06,112,30,24,226,102,30,26
2020-04-07,109,32,26,239,115,36,26
2020-04-08,111,35,27,248,120,40,26
2020-04-09,108,34,28,254,128,43,26
2020-04-10,106,36,29,262,138,45,26
2020-04-11,94,35,27,268,153,50,26
2020-04-12,95,35,28,274,156,53,26
2020-04-13,95,33,26,277,158,55,26
2020-04-14,103,35,24,286,158,56,38
2020-04-15,96,34,24,293,171,61,38
2020-04-16,99,30,22,305,180,61,38
2020-04-17,95,28,22,311,188,66,38
2020-04-18,93,27,23,318,196,70,38
2020-04-19,89,26,21,319,198,74,38
2020-04-20,87,26,20,319,199,77,38
2020-04-21,86,25,21,322,203,77,38
2020-04-22,82,24,21,327,210,79,38
2020-04-23,80,23,21,331,216,79,38
2020-04-24,78,23,19,334,220,80,38
2020-04-25,77,23,19,338,224,82,38
2020-04-26,80,23,17,343,226,82,38
2020-04-27,80,22,17,344,226,84,38
2020-04-28,77,23,16,346,230,86,38
2020-04-29,70,22,15,353,243,89,38
2020-04-30,63,22,15,354,249,91,38
2020-05-01,58,21,13,355,254,93,38
2020-05-02,60,21,13,358,255,94,38
2020-05-03,58,20,11,361,257,96,38
2020-05-04,58,20,11,363,257,97,38
2020-05-05,55,16,10,365,260,98,38
2020-05-06,53,14,10,366,263,99,38
2020-05-07,52,13,9,366,264,99,38
2020-05-08,46,11,9,367,269,100,38
2020-05-09,43,10,8,368,272,101,38
2020-05-10,41,10,8,368,273,102,38
2020-05-11,42,10,8,369,273,102,38
2020-05-12,40,9,8,370,276,102,38
2020-05-13,38,9,8,370,277,103,38
2020-05-14,32,7,6,371,284,103,38
2020-05-15,29,7,6,371,287,103,38
2020-05-16,27,6,6,371,289,103,38
2020-05-17,26,5,4,372,290,104,38
2020-05-18,25,5,4,372,291,104,38
2020-05-19,24,5,3,372,292,104,38
2020-05-20,23,4,3,372,293,105,38
2020-05-21,21,3,2,372,295,106,38
2020-05-22,21,4,2,372,295,106,38
2020-05-23,18,3,2,372,297,107,38
2020-05-24,18,3,2,372,297,107,38
2020-05-25,16,3,2,372,299,107,38
2020-05-26,9,2,1,372,305,108,38
2020-05-27,8,2,1,373,307,108,38
2020-05-28,7,2,1,373,308,108,38
2020-05-29,7,2,1,373,308,108,38
2020-05-30,7,2,1,373,308,108,38
2020-05-31,6,2,1,373,309,108,38
2020-06-01,5,1,0,373,309,109,38
2020-06-02,5,1,0,373,309,109,38
2020-06-03,5,0,0,373,309,109,38
2020-06-04,5,0,0,373,309,109,38
2020-06-05,6,0,0,374,309,109,38
2020-06-06,6,0,0,374,309,109,38
2020-06-07,5,0,0,374,310,109,38
2020-06-08,5,0,0,374,310,109,38
2020-06-09,6,0,0,375,310,109,38
2020-06-10,6,0,0,375,310,109,38
2020-06-11,6,0,0,375,310,109,38
2020-06-12,6,0,0,375,310,109,38
2020-06-13,6,0,0,375,310,109,38
2020-06-14,6,0,0,375,310,109,38
2020-06-15,7,1,0,376,310,109,38
2020-06-16,7,1,0,376,310,109,38
2020-06-17,7,1,0,376,310,109,38
2020-06-18,6,1,0,376,311,109,38
2020-06-19,8,1,0,378,311,109,38
2020-06-20,6,1,0,378,313,109,38
2020-06-21,6,1,0,378,313,109,38
2020-06-22,6,1,0,378,313,109,38
2020-06-23,5,1,1,378,314,111,38
2020-06-24,7,2,1,380,314,111,38
2020-06-25,7,2,0,380,314,111,38
2020-06-26,8,1,0,381,314,111,38
2020-06-27,8,0,0,381,314,111,38
2020-06-28,7,0,0,381,315,111,38
2020-06-29,8,0,0,382,315,111,38
2020-06-30,8,0,0,382,315,111,38
2020-07-01,8,0,0,382,315,111,38
2020-07-02,9,0,0,383,315,111,38
2020-07-03,10,0,0,384,315,111,38
2020-07-04,6,0,0,384,319,111,38
2020-07-05,6,0,0,385,320,111,38
2020-07-06,11,0,0,390,320,111,38
2020-07-07,12,0,0,392,321,111,38
2020-07-08,14,0,0,397,324,111,38
2020-07-09,15,0,0,399,325,111,38
2020-07-10,16,0,0,400,325,111,38
2020-07-11,16,0,0,400,325,111,38
2020-07-12,16,1,0,400,325,111,38
2020-07-13,17,1,0,401,325,111,38
2020-07-14,17,1,0,404,328,111,38
2020-07-15,16,2,0,404,329,111,38
2020-07-16,18,1,0,406,329,111,38
2020-07-17,19,1,0,408,330,111,38
2020-07-18,19,2,1,410,332,111,38
2020-07-19,19,3,3,411,332,112,38
2020-07-20,19,3,3,412,332,113,38
2020-07-21,22,3,3,418,334,114,38
2020-07-22,22,2,2,420,335,115,38
2020-07-23,24,2,2,423,336,115,38
2020-07-24,23,2,2,425,339,115,38
2020-07-25,19,4,3,426,343,116,38
2020-07-26,21,4,3,430,345,116,38
2020-07-27,20,3,3,430,346,116,38
2020-07-28,17,3,3,430,349,117,38
2020-07-29,21,4,4,434,349,117,38
2020-07-30,22,5,4,435,349,118,38
2020-07-31,24,5,3,438,349,119,38
2020-08-01,22,5,3,438,351,119,38
2020-08-02,22,2,2,439,351,120,38
2020-08-03,20,1,1,439,351,122,38
2020-08-04,22,2,2,443,353,123,38
2020-08-05,22,3,2,445,355,124,38
2020-08-06,24,3,3,448,356,125,38
2020-08-07,24,4,4,449,357,125,38
2020-08-08,22,3,3,449,358,126,38
2020-08-09,24,3,2,452,358,127,38
2020-08-10,24,3,2,454,359,128,38
2020-08-11,23,2,2,455,360,129,38
2020-08-12,23,2,2,456,361,129,38
2020-08-13,19,3,2,457,366,129,38
2020-08-14,18,3,2,460,370,129,38
2020-08-15,16,3,2,462,374,129,38
2020-08-16,17,3,2,464,375,129,38
2020-08-17,19,3,2,466,375,129,38
2020-08-18,16,3,1,466,378,129,38
2020-08-19,17,3,1,467,378,129,38
2020-08-20,17,2,0,470,381,129,38
2020-08-21,18,0,0,472,382,130,38
2020-08-22,18,0,0,474,384,131,38
2020-08-23,17,0,0,475,386,131,38
2020-08-24,17,0,0,476,387,133,38
2020-08-25,17,0,0,477,388,133,38
2020-08-26,20,0,0,481,389,133,38
2020-08-27,23,1,1,484,389,133,38
2020-08-28,22,1,1,487,393,133,38
2020-08-29,23,2,2,489,394,133,38
2020-08-30,24,3,2,490,394,133,38
2020-08-31,25,3,2,491,394,133,38
2020-09-01,25,3,3,494,397,133,38
2020-09-02,26,4,3,497,399,134,38
2020-09-03,26,4,3,500,402,134,38
2020-09-04,24,3,3,502,406,134,38
2020-09-05,22,3,3,505,411,135,38
2020-09-06,23,3,3,507,412,135,38
2020-09-07,26,4,4,512,414,135,38
2020-09-08,28,4,4,517,417,135,38
2020-09-09,27,4,3,519,420,135,38
2020-09-10,26,5,5,520,422,135,38
2020-09-11,27,6,6,521,422,135,38
2020-09-12,31,6,6,530,427,135,38
2020-09-13,38,7,7,537,427,135,38
2020-09-14,42,9,8,545,431,135,38
2020-09-15,50,10,9,554,432,135,38
2020-09-16,61,11,9,566,433,135,38
2020-09-17,62,11,8,569,434,136,38
2020-09-18,67,11,9,579,437,140,38
2020-09-19,67,10,8,586,443,141,38
2020-09-20,66,13,12,591,448,142,38
2020-09-21,70,15,11,596,449,142,38
2020-09-22,71,13,11,605,457,142,38
2020-09-23,65,10,10,613,470,143,38
