date,region.ms.todate,region.mb.todate,region.sg.todate,region.ce.todate,region.za.todate,region.kk.todate,region.nm.todate,region.lj.todate,region.kr.todate,region.po.todate,region.ng.todate,region.kp.todate,region.foreign.todate,region.unknown.todate
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,2,1,0,0,0,0,0,0
2020-03-24,0,0,0,2,0,0,3,1,0,0,0,0,0,0
2020-03-25,0,0,0,2,0,0,3,1,0,0,0,0,0,0
2020-03-26,0,0,0,2,0,0,5,1,0,0,0,0,0,0
2020-03-27,0,0,0,3,0,0,6,1,0,0,0,0,0,0
2020-03-28,0,0,0,4,0,0,6,1,1,0,0,0,0,0
2020-03-29,0,0,0,4,0,0,6,1,2,0,0,0,0,0
2020-03-30,0,0,0,6,0,0,6,4,2,0,0,0,0,0
2020-03-31,0,0,0,7,0,0,6,4,2,0,0,0,0,0
2020-04-01,0,0,0,7,0,0,6,5,2,0,0,0,0,0
2020-04-02,0,1,0,9,0,0,6,5,2,0,0,0,0,0
2020-04-03,1,1,0,10,0,0,7,5,2,0,0,0,0,0
2020-04-04,1,1,0,13,0,0,8,5,2,0,0,0,0,0
2020-04-05,1,1,0,13,0,0,8,8,2,0,0,0,0,0
2020-04-06,1,1,0,17,0,0,10,9,2,0,0,0,0,0
2020-04-07,1,1,0,19,0,0,10,9,2,0,0,0,0,0
2020-04-08,1,1,0,20,0,0,11,9,3,0,0,1,0,0
2020-04-09,1,1,0,20,0,0,11,11,3,0,0,1,0,0
2020-04-10,2,1,0,21,0,0,11,14,4,0,0,1,0,0
2020-04-11,2,1,0,22,0,0,11,16,4,0,0,1,0,0
2020-04-12,3,1,0,24,0,0,11,17,4,0,0,1,0,0
2020-04-13,5,1,0,24,0,0,11,18,4,0,0,1,0,0
2020-04-14,5,1,0,25,0,0,11,18,4,0,0,1,0,0
2020-04-15,5,1,0,25,0,0,11,18,4,0,0,1,0,0
2020-04-16,6,1,1,26,0,0,12,20,4,0,0,1,0,0
2020-04-17,7,1,1,27,0,0,14,20,4,0,0,1,0,0
2020-04-18,8,2,1,27,0,0,14,21,4,0,0,1,0,0
2020-04-19,11,3,1,28,0,0,14,21,4,0,0,1,0,0
2020-04-20,12,3,1,28,0,0,14,21,4,0,0,1,0,0
2020-04-21,12,3,1,30,0,0,14,22,4,0,0,1,0,0
2020-04-22,12,3,1,30,0,0,14,22,4,0,0,1,0,0
2020-04-23,12,3,1,31,0,0,14,22,4,0,0,1,0,0
2020-04-24,12,3,1,31,0,0,14,22,5,0,0,1,0,0
2020-04-25,12,3,1,32,0,0,14,22,5,0,0,1,0,0
2020-04-26,12,3,1,32,0,0,14,22,5,0,0,1,0,0
2020-04-27,13,3,1,33,0,0,14,23,5,0,0,1,0,0
2020-04-28,16,3,1,33,0,0,14,23,5,0,0,1,0,0
2020-04-29,16,3,1,33,0,0,15,23,5,0,0,1,0,0
2020-04-30,17,3,2,34,0,0,15,23,5,0,0,1,0,0
2020-05-01,18,3,2,35,0,0,15,23,5,0,0,1,0,0
2020-05-02,20,3,2,35,0,0,15,23,5,0,0,1,0,0
2020-05-03,21,3,2,35,0,0,15,23,5,0,0,1,0,0
2020-05-04,21,3,2,35,0,0,15,23,5,0,0,1,0,0
2020-05-05,22,3,2,35,0,0,16,23,5,0,0,1,0,0
2020-05-06,22,3,2,35,0,0,16,23,5,0,0,1,0,0
2020-05-07,22,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-08,23,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-09,24,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-10,24,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-11,24,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-12,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-13,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-14,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-15,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-16,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-17,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-18,25,3,2,35,0,0,16,24,5,0,0,1,0,0
2020-05-19,25,3,2,36,0,0,16,24,5,0,0,1,0,0
2020-05-20,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-21,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-22,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-23,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-24,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-25,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-26,25,3,2,36,0,0,17,24,5,0,0,1,0,0
2020-05-27,25,3,2,36,0,0,17,24,5,0,0,1,0,0
