date,region.ce.celje,region.ce.dobrna,region.ce.kozje,region.ce.mozirje,region.ce.nazarje,region.ce.podčetrtek,region.ce.rogatec,region.ce.rogaška_slatina,region.ce.slovenske_konjice,region.ce.tabor,region.ce.velenje,region.ce.vitanje,region.ce.vojnik,region.ce.šentjur,region.ce.šmarje_pri_jelšah,region.ce.šoštanj,region.ce.žalec,region.kk.bistrica_ob_sotli,region.kk.brežice,region.kk.sevnica,region.kp.hrpelje-kozina,region.kp.izola,region.kp.koper,region.kp.piran,region.kp.sežana,region.kr.bled,region.kr.bohinj,region.kr.cerklje_na_gorenjskem,region.kr.gorje,region.kr.jesenice,region.kr.kranj,region.kr.kranjska_gora,region.kr.naklo,region.kr.preddvor,region.kr.radovljica,region.kr.tržič,region.kr.šenčur,region.kr.škofja_loka,region.kr.železniki,region.kr.žirovnica,region.lj.brezovica,region.lj.dobrepolje,region.lj.dobrova-polhov_gradec,region.lj.dol_pri_ljubljani,region.lj.domžale,region.lj.grosuplje,region.lj.horjul,region.lj.ig,region.lj.ivančna_gorica,region.lj.kamnik,region.lj.komenda,region.lj.ljubljana,region.lj.logatec,region.lj.lukovica,region.lj.medvode,region.lj.mengeš,region.lj.moravče,region.lj.trzin,region.lj.velike_lašče,region.lj.vodice,region.lj.vrhnika,region.lj.škofljica,region.lj.šmartno_pri_litiji,region.mb.benedikt,region.mb.cerkvenjak,region.mb.duplek,region.mb.hajdina,region.mb.hoče-slivnica,region.mb.kidričevo,region.mb.kungota,region.mb.lenart,region.mb.lovrenc_na_pohorju,region.mb.majšperk,region.mb.maribor,region.mb.markovci,region.mb.miklavž_na_dravskem_polju,region.mb.ormož,region.mb.pesnica,region.mb.ptuj,region.mb.rače-fram,region.mb.ruše,region.mb.slovenska_bistrica,region.mb.sveta_ana,region.mb.šentilj,region.mb.žetale,region.ms.beltinci,region.ms.dobrovnik,region.ms.kobilje,region.ms.kuzma,region.ms.lendava,region.ms.ljutomer,region.ms.murska_sobota,region.ms.puconci,region.ms.tišina,region.ms.veržej,region.ms.črenšovci,region.ng.bovec,region.ng.cerkno,region.ng.idrija,region.ng.nova_gorica,region.ng.tolmin,region.ng.šempeter-vrtojba,region.nm.dolenjske_toplice,region.nm.kočevje,region.nm.metlika,region.nm.mirna,region.nm.mokronog-trebelno,region.nm.novo_mesto,region.nm.ribnica,region.nm.semič,region.nm.trebnje,region.nm.črnomelj,region.nm.šentrupert,region.nm.šmarješke_toplice,region.nm.žužemberk,region.po.cerknica,region.po.ilirska_bistrica,region.po.pivka,region.po.postojna,region.sg.dravograd,region.sg.mežica,region.sg.podvelka,region.sg.prevalje,region.sg.ravne_na_koroškem,region.sg.slovenj_gradec,region.sg.črna_na_koroškem,region.t.tujina,region.za.hrastnik,region.za.litija,region.za.zagorje_ob_savi
2020-03-17,,,,1,1,1,,7,,,,1,1,2,22,1,1,,1,,,3,1,3,1,,1,,1,1,4,,,,2,,,2,,7,,,,1,7,1,4,,,2,1,70,1,1,,,2,1,5,2,1,1,1,,,1,2,1,1,1,2,1,,5,,2,,,2,,,4,,,1,1,,1,,2,1,1,,1,,,,,,1,1,1,1,1,21,,,5,2,6,4,3,,4,1,,,6,4,1,,,,3,5,1,6,,2,
2020-03-18,1,,,1,1,1,,8,,,,1,1,2,22,1,1,,1,,,3,1,3,1,,1,,1,1,4,,,1,2,,,2,,6,,,,1,7,1,4,,,2,1,71,1,1,,,2,1,5,2,1,,1,,,1,2,1,,1,2,1,,6,,2,,1,2,,,5,,,2,1,,1,,2,1,1,,1,,,,,,1,2,1,1,1,21,,,6,3,6,5,3,,4,1,,1,6,4,1,,,,3,5,1,5,,2,
2020-03-19,1,,1,1,1,1,,8,,,,1,1,2,31,1,1,,1,,,3,1,3,1,1,1,,2,1,4,,,1,2,,,2,,6,1,,,1,7,1,4,,1,3,1,74,1,1,,,2,1,5,2,1,,1,,,1,2,1,2,1,2,1,,7,,2,,1,2,,,5,,,2,1,,1,,2,1,2,,1,2,,,,,1,2,1,1,1,24,1,,6,3,6,5,3,,4,1,,1,6,5,1,,1,1,3,6,1,6,,2,
2020-03-20,2,1,1,1,1,1,,10,,,,1,1,2,33,1,1,1,1,,1,3,3,3,1,1,1,1,2,2,4,,,1,2,,,2,,7,2,,,1,8,1,4,,1,6,1,76,1,1,,,2,1,5,2,1,,1,,,1,2,1,2,1,2,1,,8,,2,,1,2,,,6,,,2,1,,1,,2,2,2,,1,2,,,,1,1,2,1,1,1,24,1,,6,3,6,5,3,,4,1,,1,6,5,2,,1,1,3,6,1,5,,2,
2020-03-21,2,1,1,1,1,1,,11,,,,1,1,2,41,1,1,1,2,1,1,3,3,3,1,1,1,1,2,2,5,,,1,2,,,2,,7,3,,,1,9,1,4,,1,7,1,85,1,1,1,1,2,1,7,2,1,,1,,,1,2,1,2,1,2,1,,10,,2,,1,2,,,6,1,1,2,1,,1,,2,2,2,,1,2,,,,1,1,2,1,1,1,25,1,,6,4,6,5,3,,4,1,,1,6,5,2,,1,1,5,6,1,6,1,2,
2020-03-22,3,1,1,1,1,1,,13,,,,1,1,2,45,1,2,2,2,1,1,3,3,3,1,1,1,1,2,3,6,,,1,2,,1,3,,7,3,,,1,11,1,4,,2,7,2,92,1,1,1,2,2,1,7,3,1,1,1,,,1,2,1,2,1,2,1,,11,,2,,1,2,1,,6,1,1,2,1,,1,,2,2,2,,1,2,,,1,1,1,2,1,1,1,25,1,,6,4,6,5,3,,4,1,,1,6,6,2,,1,1,5,6,1,6,1,3,1
2020-03-23,7,1,1,1,1,1,,13,,,,1,1,2,46,1,2,2,2,1,1,4,3,3,1,1,1,1,2,3,6,,,1,2,,1,4,,7,3,,,1,11,1,4,,2,7,2,99,1,1,1,3,2,1,6,3,1,1,1,,,1,2,1,2,1,2,1,,12,1,2,3,1,2,1,1,6,2,1,2,1,,1,,2,2,2,,1,2,,,1,1,1,2,1,1,2,25,1,,6,4,6,6,3,,4,1,1,1,6,8,2,,1,2,6,6,1,6,1,3,1
2020-03-24,9,1,1,1,1,1,,15,,,,1,1,3,52,1,2,2,2,2,1,4,3,3,1,1,1,1,2,3,8,,,1,2,,1,4,,7,5,,1,1,12,1,4,,2,9,2,109,1,1,1,3,2,1,6,3,2,1,1,,,1,2,1,2,1,2,1,,14,1,2,3,1,2,1,1,6,3,1,2,1,,1,1,2,2,2,,1,3,,,1,1,1,2,1,1,2,26,1,,6,4,6,6,3,,4,1,1,1,6,8,2,,1,2,6,6,2,6,1,5,1
2020-03-25,10,1,1,1,1,1,,19,,,,1,1,3,55,1,2,3,2,2,1,4,4,3,1,1,1,1,2,3,8,,1,1,2,,1,4,,8,6,,2,1,12,1,5,2,2,9,2,120,1,2,1,3,2,1,7,4,3,1,1,,,1,2,1,2,1,2,1,,14,1,2,3,1,2,1,1,7,4,1,2,1,,1,1,2,3,2,1,1,4,1,,1,1,1,2,1,1,2,28,1,,6,4,7,6,3,,4,2,1,1,6,10,2,,1,3,6,6,3,4,1,6,1
2020-03-26,10,1,1,1,1,1,,20,,,1,1,1,3,62,1,2,3,2,2,1,4,4,3,1,1,1,2,2,4,11,,1,1,2,,1,5,,8,6,,2,1,13,1,6,2,2,12,2,123,1,2,1,3,2,1,7,4,3,1,1,,,1,2,1,2,1,2,1,,15,1,2,4,1,2,1,1,8,5,1,2,1,,1,1,2,3,2,1,1,4,1,,1,1,2,2,1,1,2,27,1,1,8,4,7,6,3,,4,2,1,2,6,12,3,,1,3,6,6,3,4,3,6,1
