date,rh.total,rh.employee.total,rh.occupant.total,rh.šmarje_pri_jelšah.spj.total,rh.šmarje_pri_jelšah.spj.employee,rh.šmarje_pri_jelšah.spj.occupant,rh.ljutomer.ljt.total,rh.ljutomer.ljt.employee,rh.ljutomer.ljt.occupant,rh.metlika.met.total,rh.metlika.met.employee,rh.metlika.met.occupant,rh.maribor.dmt.total,rh.maribor.dmt.employee,rh.maribor.dmt.occupant,rh.hrastnik.hra.total,rh.hrastnik.hra.employee,rh.hrastnik.hra.occupant,rh.rogaška_slatina.rgs.total,rh.rogaška_slatina.rgs.employee,rh.rogaška_slatina.rgs.occupant,rh.murska_sobota.rakm.total,rh.murska_sobota.rakm.employee,rh.murska_sobota.rakm.occupant,rh.horjul.hor.total,rh.horjul.hor.employee,rh.horjul.hor.occupant,rh.vipava.zpv.total,rh.vipava.zpv.employee,rh.vipava.zpv.occupant,rh.ljubljana.bok.total,rh.ljubljana.bok.employee,rh.ljubljana.bok.occupant,rh.dravograd.dra.total,rh.dravograd.dra.employee,rh.dravograd.dra.occupant,rh.škofja_loka.css.total,rh.škofja_loka.css.employee,rh.škofja_loka.css.occupant,rh.ljubljana.sis.total,rh.ljubljana.sis.employee,rh.ljubljana.sis.occupant,rh.žalec.zal.total,rh.žalec.zal.employee,rh.žalec.zal.occupant,rh.sevnica.zdm.total,rh.sevnica.zdm.employee,rh.sevnica.zdm.occupant,rh.preddvor.prd.total,rh.preddvor.prd.employee,rh.preddvor.prd.occupant,rh.naklo.nak.total,rh.naklo.nak.employee,rh.naklo.nak.occupant,rh.domžale.mbd.total,rh.domžale.mbd.employee,rh.domžale.mbd.occupant,rh.radenci.rad.total,rh.radenci.rad.employee,rh.radenci.rad.occupant,rh.mengeš.men.total,rh.mengeš.men.employee,rh.mengeš.men.occupant,rh.jesenice.fbj.total,rh.jesenice.fbj.employee,rh.jesenice.fbj.occupant,rh.gorišnica.ptm.total,rh.gorišnica.ptm.employee,rh.gorišnica.ptm.occupant,rh.ptuj.pt.total,rh.ptuj.pt.employee,rh.ptuj.pt.occupant,rh.slovenska_bistrica.slb.total,rh.slovenska_bistrica.slb.employee,rh.slovenska_bistrica.slb.occupant,rh.postojna.dutp.total,rh.postojna.dutp.employee,rh.postojna.dutp.occupant,rh.sevnica.sev.total,rh.sevnica.sev.employee,rh.sevnica.sev.occupant,rh.ljubljana.kol.total,rh.ljubljana.kol.employee,rh.ljubljana.kol.occupant,rh.domžale.dom.total,rh.domžale.dom.employee,rh.domžale.dom.occupant,rh.ljubljana.trn.total,rh.ljubljana.trn.employee,rh.ljubljana.trn.occupant,rh.črnomelj.crm.total,rh.črnomelj.crm.employee,rh.črnomelj.crm.occupant,rh.štore.sto.total,rh.štore.sto.employee,rh.štore.sto.occupant,rh.celje.sjc.total,rh.celje.sjc.employee,rh.celje.sjc.occupant,rh.prevalje.pre.total,rh.prevalje.pre.employee,rh.prevalje.pre.occupant,rh.trebnje.tre.total,rh.trebnje.tre.employee,rh.trebnje.tre.occupant,rh.radovljica.rdl.total,rh.radovljica.rdl.employee,rh.radovljica.rdl.occupant,rh.logatec.log.total,rh.logatec.log.employee,rh.logatec.log.occupant,rh.logatec.dml.total,rh.logatec.dml.employee,rh.logatec.dml.occupant,rh.beltinci.belt.total,rh.beltinci.belt.employee,rh.beltinci.belt.occupant,rh.ljubljana.lmp.total,rh.ljubljana.lmp.employee,rh.ljubljana.lmp.occupant,rh.kranj.kr.total,rh.kranj.kr.employee,rh.kranj.kr.occupant,rh.sežana.sez.total,rh.sežana.sez.employee,rh.sežana.sez.occupant,rh.brezovica.ngo.total,rh.brezovica.ngo.employee,rh.brezovica.ngo.occupant,rh.ljubljana.fuz.total,rh.ljubljana.fuz.employee,rh.ljubljana.fuz.occupant,rh.lenart.lnt.total,rh.lenart.lnt.employee,rh.lenart.lnt.occupant,rh.križevci.luk.total,rh.križevci.luk.employee,rh.križevci.luk.occupant,rh.koper.kp.total,rh.koper.kp.employee,rh.koper.kp.occupant,rh.sežana.dut.total,rh.sežana.dut.employee,rh.sežana.dut.occupant,rh.idrija.bor.total,rh.idrija.bor.employee,rh.idrija.bor.occupant,rh.bohinj.boh.total,rh.bohinj.boh.employee,rh.bohinj.boh.occupant,rh.ribnica.rib.total,rh.ribnica.rib.employee,rh.ribnica.rib.occupant,rh.loški_potok.grol.total,rh.loški_potok.grol.employee,rh.loški_potok.grol.occupant,rh.maribor.dmm.total,rh.maribor.dmm.employee,rh.maribor.dmm.occupant,rh.novo_mesto.nm.total,rh.novo_mesto.nm.employee,rh.novo_mesto.nm.occupant,rh.ormož.orm.total,rh.ormož.orm.employee,rh.ormož.orm.occupant,rh.velenje.vel.total,rh.velenje.vel.employee,rh.velenje.vel.occupant,rh.tržič.trz.total,rh.tržič.trz.employee,rh.tržič.trz.occupant,rh.zagorje_ob_savi.izl.total,rh.zagorje_ob_savi.izl.employee,rh.zagorje_ob_savi.izl.occupant,rh.vojnik.voj.total,rh.vojnik.voj.employee,rh.vojnik.voj.occupant,rh.kranjska_gora.krg.total,rh.kranjska_gora.krg.employee,rh.kranjska_gora.krgoccupant,rh.postojna.tkp.total,rh.postojna.tkp.employee,rh.postojna.tkp.occupant,rh.ljubljana.pol.total,rh.ljubljana.pol.employee,rh.ljubljana.pol.occupant,rh.škofljica.sko.total,rh.škofljica.sko.employee,rh.škofljica.sko.occupant,rh.celje.osc.total,rh.celje.osc.employee,rh.celje.osc.occupant,rh.slovenj_gradec.slg.total,rh.slovenj_gradec.slg.employee,rh.slovenj_gradec.slg.occupant,rh.cerklje.cert.total,rh.cerklje.cert.employee,rh.cerklje.cert.occupant,rh.impoljca.bre.total,rh.impoljca.bre.employee,rh.impoljca.bre.occupant,rh.lucija.luc.total,rh.lucija.luc.employee,rh.lucija.luc.occupant,rh.medvode.mdv.total,rh.medvode.mdv.employee,rh.medvode.mdv.occupant,rh.prebold.prb.total,rh.prebold.prb.employee,rh.maribor.tezno.total,rh.maribor.tezno.employee,rh.maribor.tezno.occupant,rh.tujina.aus.total,rh.tujina.aus.employee,rh.tujina.aus.occupant,rh.tujina.trs.total,rh.tujina.trs.employee,rh.tujina.trs.occupant
2020-03-08,1,1,0,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,2,2,0,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,3,3,0,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,8,5,3,,,,,,,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,8,5,3,,,,,,,8,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,9,5,4,,,,,,,9,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,12,5,7,,,,,,,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,12,5,7,,,,,,,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,12,5,7,,,,,,,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,13,6,7,1,1,,,,,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,13,6,7,1,1,,,,,12,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,24,8,16,9,3,6,,,,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,26,9,17,11,4,7,,,,15,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
