date,absent.from,absent.to,school_type,school,person_type,person_class,reason
2020-10-28,2020-09-01,2021-08-31,PV,23055,E,PVV,PVOKU
2020-12-03,2020-11-27,2021-01-07,OS,393,E,OSDD,OSOKU
2020-12-21,2020-12-18,2021-01-04,OS,442,E,OSDD,OSOKU
2020-12-21,2020-12-18,2021-01-04,PV,10053,E,PVDD,PVOKU
2020-12-22,2020-12-22,2021-01-05,OS,122,E,OSU,OSOKU
2020-12-22,2020-12-21,2021-01-04,OS,194,E,OSDD,OSOKU
2020-12-22,2020-12-22,2021-01-05,PV,13389,E,PVDS,PVOKU
2020-12-22,2020-12-22,2021-01-06,SS,10769,E,SSU,SSOKU
2020-12-23,2020-12-23,2021-01-06,OS,544,E,OSU,OSOKU
2020-12-23,2020-12-11,2021-01-04,OS,6688,E,OSDD,OSOKU
2020-12-23,2020-12-22,2021-01-05,PV,13369,E,PVDS,PVOKU
2020-12-25,2020-12-24,2021-01-04,OS,377,E,OSDS,OSOKU
2020-12-25,2020-12-23,2021-01-06,PV,14489,E,PVV,PVOKU
2020-12-25,2020-12-25,2021-01-08,PV,14530,E,PVV,PVOKU
2020-12-25,2020-12-23,2021-01-06,PV,14549,E,PVV,PVOKU
2020-12-25,2020-12-24,2021-01-07,PV,16450,E,PVV,PVOKU
2020-12-26,2020-12-21,2021-01-04,OS,362,E,OSDD,OSOKU
2020-12-26,2020-12-25,2021-01-04,OSPP,464,E,OSPPU,OSPPOKU
2020-12-26,2020-12-25,2021-01-04,OSPP,464,E,OSPPDD,OSPPSUM
2020-12-26,2020-12-26,2021-01-05,PV,14771,E,PVV,PVSUM
2020-12-26,2020-12-22,2021-01-09,ZAV,1004,E,ZAVDS,ZAVOKU
2020-12-27,2020-12-26,2021-01-05,OS,112,E,OSU,OSOKU
2020-12-27,2020-12-26,2021-01-05,OSPP,3492,E,OSPPDD,OSPPOKU
2020-12-27,2020-12-26,2021-01-05,OSPP,464,E,OSPPU,OSPPSUM
2020-12-27,2020-12-28,2021-01-07,PV,3690,E,PVV,OSOKU
2020-12-28,2020-12-27,2021-01-06,OS,271,E,OSDD,OSOKU
2020-12-28,2020-12-26,2021-01-05,OS,436,E,OSU,OSOKU
2020-12-28,2020-12-28,2021-01-07,OSPP,3492,E,OSPPDS,OSPPOKU
2020-12-28,2020-12-26,2021-01-05,PV,1133,E,PVV,OSSUM
2020-12-28,2020-12-27,2021-01-05,PV,13489,E,PVV,OSOKU
2020-12-28,2020-12-28,2021-01-06,PV,13489,E,PVV,OSOKU
2020-12-28,2020-12-26,2021-01-05,PV,14049,E,PVDD,PVOKU
2020-12-28,2020-12-26,2021-01-05,PV,14058,E,PVV,PVOKU
2020-12-28,2020-12-28,2021-01-07,PV,14190,E,PVV,PVOKU
2020-12-28,2020-12-28,2021-01-11,PV,14530,E,PVV,PVOKU
2020-12-28,2020-12-26,2021-01-05,PV,15029,E,PVV,PVOKU
2020-12-28,2020-12-28,2021-01-04,PV,16910,E,PVDD,PVSUM
2020-12-28,2020-12-28,2021-01-07,PV,16910,E,PVDD,PVOKU
2020-12-28,2020-12-28,2021-01-07,SS,15,E,SSU,SSOKU
2020-12-28,2020-12-27,2021-01-08,ZAV,3571,E,ZAVU,ZAVSUM
2020-12-29,2020-12-28,2021-01-06,OS,359,E,OSU,OSSUM
2020-12-29,2020-12-28,2021-01-07,OS,3702,E,OSU,OSOKU
2020-12-29,2020-12-28,2021-01-07,OS,385,E,OSU,OSOKU
2020-12-29,2020-12-29,2021-01-06,OS,410,E,OSDS,OSOKU
2020-12-29,2020-12-26,2021-01-04,OS,421,E,OSU,OSOKU
2020-12-29,2020-12-26,2021-01-07,OS,562,E,OSU,OSOKU
2020-12-29,2020-12-28,2021-01-07,PV,1060,E,PVDD,PVOKU
2020-12-29,2020-12-26,2021-01-04,PV,11113,E,PVDS,PVSUM
2020-12-29,2020-12-24,2021-01-05,PV,11150,E,PVV,PVOKU
2020-12-29,2020-12-28,2021-01-06,PV,11150,E,PVV,PVOKU
2020-12-29,2020-12-28,2021-01-07,PV,11213,E,PVDS,PVOKU
2020-12-29,2020-12-27,2021-01-06,PV,11909,E,PVDS,PVOKU
2020-12-29,2020-12-28,2021-01-06,PV,12149,E,PVV,PVSUM
2020-12-29,2020-12-28,2021-01-06,PV,13390,E,PVDS,PVSUM
2020-12-29,2020-12-29,2021-01-07,PV,13489,E,PVV,OSSUM
2020-12-29,2020-12-29,2021-01-05,PV,14170,E,PVDD,PVOKU
2020-12-29,2020-12-28,2021-01-05,PV,15252,E,PVDD,OSOKU
2020-12-29,2020-12-28,2021-01-07,PV,15710,E,PVV,PVSUM
2020-12-29,2020-12-28,2021-01-07,PV,3690,E,PVDS,OSOKU
2020-12-29,2020-12-27,2021-01-06,PV,6680,E,PVDD,OSOKU
2020-12-29,2020-12-29,2021-01-08,SS,15,E,SSU,SSOKU
2020-12-29,2020-12-26,2021-01-05,ZAV,1004,E,ZAVDS,ZAVSUM
2020-12-30,2020-12-29,2021-01-09,OS,118,E,OSDD,OSOKU
2020-12-30,2020-12-30,2021-01-09,OS,118,E,OSDD,OSOKU
2020-12-30,2020-12-28,2021-01-07,OS,1307,E,OSU,OSOKU
2020-12-30,2020-12-29,2021-01-08,OS,1307,E,OSU,OSOKU
2020-12-30,2020-12-29,2021-01-07,OS,325,E,OSDD,OSSUM
2020-12-30,2020-12-29,2021-01-09,OS,377,E,OSU,OSOKU
2020-12-30,2020-12-26,2021-01-04,OS,503,E,OSU,OSOKU
2020-12-30,2020-12-29,2021-01-08,OS,503,E,OSDD,OSOKU
2020-12-30,2020-12-27,2021-01-07,OS,924,E,OSU,OSOKU
2020-12-30,2020-12-29,2021-01-07,OS,955,E,OSDD,OSSUM
2020-12-30,2020-12-27,2021-01-09,OSPP,704,E,OSPPU,OSOKU
2020-12-30,2020-12-28,2021-01-07,PV,1127,E,PVV,OSOKU
2020-12-30,2020-12-30,2021-01-08,PV,11470,E,PVDD,PVOKU
2020-12-30,2020-12-29,2021-01-06,PV,11849,E,PVDD,PVSUM
2020-12-30,2020-12-27,2021-01-05,PV,1200,E,PVDD,PVOKU
2020-12-30,2020-12-30,2021-01-09,PV,12689,E,PVDS,OSOKU
2020-12-30,2020-12-30,2021-01-09,PV,12689,E,PVDD,OSOKU
2020-12-30,2020-12-29,2021-01-08,PV,14171,E,PVV,PVOKU
2020-12-30,2020-12-27,2021-01-06,PV,14192,E,PVDD,PVOKU
2020-12-30,2020-12-29,2021-01-12,PV,14492,E,PVV,PVOKU
2020-12-30,2020-12-30,2021-01-13,PV,14492,E,PVV,PVOKU
2020-12-30,2020-12-29,2021-01-12,PV,16450,E,PVV,PVOKU
2020-12-30,2020-12-30,2021-01-08,PV,16529,E,PVV,PVSUM
2020-12-30,2020-12-28,2021-01-07,PV,3768,E,PVV,OSOKU
2020-12-30,2020-12-30,2021-01-09,PV,3828,E,PVDD,OSOKU
2020-12-30,2020-12-30,2021-01-09,ZAV,1004,E,ZAVV,ZAVSUM
2020-12-31,2020-12-30,2021-01-08,OS,1037,E,OSU,OSSUM
2020-12-31,2020-12-29,2021-01-08,OS,125,E,OSDD,OSOKU
2020-12-31,2020-12-30,2021-01-09,OS,125,E,OSDD,OSOKU
2020-12-31,2020-12-28,2021-01-07,OS,339,E,OSU,OSOKU
2020-12-31,2020-12-31,2021-01-08,OS,431,E,OSDD,OSOKU
2020-12-31,2020-12-30,2021-01-09,OS,488,E,OSU,OSOKU
2020-12-31,2020-12-24,2021-01-07,PV,1254,E,PVDS,OSOKU
2020-12-31,2020-12-31,2021-01-09,PV,1254,E,PVDD,OSSUM
2020-12-31,2020-12-28,2021-01-07,PV,1322,E,PVV,PVOKU
2020-12-31,2020-12-31,2021-01-10,PV,14050,E,PVV,PVOKU
2020-12-31,2020-12-30,2021-01-09,PV,14057,E,PVV,PVOKU
2020-12-31,2020-12-29,2021-01-07,PV,14350,E,PVDD,PVSUM
2020-12-31,2020-12-28,2021-01-11,PV,14492,E,PVV,PVOKU
2020-12-31,2020-12-30,2021-01-13,PV,14492,E,PVV,PVOKU
2020-12-31,2020-12-29,2021-01-08,PV,3668,E,PVV,OSSUM
2020-12-31,2020-12-30,2021-01-09,ZAV,1001,E,ZAVU,ZAVOKU
2020-12-31,2020-12-31,2021-01-10,ZAV,1005,E,ZAVDD,ZAVOKU
2021-01-01,2020-12-22,2021-01-05,OS,122,E,OSU,OSOKU
2021-01-01,2020-12-22,2021-01-05,OS,122,E,OSDD,OSOKU
2021-01-01,2020-12-22,2021-01-05,OS,122,E,OSDD,OSOKU
2021-01-01,2020-12-28,2021-01-11,OS,122,E,OSU,OSOKU
2021-01-01,2020-12-31,2021-01-10,OS,273,E,OSU,OSOKU
2021-01-01,2020-12-30,2021-01-09,OS,455,E,OSDS,OSOKU
2021-01-01,2020-12-29,2021-01-07,PV,13489,E,PVDS,OSOKU
2021-01-01,2020-12-31,2021-01-09,PV,14229,E,PVV,PVSUM
2021-01-02,2021-01-02,2021-01-11,OS,1307,E,OSDD,OSOKU
2021-01-02,2020-12-30,2021-01-08,OS,1308,E,OSU,OSOKU
2021-01-02,2020-12-31,2021-01-11,OS,143,E,OSDS,OSOKU
2021-01-02,2021-01-02,2021-01-11,OS,3709,E,OSDS,OSSUM
2021-01-02,2021-01-01,2021-01-10,PV,1092,E,PVV,PVOKU
2021-01-02,2020-12-30,2021-01-08,PV,1092,E,PVV,PVOKU
2021-01-02,2020-12-29,2021-01-07,PV,12389,E,PVDD,PVSUM
2021-01-02,2021-01-01,2021-01-10,PV,14369,E,PVV,PVSUM
2021-01-03,2021-01-03,2021-01-13,OS,112,E,OSU,OSOKU
2021-01-03,2020-12-28,2021-01-06,OS,1307,E,OSDD,OSOKU
2021-01-03,2021-01-04,2021-01-10,OS,322,E,OSU,OSOKU
2021-01-03,2021-01-04,2021-01-10,OS,322,E,OSU,OSOKU
2021-01-03,2020-12-28,2021-01-07,OS,534,E,OSDS,OSOKU
2021-01-03,2020-12-31,2021-01-10,PV,1322,E,PVDS,PVOKU
2021-01-03,2020-12-30,2021-01-08,PV,14084,E,PVV,PVOKU
2021-01-03,2021-01-03,2021-01-13,PV,15251,E,PVV,OSSUM
2021-01-03,2020-12-28,2021-01-06,PV,3666,E,PVV,OSOKU
2021-01-03,2020-12-25,2021-01-05,SS,37,E,SSU,SSOKU
2021-01-04,2020-12-31,2021-01-10,OS,1203,E,OSU,OSOKU
2021-01-04,2021-01-04,2021-01-14,OS,1229,E,OSDS,OSOKU
2021-01-04,2021-01-04,2021-01-13,OS,1307,E,OSDD,OSOKU
2021-01-04,2021-01-04,2021-01-13,OS,1344,E,OSDS,OSOKU
2021-01-04,2021-01-01,2021-01-10,OS,1352,E,OSU,OSSUM
2021-01-04,2021-01-03,2021-01-13,OS,179,E,OSU,OSSUM
2021-01-04,2021-01-01,2021-01-11,OS,238,E,OSDD,OSOKU
2021-01-04,2021-01-03,2021-01-13,OS,238,E,OSU,OSOKU
2021-01-04,2020-12-30,2021-01-08,OS,241,E,OSU,OSOKU
2021-01-04,2021-01-02,2021-01-12,OS,243,E,OSDS,OSSUM
2021-01-04,2021-01-02,2021-01-15,OS,246,E,OSU,OSOKU
2021-01-04,2021-01-04,2021-01-14,OS,283,E,OSDS,OSOKU
2021-01-04,2021-01-04,2021-01-13,OS,285,E,OSDS,OSOKU
2021-01-04,2020-12-28,2021-01-07,OS,285,E,OSDS,OSOKU
2021-01-04,2021-01-04,2021-01-09,OS,325,E,OSDD,OSSUM
2021-01-04,2021-01-04,2021-01-13,OS,359,E,OSDD,OSOKU
2021-01-04,2021-01-04,2021-01-12,OS,377,E,OSU,OSOKU
2021-01-04,2020-12-25,2021-01-05,OS,402,E,OSU,OSOKU
2021-01-04,2020-12-31,2021-01-10,OS,409,E,OSDD,OSSUM
2021-01-04,2021-01-04,2021-01-18,OS,442,E,OSU,OSSUM
2021-01-04,2021-01-04,2021-01-18,OS,442,E,OSU,OSOKU
2021-01-04,2021-01-05,2021-01-15,OS,468,E,OSU,OSSUM
2021-01-04,2020-12-26,2021-01-05,OS,477,E,OSU,OSOKU
2021-01-04,2021-01-04,2021-01-10,OS,501,E,OSDD,OSSUM
2021-01-04,2021-01-04,2021-01-10,OS,501,E,OSDD,OSSUM
2021-01-04,2021-01-01,2021-01-11,OS,560,E,OSU,OSOKU
2021-01-04,2020-12-31,2021-01-10,OS,560,E,OSDS,OSOKU
2021-01-04,2021-01-04,2021-01-14,OS,562,E,OSDD,OSOKU
2021-01-04,2021-01-04,2021-01-14,OS,563,E,OSDS,OSOKU
2021-01-04,2020-12-29,2021-01-07,OS,578,E,OSU,OSOKU
2021-01-04,2021-01-02,2021-01-11,OS,6687,E,OSDD,OSSUM
2021-01-04,2021-01-04,2021-01-10,OS,761,E,OSU,OSOKU
2021-01-04,2021-01-04,2021-01-11,OS,873,E,OSU,OSOKU
2021-01-04,2020-12-31,2021-01-08,OSPP,138,E,OSPPDS,OSPPOKU
2021-01-04,2021-01-04,2021-01-14,OSPP,452,E,OSPPU,OSPPSUM
2021-01-04,2021-01-04,2021-01-14,OSPP,452,E,OSPPU,OSPPSUM
2021-01-04,2021-01-04,2021-01-05,OSPP,547,E,OSPPU,OSPPSUM
2021-01-04,2020-12-31,2021-01-10,PV,11071,E,PVV,PVOKU
2021-01-04,2020-12-25,2021-01-04,PV,1114,E,PVDS,PVOKU
2021-01-04,2020-12-29,2021-01-08,PV,1114,E,PVDS,PVOKU
2021-01-04,2021-01-03,2021-01-13,PV,1127,E,PVV,OSOKU
2021-01-04,2021-01-03,2021-01-13,PV,1142,E,PVDD,OSOKU
2021-01-04,2020-12-31,2021-01-09,PV,1180,E,PVV,OSOKU
2021-01-04,2021-01-04,2021-01-10,PV,11829,E,PVV,PVSUM
2021-01-04,2021-01-04,2021-01-08,PV,11830,E,PVDS,PVSUM
2021-01-04,2021-01-04,2021-01-09,PV,11830,E,PVDS,PVSUM
2021-01-04,2021-01-03,2021-01-13,PV,1188,E,PVV,PVOKU
2021-01-04,2020-12-30,2021-01-09,PV,1188,E,PVV,PVOKU
2021-01-04,2021-01-01,2021-01-10,PV,11889,E,PVV,PVSUM
2021-01-04,2020-12-31,2021-01-11,PV,1247,E,PVV,OSOKU
2021-01-04,2021-01-04,2021-01-14,PV,14050,E,PVDD,PVSUM
2021-01-04,2020-12-30,2021-01-09,PV,14050,E,PVDS,PVSUM
2021-01-04,2020-12-28,2021-01-06,PV,14112,E,PVV,PVOKU
2021-01-04,2021-01-03,2021-01-12,PV,14115,E,PVV,PVOKU
2021-01-04,2021-01-04,2021-01-18,PV,14492,E,PVV,PVOKU
2021-01-04,2020-12-31,2021-01-10,PV,14636,E,PVV,PVOKU
2021-01-04,2020-12-31,2021-01-09,PV,14709,E,PVV,PVSUM
2021-01-04,2021-01-04,2021-01-14,PV,14770,E,PVV,PVOKU
2021-01-04,2021-01-04,2021-01-14,PV,14770,E,PVV,PVSUM
2021-01-04,2021-01-03,2021-01-12,PV,15069,E,PVDD,PVSUM
2021-01-04,2021-01-04,2021-01-13,PV,16029,E,PVV,PVSUM
2021-01-04,2020-12-31,2021-01-09,PV,18590,E,PVDS,PVSUM
2021-01-04,2020-12-30,2021-01-08,PV,18997,E,PVV,PVOKU
2021-01-04,2021-01-04,2021-01-18,PV,20915,E,PVV,OSOKU
2021-01-04,2020-12-31,2021-01-12,PV,23195,E,PVV,OSOKU
2021-01-04,2021-01-04,2021-01-07,PV,23835,E,PVV,PVOKU
