date,date.to,municipality,type,school,unit,confirmed,confirmed.attendee,confirmed.employees,description,source,openstreetmap,geo-longitude,geo-latitude
2020-08-28,2020-09-06,Krško,SŠ,ŠC Krško - Sevnica,,6,,6,6 zaposlenih,https://www.delo.si/novice/slovenija/krsko-profesorji-v-karanteni-344535.html,,45.945255,15.48604
2020-09-01,,Medvode,OŠ,OŠ Preska,,1,1,,dva 4. razreda,https://www.24ur.com/novice/korona/koronavirus-slovenija_3.html,https://www.openstreetmap.org/way/331456950,46.133002,14.410409
2020-09-01,,Kranj,SŠ,Gimnazija Franceta Prešerna,,,,,en oddelek,https://www.24ur.com/novice/korona/potrdili-novih-primerov-v-karanteni-dva-oddelka-os-koseze.html,https://www.openstreetmap.org/relation/6442455,46.252874,14.351175
2020-09-01,,Maribor,SŠ,III. gimnazija,,,,,en oddelek,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/102956939,46.560699,15.641085
2020-09-01,,Maribor,Vrtec,Vrtec Rače,,1,,1,7 zaposlenih,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/399305208,46.45427,15.680207
2020-09-02,,Celje,Vrtec,Vrtec Zarja,Ringa raja,1,,1,5 zaposlenih in 12 otrok,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/relation/5758642,46.238609,15.26692
2020-09-03,,Rogaška Slatina,OŠ,I. OŠ Rogaška Slatina,,1,,1,kuharica + kuhinjsko osebje,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/374766882,46.230937,15.637547
2020-09-03,,Ljubljana,OŠ,OŠ Danile Kumar,,1,1,,5. razred,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/relation/4834980,46.087114,14.510781
2020-09-03,,Sevnica,OŠ,OŠ Sava Kladnika,,,,,razred in razredničarka,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/144115451,45.970878,15.349807
2020-09-04,2020-09-15,Braslovče,Vrtec,Vrtec Trnava,,,,,23 zaposlenim pa so odredili karanteno oz. samoizolacijo,https://www.24ur.com/novice/korona/okuzbe-z-novim-koronavirusom-na-treh-solah.html,https://www.openstreetmap.org/way/297975039,46.287351,15.040171
