date,changed.from,changed.to,school_type,school,subunit,students,regime,reason
2020-12-23,2020-12-22,2021-01-31,PV,1189,1002,5,PVKAR,PVOKUV
2021-01-20,2021-01-20,2021-01-30,OSPP,486,1016,5,OSPPKAR,OSPPOKUU
2021-01-21,2021-01-20,2021-01-29,PV,13350,1002,5,PVKAR,PVSUMUC
2021-01-22,2021-01-20,2021-01-29,ZAV,1002,1047,8,ZAVKAR,ZAVOKUUC
2021-01-22,2021-01-22,2021-01-31,PV,13389,1002,6,PVKAR,PVOKUDS
2021-01-22,2021-01-19,2021-01-29,PV,12169,1002,7,PVKAR,PVOKUV
2021-01-22,2021-01-20,2021-01-29,PV,12169,1002,7,PVKAR,PVOKUDS
2021-01-22,2021-01-22,2021-02-01,OSPP,235,1016,10,OSPPKAR,OSPPOKUU
2021-01-22,2021-01-20,2021-01-29,PV,1153,1001,5,OSKAR,OSOKUDS
2021-01-23,2021-01-21,2021-01-30,PV,11470,1001,5,PVKAR,PVOKUV
2021-01-23,2021-01-21,2021-01-30,PV,14114,1003,12,PVKAR,PVOKUV
2021-01-23,2021-01-21,2021-01-30,PV,12669,1003,11,PVKAR,PVOKUUC
2021-01-23,2021-01-23,2021-02-02,OSPP,494,1021,7,OSPPKAR,OSPPSUMUC
2021-01-24,2021-01-25,2021-01-29,ZAV,1001,1043,3,ZAVKAR,ZAVOKUU
2021-01-24,2021-01-25,2021-01-29,PV,14489,1002,9,PVKAR,PVOKUUC
2021-01-24,2021-01-22,2021-01-31,PV,1135,1002,13,OSKAR,OSOKUU
2021-01-25,2021-01-21,2021-01-30,PV,12169,1002,7,PVKAR,PVOKUDS
2021-01-25,2021-01-22,2021-01-31,OSPP,281,1013,2,OSPPKAR,OSPPOKUU
2021-01-25,2021-01-22,2021-01-31,OSPP,281,1018,3,OSPPKAR,OSPPOKUU
2021-01-25,2021-01-22,2021-01-31,OSPP,281,1018,2,OSPPKAR,OSPPOKUU
2021-01-25,2021-01-22,2021-02-01,OSPP,486,1020,6,OSPPKAR,OSPPOKUU
2021-01-25,2021-01-25,2021-02-04,PV,23735,1003,6,OSPPKAR,OSPPOKUDS
2021-01-25,2021-01-25,2021-02-04,PV,23735,1003,5,OSPPKAR,OSPPOKUDS
2021-01-25,2021-01-26,2021-02-05,PV,23735,1003,5,OSPPKAR,OSPPSUMU
2021-01-25,2021-01-20,2021-01-29,OSPP,529,1019,8,OSPPKAR,OSPPOKUU
