date,changed.from,changed.to,school_type,school,person_class,attendees,regime,reason
2020-12-23,2020-12-22,2021-01-31,PV,1189,PVSO2,5,PVKAR,PVOKUV
2020-12-28,2020-12-28,2021-01-06,PV,12531,PVSO2,21,PVKAR,PVOKUUC
2021-01-05,2021-01-05,2021-01-15,PV,1167,PVSO2,6,OSKAR,OSOKUDS
2021-01-06,2020-12-31,2021-01-09,PV,1092,PVSO2,7,PVKAR,PVOKUV
2021-01-06,2021-01-04,2021-01-14,PV,11070,PVSO1,4,PVKAR,PVOKUV
2021-01-07,2021-01-07,2021-01-15,OSPP,138,OSPP7,11,OSPPKAR,OSPPOKUUC
2021-01-07,2021-01-07,2021-01-15,OSPP,138,OSPP7,11,OSPPKAR,OSPPOKUUC
2021-01-07,2021-01-07,2021-01-16,PV,1072,PVSO2,14,PVPRI,PVSUMUC
2021-01-07,2021-01-05,2021-01-15,PV,11550,PVSO2,9,PVKAR,PVOKUDS
2021-01-07,2021-01-06,2021-01-15,PV,21695,PVSO12,19,PVKAR,PVOKUV
2021-01-07,2021-01-06,2021-01-15,PV,21695,PVSO12,19,PVKAR,PVSUMDD
2021-01-07,2021-01-07,2021-01-17,ZAV,1004,ZAVST1,4,ZAVKAR,ZAVOKUU
2021-01-08,2021-01-04,2021-01-14,PV,1126,PVSO2,6,OSKAR,OSSUMDS
2021-01-08,2021-01-04,2021-01-14,PV,1126,PVSO2,6,OSKAR,OSOKUU
2021-01-08,2021-01-08,2021-01-15,PV,1198,PVSO12,8,PVKAR,PVOKUV
2021-01-08,2021-01-06,2021-01-15,PV,1228,PVSO12,6,OSKAR,OSOKUU
2021-01-10,2021-01-04,2021-01-07,PV,12410,PVSO12,3,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,6,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,4,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,5,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,5,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,4,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,6,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,5,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,4,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,4,PVPRI,PVSUMV
2021-01-10,2021-01-04,2021-01-08,PV,12410,PVSO12,6,PVPRI,PVSUMV
