sewage.date,sewage.station,sewage.genome,sewage.ratio,sewage.region
2022-09-04,ČN Maribor,BA.5* [Omikron (BA.5.X)],0.9927,mb
2022-09-04,ČN Maribor,BQ.1* [Omikron (BQ.1.X)],0.0019,mb
2022-09-04,ČN Maribor,Drugo,0.0024,mb
2022-09-05,CČN Slovenj Gradec,BA.5* [Omikron (BA.5.X)],0.9497,sg
2022-09-05,CČN Slovenj Gradec,Drugo,0.0018,sg
2022-09-05,CČN Slovenj Gradec,Omikron,0.0439,sg
2022-09-05,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9636,ce
2022-09-05,OČN Šaleške doline,BQ.1* [Omikron (BQ.1.X)],0.0061,ce
2022-09-05,OČN Šaleške doline,Omikron,0.0303,ce
2022-09-05,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9947,kp
2022-09-05,ČN Koper,Drugo,0.0013,kp
2022-09-05,ČN Koper,Omikron,0.0029,kp
2022-09-05,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.9972,nm
2022-09-05,ČN Novo mesto,Drugo,0.0013,nm
2022-09-07,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9971,kk
2022-09-07,CČN Brežice,Drugo,0.0014,kk
2022-09-11,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9987,lj
2022-09-11,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9812,lj
2022-09-11,ČN Domžale Kamnik,Omikron,0.0185,lj
2022-09-11,ČN Kranj,BA.5* [Omikron (BA.5.X)],0.001,kr
2022-09-11,ČN Nova Gorica,BA.5* [Omikron (BA.5.X)],0.8663,ng
2022-09-11,ČN Nova Gorica,Drugo,0.0021,ng
2022-09-11,ČN Nova Gorica,Omikron,0.1316,ng
2022-09-12,CČN Brežice,BA.5* [Omikron (BA.5.X)],0.9971,kk
2022-09-12,CČN Brežice,Drugo,0.0014,kk
2022-09-12,CČN Murska Sobota,BA.5* [Omikron (BA.5.X)],0.9926,ms
2022-09-12,CČN Murska Sobota,Drugo,0.001,ms
2022-09-12,CČN Murska Sobota,Omikron,0.0016,ms
2022-09-12,CČN Postojna,BA.5* [Omikron (BA.5.X)],0.9991,po
2022-09-12,CČN Trbovlje,BA.5* [Omikron (BA.5.X)],0.9976,za
2022-09-12,CČN Trbovlje,Drugo,0.0014,za
2022-09-12,CČN Zagorje,BA.5* [Omikron (BA.5.X)],0.9637,za
2022-09-12,CČN Zagorje,BQ.1* [Omikron (BQ.1.X)],0.001,za
2022-09-12,CČN Zagorje,Drugo,0.0011,za
2022-09-12,CČN Zagorje,Omikron,0.0333,za
2022-09-12,OČN Šaleške doline,BA.5* [Omikron (BA.5.X)],0.9954,ce
2022-09-12,ČN Koper,BA.5* [Omikron (BA.5.X)],0.9962,kp
2022-09-12,ČN Koper,Omikron,0.0038,kp
2022-09-12,ČN Novo mesto,BA.5* [Omikron (BA.5.X)],0.001,nm
2022-09-18,CČN Ljubljana,BA.5* [Omikron (BA.5.X)],0.9545,lj
2022-09-18,CČN Ljubljana,BQ.1* [Omikron (BQ.1.X)],0.0022,lj
2022-09-18,CČN Ljubljana,Drugo,0.0022,lj
2022-09-18,CČN Ljubljana,Omikron,0.0394,lj
2022-09-18,ČN Domžale Kamnik,BA.5* [Omikron (BA.5.X)],0.9917,lj
