day,date,phase,tests.performed.todate,tests.performed,tests.positive.todate,tests.positive,tests.regular.performed.todate,tests.regular.performed,tests.regular.positive.todate,tests.regular.positive,tests.ns-apr20.performed.todate,tests.ns-apr20.performed,tests.ns-apr20.positive.todate,tests.ns-apr20.positive,cases.confirmed.todate,cases.confirmed,cases.active,cases.recovered.todate,cases.closed.todate,cases.hs.employee.confirmed.todate,cases.rh.employee.confirmed.todate,cases.rh.occupant.confirmed.todate,cases.unclassified.confirmed.todate
-8,2020-02-24,F0,38,,,,38,,,,,,,,,,,,,,,,
-7,2020-02-25,F0,59,21,,,59,21,,,,,,,,,,,,,,,
-6,2020-02-26,F0,100,41,,,100,41,,,,,,,,,,,,,,,
-5,2020-02-27,F0,143,43,,,143,43,,,,,,,,,,,,,,,
-4,2020-02-28,F0,178,35,,,178,35,,,,,,,,,,,,,,,
-3,2020-02-29,F0,194,16,,,194,16,,,,,,,,,,,,,,,
-2,2020-03-01,F0,211,17,,,211,17,,,,,,,,,,,,,,,
-1,2020-03-02,F0,265,54,,,265,54,,,,,,,,,,,,,,,
0,2020-03-03,F0,313,48,,,313,48,,,,,,,,,,,,,,,
1,2020-03-04,F1,364,51,1,1,364,51,1,1,,,,,1,1,1,,,,,0,1
2,2020-03-05,F1,467,103,6,5,467,103,6,5,,,,,6,5,6,,,1,,0,5
3,2020-03-06,F1,745,278,9,3,745,278,9,3,,,,,10,4,10,,,3,,0,7
4,2020-03-07,F1,922,177,13,4,922,177,13,4,,,,,15,5,15,,,3,,0,12
5,2020-03-08,F1,1160,238,19,6,1160,238,19,6,,,,,20,5,20,,,5,1,0,14
6,2020-03-09,F1,1527,367,29,10,1527,367,29,10,,,,,31,11,31,,,9,2,1,19
7,2020-03-10,F1,2069,542,47,18,2069,542,47,18,,,,,48,17,48,,,11,3,2,32
8,2020-03-11,F1,2818,749,77,30,2818,749,77,30,,,,,83,35,83,,,17,5,2,59
9,2020-03-12,F1,3863,1045,127,50,3863,1045,127,50,,,,,133,50,133,,,17,5,3,108
10,2020-03-13,F1,5060,1197,174,47,5060,1197,174,47,,,,,179,46,179,,,17,5,8,149
11,2020-03-14,F2,5976,916,215,41,5976,916,215,41,,,,,215,36,214,,1,20,5,8,182
12,2020-03-15,F2,6566,590,247,32,6566,590,247,32,,,,,250,35,249,,1,22,5,8,215
13,2020-03-16,F2,7437,871,272,25,7437,871,272,25,,,,,276,26,275,,1,27,5,8,236
14,2020-03-17,F2,8558,1121,283,11,8558,1121,283,11,,,,,286,10,285,,1,29,6,8,243
15,2020-03-18,F2,9584,1026,315,32,9584,1026,315,32,,,,,318,32,317,0,1,30,6,15,267
16,2020-03-19,F2,10768,1184,339,24,10768,1184,339,24,,,,,341,23,335,5,6,30,8,18,285
17,2020-03-20,F2,12010,1242,368,29,12010,1242,368,29,,,,,369,28,359,9,10,33,9,18,309
18,2020-03-21,F2,12882,872,402,34,12882,872,402,34,,,,,406,37,391,14,15,33,9,25,339
19,2020-03-22,F2,13613,731,439,37,13613,731,439,37,,,,,442,36,422,18,20,33,9,31,369
20,2020-03-23,F2,14870,1257,478,39,14870,1257,478,39,,,,,478,36,447,28,31,36,11,37,394
21,2020-03-24,F3,16113,1243,528,50,16113,1243,528,50,,,,,526,48,478,44,48,59,14,44,409
22,2020-03-25,F3,17294,1181,577,49,17294,1181,577,49,,,,,573,47,490,78,83,59,14,51,449
23,2020-03-26,F3,18369,1075,638,61,18369,1075,638,61,,,,,634,61,501,126,133,75,15,79,465
24,2020-03-27,F3,19753,1384,691,53,19753,1384,691,53,,,,,686,52,507,170,179,82,23,90,491
25,2020-03-28,F3,20752,999,737,46,20752,999,737,46,,,,,733,47,518,204,215,83,24,104,522
26,2020-03-29,F3,21349,597,763,26,21349,597,763,26,,,,,757,24,507,238,250,84,24,115,534
27,2020-03-30,F3,22474,1125,814,51,22474,1125,814,51,,,,,805,48,529,263,276,84,30,135,556
28,2020-03-31,F3,23762,1288,855,41,23762,1288,855,41,,,,,842,37,556,271,286,84,30,144,584
29,2020-04-01,F3,24857,1095,911,56,24857,1095,911,56,,,,,897,55,579,302,318,89,32,172,604
30,2020-04-02,F3,25921,1064,948,37,25921,1064,948,37,,,,,937,40,596,321,341,93,35,185,624
31,2020-04-03,F3,27109,1188,989,41,27109,1188,989,41,,,,,978,41,609,347,369,101,42,201,634
32,2020-04-04,F3,27764,655,1009,20,27764,655,1009,20,,,,,998,20,592,378,406,107,49,204,638
33,2020-04-05,F3,28253,489,1032,23,28253,489,1032,23,,,,,1021,23,579,412,442,114,56,211,640
34,2020-04-06,F3,29455,1202,1067,35,29455,1202,1067,35,,,,,1056,35,578,442,478,119,70,222,645
35,2020-04-07,F3,30669,1214,1103,36,30669,1214,1103,36,,,,,1092,36,566,486,526,130,72,225,665
36,2020-04-08,F4,31813,1144,1136,33,31813,1144,1136,33,,,,,1125,33,552,530,573,136,72,228,689
37,2020-04-09,F4,33047,1234,1171,35,33047,1234,1171,35,,,,,1160,35,526,589,634,139,79,239,703
38,2020-04-10,F4,34279,1232,1199,28,34279,1232,1199,28,,,,,1189,29,503,636,686,144,83,243,719
39,2020-04-11,F4,34851,572,1216,17,34851,572,1216,17,,,,,1206,17,473,680,733,144,90,249,723
40,2020-04-12,F4,35405,554,1223,7,35405,554,1223,7,,,,,1213,7,456,702,757,147,92,249,725
41,2020-04-13,F4,35946,541,1231,8,35946,541,1231,8,,,,,1221,8,416,749,805,148,95,249,729
42,2020-04-14,F4,37114,1168,1258,27,37114,1168,1258,27,,,,,1248,27,406,781,842,148,106,256,738
43,2020-04-15,F5,38137,1023,1279,21,38137,1023,1279,21,,,,,1269,21,372,836,897,148,111,267,743
44,2020-04-16,F5,39330,1193,1315,36,39330,1193,1315,36,,,,,1305,36,368,871,937,152,117,279,757
45,2020-04-17,F5,40580,1250,1328,13,40580,1250,1328,13,,,,,1318,13,340,908,978,155,121,283,759
46,2020-04-18,F5,41265,685,1341,13,41265,685,1341,13,,,,,1331,13,333,924,998,156,122,289,764
47,2020-04-19,F5,41802,537,1346,5,41802,537,1346,5,,,,,1336,5,315,944,1021,156,123,289,768
