date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.administered3rd,vaccination.administered3rd.todate
2020-12-27,6199,6199,,,,
2020-12-28,1684,7883,,,,
2020-12-29,1325,9208,,,,
2020-12-30,423,9631,,,,
2020-12-31,1858,11489,,,,
2021-01-01,151,11640,,,,
2021-01-02,404,12044,,,,
2021-01-03,555,12599,,,,
2021-01-04,1091,13690,,,,
2021-01-05,2546,16236,,,,
2021-01-06,5392,21628,1,1,,
2021-01-07,5477,27105,,1,,
2021-01-08,3265,30370,1,2,,
2021-01-09,254,30624,,2,,
2021-01-10,1,30625,,2,,
2021-01-11,484,31109,,2,,
2021-01-12,1883,32992,,2,,
2021-01-13,4736,37728,3,5,,
2021-01-14,6747,44475,1,6,,
2021-01-15,4742,49217,148,154,,
2021-01-16,324,49541,,154,,
2021-01-17,3,49544,1,155,,
2021-01-18,43,49587,166,321,,
2021-01-19,544,50131,1647,1968,,
2021-01-20,1191,51322,3808,5776,,
2021-01-21,1288,52610,3493,9269,,
2021-01-22,1188,53798,996,10265,,
2021-01-23,231,54029,490,10755,,
2021-01-24,17,54046,134,10889,,
2021-01-25,3,54049,5,10894,,
2021-01-26,81,54130,1754,12648,,
2021-01-27,265,54395,4858,17506,,
2021-01-28,523,54918,5810,23316,,
2021-01-29,548,55466,4054,27370,,
2021-01-30,11,55477,106,27476,,
2021-01-31,1,55478,2,27478,,
2021-02-01,23,55501,44,27522,,
2021-02-02,19,55520,1100,28622,,
2021-02-03,185,55705,4675,33297,,
2021-02-04,610,56315,6855,40152,,
2021-02-05,364,56679,5334,45486,,
2021-02-06,28,56707,575,46061,,
2021-02-07,,56707,,46061,,
2021-02-08,399,57106,1,46062,,
2021-02-09,88,57194,32,46094,,
2021-02-10,2494,59688,729,46823,,
2021-02-11,6913,66601,1873,48696,,
2021-02-12,6930,73531,1809,50505,,
2021-02-13,711,74242,191,50696,,
2021-02-14,17,74259,16,50712,,
2021-02-15,76,74335,8,50720,,
2021-02-16,1055,75390,77,50797,,
2021-02-17,4948,80338,632,51429,,
2021-02-18,8330,88668,770,52199,,
2021-02-19,6171,94839,607,52806,,
2021-02-20,2525,97364,18,52824,,
2021-02-21,,97364,1,52825,,
2021-02-22,475,97839,4,52829,,
2021-02-23,1524,99363,12,52841,,
2021-02-24,6820,106183,190,53031,,
2021-02-25,10802,116985,192,53223,,
2021-02-26,7258,124243,549,53772,,
2021-02-27,920,125163,11,53783,,
2021-02-28,,125163,,53783,,
2021-03-01,1139,126302,,53783,,
2021-03-02,2180,128482,11,53794,,
2021-03-03,6582,135064,903,54697,,
2021-03-04,6736,141800,4665,59362,,
2021-03-05,4599,146399,5781,65143,,
2021-03-06,1364,147763,599,65742,,
2021-03-07,2,147765,,65742,,
2021-03-08,1411,149176,396,66138,,
2021-03-09,3694,152870,500,66638,,
2021-03-10,4792,157662,4977,71615,,
2021-03-11,6272,163934,7934,79549,,
2021-03-12,8484,172418,5182,84731,,
2021-03-13,6443,178861,2248,86979,,
2021-03-14,1,178862,,86979,,
2021-03-15,1342,180204,293,87272,,
2021-03-16,279,180483,785,88057,,
2021-03-17,452,180935,5715,93772,,
2021-03-18,1679,182614,8440,102212,,
2021-03-19,2989,185603,4529,106741,,
2021-03-20,4066,189669,182,106923,,
2021-03-21,1,189670,1,106924,,
2021-03-22,1129,190799,9,106933,,
2021-03-23,4001,194800,316,107249,,
2021-03-24,7374,202174,2630,109879,,
2021-03-25,11927,214101,2563,112442,,
2021-03-26,13793,227894,2353,114795,,
2021-03-27,6807,234701,497,115292,,
2021-03-28,1258,235959,3,115295,,
2021-03-29,1130,237089,7,115302,,
2021-03-30,7735,244824,325,115627,,
2021-03-31,13437,258261,1332,116959,,
2021-04-01,16801,275062,2690,119649,,
2021-04-02,10137,285199,2126,121775,,
2021-04-03,3101,288300,29,121804,,
2021-04-04,1594,289894,2,121806,,
2021-04-05,1,289895,,121806,,
2021-04-06,2470,292365,369,122175,,
2021-04-07,6150,298515,21,122196,,
2021-04-08,14758,313273,660,122856,,
2021-04-09,18565,331838,1705,124561,,
2021-04-10,9082,340920,131,124692,,
2021-04-11,1615,342535,14,124706,,
2021-04-12,1657,344192,206,124912,,
2021-04-13,3093,347285,787,125699,,
2021-04-14,7841,355126,3862,129561,,
2021-04-15,9495,364621,10062,139623,,
2021-04-16,8409,373030,5742,145365,,
2021-04-17,2507,375537,3657,149022,,
2021-04-18,1279,376816,7,149029,,
2021-04-19,2336,379152,374,149403,,
2021-04-20,5220,384372,1494,150897,,
2021-04-21,7747,392119,9162,160059,,
2021-04-22,8147,400266,11930,171989,,
2021-04-23,10893,411159,6852,178841,,
2021-04-24,2491,413650,472,179313,,
2021-04-25,658,414308,22,179335,,
2021-04-26,379,414687,8,179343,,
2021-04-27,461,415148,10,179353,,
2021-04-28,3196,418344,4821,184174,,
2021-04-29,6025,424369,13389,197563,,
2021-04-30,6356,430725,14894,212457,,
2021-05-01,873,431598,6371,218828,,
2021-05-02,1292,432890,2163,220991,,
2021-05-03,5105,437995,2949,223940,,
2021-05-04,7183,445178,2820,226760,,
2021-05-05,10188,455366,7988,234748,,
2021-05-06,15702,471068,12298,247046,,
2021-05-07,13597,484665,8648,255694,,
2021-05-08,5537,490202,5307,261001,,
2021-05-09,1667,491869,129,261130,,
2021-05-10,2333,494202,1383,262513,,
2021-05-11,8278,502480,2148,264661,,
2021-05-12,16619,519099,5886,270547,,
2021-05-13,19533,538632,9781,280328,,
2021-05-14,17452,556084,8726,289054,,
2021-05-15,6939,563023,4353,293407,,
2021-05-16,183,563206,2956,296363,,
2021-05-17,3560,566766,5136,301499,,
2021-05-18,10365,577131,3652,305151,,
2021-05-19,15945,593076,8089,313240,,
2021-05-20,23639,616715,7118,320358,,
2021-05-21,15099,631814,12873,333231,,
2021-05-22,3486,635300,7576,340807,,
2021-05-23,1217,636517,1859,342666,,
2021-05-24,1210,637727,5354,348020,,
2021-05-25,3743,641470,7035,355055,,
2021-05-26,7280,648750,15183,370238,,
2021-05-27,9286,658036,20594,390832,,
2021-05-28,8563,666599,14233,405065,,
2021-05-29,3874,670473,6910,411975,,
2021-05-30,1,670474,2,411977,,
2021-05-31,3001,673475,4098,416075,,
2021-06-01,4753,678228,11894,427969,,
2021-06-02,15928,694156,14616,442585,,
2021-06-03,18342,712498,20009,462594,,
2021-06-04,11172,723670,21077,483671,,
2021-06-05,6647,730317,6922,490593,,
2021-06-06,4065,734382,2732,493325,,
2021-06-07,3091,737473,4461,497786,,
2021-06-08,7513,744986,7848,505634,,
2021-06-09,9802,754788,14142,519776,,
2021-06-10,16223,771011,17832,537608,,
2021-06-11,7824,778835,17459,555067,,
2021-06-12,4689,783524,6703,561770,,
2021-06-13,2628,786152,715,562485,,
2021-06-14,2941,789093,3946,566431,,
2021-06-15,5698,794791,4981,571412,,
2021-06-16,7290,802081,10689,582101,,
2021-06-17,7753,809834,14263,596364,,
2021-06-18,4927,814761,10024,606388,,
2021-06-19,1338,816099,1346,607734,,
2021-06-20,90,816189,1415,609149,,
2021-06-21,1750,817939,4127,613276,,
2021-06-22,3084,821023,7858,621134,,
2021-06-23,4976,825999,15884,637018,,
2021-06-24,5135,831134,21759,658777,,
2021-06-25,10,831144,59,658836,,
2021-06-26,439,831583,3756,662592,,
2021-06-27,10,831593,11,662603,,
2021-06-28,1310,832903,5209,667812,,
2021-06-29,1954,834857,10366,678178,,
2021-06-30,3758,838615,11350,689528,,
2021-07-01,3704,842319,16924,706452,2,2
2021-07-02,3886,846205,11339,717791,1,3
2021-07-03,423,846628,1207,718998,,3
2021-07-04,,846628,18,719016,,3
2021-07-05,1452,848080,5548,724564,,3
2021-07-06,2247,850327,6727,731291,1,4
2021-07-07,4496,854823,9229,740520,2,6
2021-07-08,5724,860547,11391,751911,3,9
2021-07-09,4313,864860,8207,760118,23,32
2021-07-10,725,865585,627,760745,1,33
2021-07-11,216,865801,138,760883,1,34
2021-07-12,3011,868812,4090,764973,1,35
2021-07-13,3076,871888,4380,769353,1,36
2021-07-14,6258,878146,6538,775891,,36
2021-07-15,7547,885693,8981,784872,4,40
2021-07-16,6330,892023,6006,790878,1,41
2021-07-17,1381,893404,1093,791971,,41
2021-07-18,28,893432,10,791981,,41
2021-07-19,3168,896600,3007,794988,2,43
2021-07-20,3469,900069,3378,798366,1,44
2021-07-21,6169,906238,5504,803870,4,48
2021-07-22,6431,912669,6322,810192,4,52
2021-07-23,5870,918539,5300,815492,,52
2021-07-24,1112,919651,759,816251,,52
2021-07-25,8,919659,17,816268,,52
2021-07-26,3335,922994,2641,818909,1,53
2021-07-27,4863,927857,2900,821809,,53
2021-07-28,5218,933075,5145,826954,12,65
2021-07-29,5650,938725,6250,833204,2,67
2021-07-30,4110,942835,5297,838501,6,73
2021-07-31,1441,944276,1225,839726,1,74
2021-08-01,8,944284,9,839735,,74
2021-08-02,2633,946917,2984,842719,2,76
2021-08-03,3728,950645,2724,845443,1,77
2021-08-04,4135,954780,5005,850448,3,80
2021-08-05,4818,959598,6302,856750,5,85
2021-08-06,3201,962799,5404,862154,3,88
2021-08-07,659,963458,488,862642,2,90
2021-08-08,386,963844,161,862803,,90
2021-08-09,2198,966042,2320,865123,1,91
2021-08-10,2675,968717,2854,867977,,91
2021-08-11,3397,972114,4235,872212,6,97
2021-08-12,3907,976021,6272,878484,3,100
2021-08-13,3251,979272,5389,883873,3,103
2021-08-14,471,979743,456,884329,,103
2021-08-15,67,979810,39,884368,,103
2021-08-16,2839,982649,3211,887579,12,115
2021-08-17,3515,986164,3770,891349,2,117
2021-08-18,4027,990191,4447,895796,6,123
2021-08-19,4288,994479,5733,901529,7,130
2021-08-20,3715,998194,4665,906194,6,136
2021-08-21,557,998751,564,906758,,136
2021-08-22,2,998753,2,906760,,136
2021-08-23,2494,1001247,2689,909449,9,145
2021-08-24,3640,1004887,3653,913102,7,152
2021-08-25,3848,1008735,3968,917070,16,168
2021-08-26,4816,1013551,5295,922365,12,180
2021-08-27,3581,1017132,4278,926643,20,200
2021-08-28,739,1017871,577,927220,1,201
2021-08-29,48,1017919,25,927245,,201
2021-08-30,2562,1020481,2371,929616,14,215
2021-08-31,3031,1023512,2643,932259,9,224
2021-09-01,2900,1026412,2984,935243,26,250
2021-09-02,3871,1030283,4854,940097,26,276
2021-09-03,3492,1033775,3657,943754,31,307
2021-09-04,443,1034218,313,944067,5,312
2021-09-05,,1034218,,944067,,312
2021-09-06,2624,1036842,2427,946494,41,353
2021-09-07,4558,1041400,3467,949961,224,577
2021-09-08,4906,1046306,4198,954159,481,1058
2021-09-09,6387,1052693,5447,959606,1036,2094
2021-09-10,5199,1057892,4595,964201,652,2746
2021-09-11,1182,1059074,741,964942,233,2979
2021-09-12,1,1059075,1,964943,,2979
2021-09-13,6841,1065916,3596,968539,430,3409
2021-09-14,12499,1078415,5609,974148,968,4377
2021-09-15,12331,1090746,6319,980467,1176,5553
2021-09-16,14881,1105627,9230,989697,2046,7599
2021-09-17,11601,1117228,7166,996863,1969,9568
2021-09-18,6342,1123570,2311,999174,607,10175
2021-09-19,2700,1126270,754,999928,314,10489
2021-09-20,4954,1131224,2613,1002541,858,11347
2021-09-21,4861,1136085,2587,1005128,1368,12715
2021-09-22,4304,1140389,2965,1008093,1436,14151
2021-09-23,6167,1146556,5642,1013735,1891,16042
2021-09-24,5833,1152389,5534,1019269,1434,17476
2021-09-25,1219,1153608,988,1020257,288,17764
2021-09-26,508,1154116,451,1020708,38,17802
2021-09-27,2776,1156892,2840,1023548,544,18346
2021-09-28,3849,1160741,3975,1027523,1008,19354
2021-09-29,2361,1163102,3353,1030876,1811,21165
2021-09-30,2536,1165638,4865,1035741,1169,22334
2021-10-01,1682,1167320,4097,1039838,1033,23367
2021-10-02,371,1167691,519,1040357,183,23550
2021-10-03,25,1167716,20,1040377,,23550
2021-10-04,1006,1168722,3646,1044023,356,23906
2021-10-05,1255,1169977,5892,1049915,438,24344
2021-10-06,1257,1171234,6392,1056307,720,25064
2021-10-07,1547,1172781,10080,1066387,1273,26337
2021-10-08,1027,1173808,8202,1074589,813,27150
2021-10-09,247,1174055,1432,1076021,93,27243
2021-10-10,38,1174093,208,1076229,8,27251
2021-10-11,705,1174798,4529,1080758,364,27615
2021-10-12,1068,1175866,4447,1085205,709,28324
2021-10-13,845,1176711,3937,1089142,940,29264
2021-10-14,1043,1177754,5750,1094892,1464,30728
2021-10-15,891,1178645,3874,1098766,1181,31909
2021-10-16,148,1178793,281,1099047,29,31938
2021-10-17,10,1178803,29,1099076,,31938
2021-10-18,667,1179470,1918,1100994,592,32530
2021-10-19,725,1180195,2132,1103126,834,33364
2021-10-20,819,1181014,2167,1105293,1181,34545
2021-10-21,1154,1182168,3374,1108667,2224,36769
2021-10-22,886,1183054,2206,1110873,2360,39129
2021-10-23,147,1183201,209,1111082,69,39198
2021-10-24,,1183201,,1111082,,39198
2021-10-25,826,1184027,1055,1112137,873,40071
2021-10-26,1064,1185091,1541,1113678,1317,41388
2021-10-27,890,1185981,1166,1114844,1891,43279
2021-10-28,1638,1187619,2128,1116972,3692,46971
2021-10-29,1006,1188625,1166,1118138,2056,49027
2021-10-30,212,1188837,133,1118271,191,49218
2021-10-31,,1188837,,1118271,4,49222
2021-11-01,,1188837,,1118271,,49222
2021-11-02,1422,1190259,1400,1119671,2619,51841
2021-11-03,1190,1191449,1124,1120795,7203,59044
2021-11-04,2001,1193450,1700,1122495,13199,72243
2021-11-05,1775,1195225,1303,1123798,12241,84484
2021-11-06,735,1195960,283,1124081,4174,88658
2021-11-07,248,1196208,129,1124210,1663,90321
2021-11-08,1817,1198025,933,1125143,9376,99697
2021-11-09,2100,1200125,973,1126116,11515,111212
2021-11-10,2021,1202146,1247,1127363,15374,126586
2021-11-11,2721,1204867,1723,1129086,18852,145438
2021-11-12,2513,1207380,1556,1130642,17642,163080
2021-11-13,1134,1208514,387,1131029,5121,168201
2021-11-14,235,1208749,72,1131101,1069,169270
2021-11-15,2025,1210774,893,1131994,8575,177845
2021-11-16,2508,1213282,1101,1133095,13453,191298
2021-11-17,2321,1215603,1364,1134459,13099,204397
2021-11-18,2687,1218290,1956,1136415,15525,219922
2021-11-19,2241,1220531,1639,1138054,12051,231973
2021-11-20,963,1221494,397,1138451,4017,235990
2021-11-21,220,1221714,91,1138542,926,236916
2021-11-22,1210,1222924,474,1139016,5840,242756
2021-11-23,1579,1224503,1324,1140340,7287,250043
2021-11-24,1465,1225968,1406,1141746,10741,260784
2021-11-25,1555,1227523,2128,1143874,11987,272771
2021-11-26,1402,1228925,2017,1145891,9642,282413
2021-11-27,607,1229532,585,1146476,3050,285463
2021-11-28,75,1229607,79,1146555,354,285817
2021-11-29,907,1230514,1602,1148157,4863,290680
2021-11-30,1116,1231630,1716,1149873,6140,296820
2021-12-01,918,1232548,1934,1151807,8163,304983
2021-12-02,1050,1233598,2840,1154647,8555,313538
2021-12-03,990,1234588,2653,1157300,6905,320443
2021-12-04,251,1234839,525,1157825,1409,321852
2021-12-05,77,1234916,143,1157968,198,322050
2021-12-06,617,1235533,1891,1159859,3774,325824
2021-12-07,666,1236199,1963,1161822,4599,330423
2021-12-08,686,1236885,2281,1164103,5752,336175
2021-12-09,727,1237612,2841,1166944,6165,342340
2021-12-10,551,1238163,2778,1169722,5184,347524
2021-12-11,131,1238294,460,1170182,931,348455
2021-12-12,21,1238315,85,1170267,131,348586
