date,vaccination.age.0-11.1st.todate,vaccination.age.0-11.2nd.todate,vaccination.age.0-11.3rd.todate,vaccination.age.12-17.1st.todate,vaccination.age.12-17.2nd.todate,vaccination.age.12-17.3rd.todate,vaccination.age.18-24.1st.todate,vaccination.age.18-24.2nd.todate,vaccination.age.18-24.3rd.todate,vaccination.age.25-29.1st.todate,vaccination.age.25-29.2nd.todate,vaccination.age.25-29.3rd.todate,vaccination.age.30-34.1st.todate,vaccination.age.30-34.2nd.todate,vaccination.age.30-34.3rd.todate,vaccination.age.35-39.1st.todate,vaccination.age.35-39.2nd.todate,vaccination.age.35-39.3rd.todate,vaccination.age.40-44.1st.todate,vaccination.age.40-44.2nd.todate,vaccination.age.40-44.3rd.todate,vaccination.age.45-49.1st.todate,vaccination.age.45-49.2nd.todate,vaccination.age.45-49.3rd.todate,vaccination.age.50-54.1st.todate,vaccination.age.50-54.2nd.todate,vaccination.age.50-54.3rd.todate,vaccination.age.55-59.1st.todate,vaccination.age.55-59.2nd.todate,vaccination.age.55-59.3rd.todate,vaccination.age.60-64.1st.todate,vaccination.age.60-64.2nd.todate,vaccination.age.60-64.3rd.todate,vaccination.age.65-69.1st.todate,vaccination.age.65-69.2nd.todate,vaccination.age.65-69.3rd.todate,vaccination.age.70-74.1st.todate,vaccination.age.70-74.2nd.todate,vaccination.age.70-74.3rd.todate,vaccination.age.75-79.1st.todate,vaccination.age.75-79.2nd.todate,vaccination.age.75-79.3rd.todate,vaccination.age.80-84.1st.todate,vaccination.age.80-84.2nd.todate,vaccination.age.80-84.3rd.todate,vaccination.age.85-89.1st.todate,vaccination.age.85-89.2nd.todate,vaccination.age.85-89.3rd.todate,vaccination.age.90+.1st.todate,vaccination.age.90+.2nd.todate,vaccination.age.90+.3rd.todate
2020-12-27,,,,,,,13,,,35,,,78,,,77,,,111,,,170,,,212,,,302,,,234,,,311,,,401,,,493,,,926,,,1234,,,1602,,
2020-12-28,,,,,,,23,,,76,,,123,,,153,,,182,,,280,,,319,,,481,,,327,,,379,,,490,,,600,,,1100,,,1487,,,1865,,
2020-12-29,,,,,,,36,,,106,,,178,,,233,,,289,,,389,,,474,,,668,,,453,,,486,,,567,,,661,,,1166,,,1563,,,1942,,
2020-12-30,,,,,,,41,,,128,,,214,,,264,,,334,,,435,,,517,,,724,,,505,,,502,,,583,,,678,,,1184,,,1573,,,1951,,
2020-12-31,,,,1,,,58,,,214,,,335,,,450,,,562,,,667,,,805,,,1018,,,689,,,570,,,626,,,706,,,1221,,,1591,,,1978,,
2021-01-01,,,,1,,,65,,,223,,,348,,,470,,,583,,,683,,,829,,,1036,,,698,,,570,,,626,,,708,,,1222,,,1595,,,1985,,
2021-01-02,,,,1,,,88,,,263,,,394,,,504,,,637,,,737,,,880,,,1105,,,724,,,576,,,626,,,708,,,1223,,,1595,,,1985,,
2021-01-03,,,,1,,,90,,,316,,,467,,,567,,,707,,,813,1,,931,,,1175,,,757,,,591,,,633,,,714,,,1235,,,1605,,,2000,,
2021-01-04,,,,1,,,105,,,371,,,548,,,671,,,815,,,917,1,,1068,,,1348,,,866,,,637,,,663,,,724,,,1263,,,1633,,,2063,,
2021-01-05,,,,2,,,146,,,496,,,735,,,934,,,1084,,,1238,1,,1412,,,1765,,,1116,,,734,,,725,,,768,,,1298,,,1668,,,2118,,
2021-01-06,,,,5,,,232,,,840,,,1208,,,1480,,,1768,,,1915,1,,2079,,,2659,,,1614,,,925,,,856,,,832,,,1339,,,1720,,,2159,1,
2021-01-07,1,,,5,,,363,,,1236,,,1684,,,1992,,,2385,,,2590,1,,2750,,,3457,,,2134,,,1145,,,995,,,937,,,1425,,,1793,,,2216,1,
