id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
ajdovščina,ng,SI-001,Ajdovščina,19671,4785,0.24325148696050022,2571,0.13070001525087693
ankaran,kp,SI-213,Ankaran/Ancarano,3253,721,0.22164156163541346,342,0.10513372271749155
apače,ms,SI-195,Apače,3541,520,0.1468511719853149,222,0.06269415419373059
beltinci,ms,SI-002,Beltinci,8044,1528,0.1899552461461959,694,0.08627548483341621
benedikt,mb,SI-148,Benedikt,2611,396,0.15166602834163156,172,0.0658751436231329
bistrica_ob_sotli,kk,SI-149,Bistrica ob Sotli,1341,211,0.15734526472781507,89,0.06636838180462341
bled,kr,SI-003,Bled,7983,1988,0.24902918702242266,1137,0.14242765877489666
bloke,po,SI-150,Bloke,1603,396,0.24703680598877106,163,0.10168434185901434
bohinj,kr,SI-004,Bohinj,5360,1488,0.27761194029850744,878,0.16380597014925374
borovnica,lj,SI-005,Borovnica,4625,895,0.1935135135135135,494,0.10681081081081081
bovec,ng,SI-006,Bovec,3193,670,0.2098340119010335,412,0.12903225806451613
braslovče,ce,SI-151,Braslovče,5640,1272,0.225531914893617,650,0.11524822695035461
brda,ng,SI-007,Brda,5613,1162,0.207019419205416,490,0.08729734544806698
brezovica,lj,SI-008,Brezovica,12771,2574,0.20155038759689922,1346,0.10539503562759377
brežice,kk,SI-009,Brežice,24250,4129,0.1702680412371134,2526,0.10416494845360824
cankova,ms,SI-152,Cankova,1746,310,0.1775486827033219,116,0.06643757159221077
celje,ce,SI-011,Celje,49069,9335,0.19024231184658338,5218,0.10634005176384276
cerklje_na_gorenjskem,kr,SI-012,Cerklje na Gorenjskem,7796,1339,0.17175474602360186,662,0.0849153412006157
cerknica,po,SI-013,Cerknica,11668,2514,0.21546109016112444,1140,0.09770311964346932
cerkno,ng,SI-014,Cerkno,4588,973,0.21207497820401047,408,0.08892763731473409
cerkvenjak,mb,SI-153,Cerkvenjak,2170,276,0.1271889400921659,115,0.052995391705069124
cirkulane,mb,SI-196,Cirkulane,2374,350,0.14743049705139005,176,0.07413647851727043
črenšovci,ms,SI-015,Črenšovci,3995,769,0.19249061326658323,340,0.0851063829787234
črna_na_koroškem,sg,SI-016,Črna na Koroškem,3271,795,0.2430449403852033,455,0.13910119229593396
črnomelj,nm,SI-017,Črnomelj,14318,2669,0.18640871630115938,1069,0.07466126553987987
destrnik,mb,SI-018,Destrnik,2640,404,0.15303030303030302,177,0.06704545454545455
divača,kp,SI-019,Divača,4255,732,0.17203290246768507,397,0.09330199764982373
dobje,ce,SI-154,Dobje,942,148,0.15711252653927812,66,0.07006369426751592
dobrepolje,lj,SI-020,Dobrepolje,3894,818,0.21006676938880328,349,0.08962506420133538
dobrna,ce,SI-155,Dobrna,2241,356,0.15885765283355643,183,0.08165997322623829
dobrova-polhov_gradec,lj,SI-021,Dobrova - Polhov Gradec,7830,1654,0.21123882503192848,899,0.11481481481481481
dobrovnik,ms,SI-156,Dobrovnik/Dobronak,1273,217,0.17046347211311863,111,0.08719560094265515
dol_pri_ljubljani,lj,SI-022,Dol pri Ljubljani,6315,1262,0.19984164687252573,612,0.09691211401425179
dolenjske_toplice,nm,SI-157,Dolenjske Toplice,3570,611,0.1711484593837535,270,0.07563025210084033
domžale,lj,SI-023,Domžale,36648,6971,0.19021501855490067,3165,0.08636214800261952
dornava,mb,SI-024,Dornava,2910,471,0.1618556701030928,253,0.08694158075601374
dravograd,sg,SI-025,Dravograd,8891,2036,0.22899561354178383,964,0.1084242492408053
duplek,mb,SI-026,Duplek,6978,1147,0.1643737460590427,556,0.07967899111493265
gorenja_vas-poljane,kr,SI-027,Gorenja vas - Poljane,7631,1333,0.1746822172716551,653,0.08557200891102083
gorišnica,mb,SI-028,Gorišnica,4152,666,0.16040462427745664,335,0.0806840077071291
gorje,kr,SI-207,Gorje,2759,589,0.21348314606741572,325,0.11779630300833635
gornja_radgona,ms,SI-029,Gornja Radgona,8439,1549,0.18355255362009718,735,0.08709562744400995
gornji_grad,ce,SI-030,Gornji Grad,2490,503,0.20200803212851406,213,0.0855421686746988
gornji_petrovci,ms,SI-031,Gornji Petrovci,2000,349,0.1745,158,0.079
grad,ms,SI-158,Grad,2055,303,0.14744525547445256,133,0.06472019464720194
grosuplje,lj,SI-032,Grosuplje,21406,3883,0.18139773895169578,2059,0.0961879846771933
hajdina,mb,SI-159,Hajdina,3905,796,0.20384122919334188,374,0.09577464788732394
