id,region,iso_code,name,population,1st.todate,1st.share.todate,2nd.todate,2nd.share.todate
ajdovščina,ng,SI-001,Ajdovščina,19704,9716,0.4931,8843,0.44879
ankaran,kp,SI-213,Ankaran/Ancarano,3261,1518,0.4655,1385,0.42472
apače,ms,SI-195,Apače,3556,1450,0.40776,1281,0.36024
beltinci,ms,SI-002,Beltinci,8068,3877,0.48054,3392,0.42043
benedikt,mb,SI-148,Benedikt,2614,950,0.36343,838,0.32058
bistrica_ob_sotli,kk,SI-149,Bistrica ob Sotli,1356,542,0.39971,456,0.33628
bled,kr,SI-003,Bled,8217,4144,0.50432,3717,0.45235
bloke,po,SI-150,Bloke,1616,767,0.47463,705,0.43626
bohinj,kr,SI-004,Bohinj,5611,2705,0.48209,2511,0.44751
borovnica,lj,SI-005,Borovnica,4664,2143,0.45948,1878,0.40266
bovec,ng,SI-006,Bovec,3245,1304,0.40185,1169,0.36025
braslovče,ce,SI-151,Braslovče,5656,2917,0.51574,2592,0.45827
brda,ng,SI-007,Brda,5639,2777,0.49246,2468,0.43767
brezovica,lj,SI-008,Brezovica,12785,5840,0.45679,5149,0.40274
brežice,kk,SI-009,Brežice,24419,10555,0.43225,8984,0.36791
cankova,ms,SI-152,Cankova,1753,836,0.4769,726,0.41415
celje,ce,SI-011,Celje,49007,21843,0.44571,19719,0.40237
cerklje_na_gorenjskem,kr,SI-012,Cerklje na Gorenjskem,7859,3524,0.4484,3141,0.39967
cerknica,po,SI-013,Cerknica,11691,5851,0.50047,5193,0.44419
cerkno,ng,SI-014,Cerkno,4547,2063,0.45371,1832,0.4029
cerkvenjak,mb,SI-153,Cerkvenjak,2171,693,0.31921,613,0.28236
cirkulane,mb,SI-196,Cirkulane,2378,821,0.34525,685,0.28806
črenšovci,ms,SI-015,Črenšovci,3972,1904,0.47936,1649,0.41516
črna_na_koroškem,sg,SI-016,Črna na Koroškem,3252,1529,0.47017,1436,0.44157
črnomelj,nm,SI-017,Črnomelj,14308,5919,0.41368,5129,0.35847
destrnik,mb,SI-018,Destrnik,2647,938,0.35436,824,0.3113
divača,kp,SI-019,Divača,4334,1913,0.44139,1663,0.38371
dobje,ce,SI-154,Dobje,934,351,0.3758,290,0.31049
dobrepolje,lj,SI-020,Dobrepolje,3882,1903,0.49021,1676,0.43174
dobrna,ce,SI-155,Dobrna,2250,842,0.37422,738,0.328
dobrova-polhov_gradec,lj,SI-021,Dobrova - Polhov Gradec,7843,3767,0.4803,3265,0.41629
dobrovnik,ms,SI-156,Dobrovnik/Dobronak,1293,529,0.40913,487,0.37664
dol_pri_ljubljani,lj,SI-022,Dol pri Ljubljani,6378,2991,0.46896,2641,0.41408
dolenjske_toplice,nm,SI-157,Dolenjske Toplice,3593,1558,0.43362,1407,0.39159
domžale,lj,SI-023,Domžale,36683,17591,0.47954,15723,0.42862
dornava,mb,SI-024,Dornava,2896,1068,0.36878,907,0.31319
dravograd,sg,SI-025,Dravograd,8844,3932,0.4446,3458,0.391
duplek,mb,SI-026,Duplek,6959,2863,0.41141,2605,0.37434
gorenja_vas-poljane,kr,SI-027,Gorenja vas - Poljane,7665,3299,0.4304,2843,0.37091
gorišnica,mb,SI-028,Gorišnica,4161,1745,0.41937,1460,0.35088
gorje,kr,SI-207,Gorje,2769,1349,0.48718,1191,0.43012
gornja_radgona,ms,SI-029,Gornja Radgona,8474,3683,0.43462,3258,0.38447
gornji_grad,ce,SI-030,Gornji Grad,2480,1166,0.47016,1018,0.41048
gornji_petrovci,ms,SI-031,Gornji Petrovci,2040,903,0.44265,766,0.37549
grad,ms,SI-158,Grad,2087,893,0.42789,760,0.36416
grosuplje,lj,SI-032,Grosuplje,21398,9596,0.44845,8375,0.39139
hajdina,mb,SI-159,Hajdina,3938,1742,0.44236,1508,0.38294
hoče-slivnica,mb,SI-160,Hoče - Slivnica,11720,5119,0.43677,4675,0.39889
hodoš,ms,SI-161,Hodoš/Hodos,369,156,0.42276,138,0.37398
horjul,lj,SI-162,Horjul,2985,1282,0.42948,1140,0.38191
hrastnik,za,SI-034,Hrastnik,9058,4744,0.52374,4057,0.44789
hrpelje-kozina,kp,SI-035,Hrpelje - Kozina,4851,1940,0.39992,1671,0.34447
idrija,ng,SI-036,Idrija,11735,6421,0.54717,5818,0.49578
ig,lj,SI-037,Ig,7656,3538,0.46212,2988,0.39028
ilirska_bistrica,po,SI-038,Ilirska Bistrica,13379,6259,0.46782,5480,0.4096
ivančna_gorica,lj,SI-039,Ivančna Gorica,17538,7497,0.42747,6525,0.37205
izola,kp,SI-040,Izola/Isola,16737,6964,0.41608,6221,0.37169
jesenice,kr,SI-041,Jesenice,21679,9108,0.42013,8181,0.37737
jezersko,kr,SI-163,Jezersko,666,350,0.52553,314,0.47147
juršinci,mb,SI-042,Juršinci,2421,734,0.30318,636,0.2627
kamnik,lj,SI-043,Kamnik,29989,13828,0.4611,12488,0.41642
kanal,ng,SI-044,Kanal,5289,2442,0.46171,2227,0.42106
kidričevo,mb,SI-045,Kidričevo,6539,2829,0.43263,2501,0.38247
kobarid,ng,SI-046,Kobarid,4032,1949,0.48338,1767,0.43824
kobilje,ms,SI-047,Kobilje,540,235,0.43519,195,0.36111
kočevje,nm,SI-048,Kočevje,15644,7684,0.49118,6845,0.43755
komen,kp,SI-049,Komen,3655,1825,0.49932,1590,0.43502
komenda,lj,SI-164,Komenda,6444,2929,0.45453,2640,0.40968
koper,kp,SI-050,Koper/Capodistria,53292,21655,0.40635,19799,0.37152
kostanjevica_na_krki,kk,SI-197,Kostanjevica na Krki,2446,1088,0.44481,896,0.36631
kostel,nm,SI-165,Kostel,691,377,0.54559,347,0.50217
kozje,ce,SI-051,Kozje,3030,1138,0.37558,890,0.29373
kranj,kr,SI-052,Kranj,57185,26161,0.45748,23886,0.4177
kranjska_gora,kr,SI-053,Kranjska Gora,7522,2895,0.38487,2582,0.34326
križevci,ms,SI-166,Križevci,3549,1522,0.42885,1329,0.37447
krško,kk,SI-054,Krško,25904,10802,0.417,9253,0.3572
kungota,mb,SI-055,Kungota,4844,2124,0.43848,1940,0.4005
kuzma,ms,SI-056,Kuzma,1624,687,0.42303,599,0.36884
laško,ce,SI-057,Laško,13123,5211,0.39709,4617,0.35183
lenart,mb,SI-058,Lenart,8512,3536,0.41541,3233,0.37982
lendava,ms,SI-059,Lendava/Lendva,10486,5143,0.49046,4690,0.44726
litija,za,SI-060,Litija,15743,7433,0.47215,6477,0.41142
ljubljana,lj,SI-061,Ljubljana,294464,138219,0.46939,123805,0.42044
ljubno,ce,SI-062,Ljubno,2576,1098,0.42624,990,0.38432
ljutomer,ms,SI-063,Ljutomer,11233,4472,0.39811,3995,0.35565
log-dragomer,lj,SI-208,Log - Dragomer,3620,1944,0.53702,1780,0.49171
logatec,lj,SI-064,Logatec,14681,7298,0.49711,6405,0.43628
loška_dolina,po,SI-065,Loška dolina,3703,1723,0.4653,1541,0.41615
loški_potok,nm,SI-066,Loški Potok,1816,834,0.45925,732,0.40308
lovrenc_na_pohorju,mb,SI-167,Lovrenc na Pohorju,2988,1430,0.47858,1304,0.43641
luče,ce,SI-067,Luče,1454,607,0.41747,553,0.38033
lukovica,lj,SI-068,Lukovica,5888,2530,0.42969,2214,0.37602
majšperk,mb,SI-069,Majšperk,4060,1742,0.42906,1492,0.36749
makole,mb,SI-198,Makole,2051,772,0.3764,676,0.3296
maribor,mb,SI-070,Maribor,113778,47417,0.41675,43514,0.38245
markovci,mb,SI-168,Markovci,4025,1806,0.4487,1525,0.37888
medvode,lj,SI-071,Medvode,16811,8098,0.48171,7322,0.43555
mengeš,lj,SI-072,Mengeš,8411,3717,0.44192,3267,0.38842
metlika,nm,SI-073,Metlika,8480,3710,0.4375,3334,0.39316
mežica,sg,SI-074,Mežica,3598,1834,0.50973,1714,0.47638
miklavž_na_dravskem_polju,mb,SI-169,Miklavž na Dravskem polju,6996,3096,0.44254,2865,0.40952
miren-kostanjevica,ng,SI-075,Miren - Kostanjevica,5029,2287,0.45476,2120,0.42155
mirna,nm,SI-212,Mirna,2683,1211,0.45136,1055,0.39322
mirna_peč,nm,SI-170,Mirna Peč,3034,1410,0.46473,1285,0.42353
mislinja,sg,SI-076,Mislinja,4520,2275,0.50332,2077,0.45951
mokronog-trebelno,nm,SI-199,Mokronog - Trebelno,3164,1188,0.37547,1026,0.32427
moravče,lj,SI-077,Moravče,5469,2445,0.44707,2135,0.39038
moravske_toplice,ms,SI-078,Moravske Toplice,5958,2838,0.47633,2491,0.41809
mozirje,ce,SI-079,Mozirje,4244,2084,0.49105,1865,0.43944
murska_sobota,ms,SI-080,Murska Sobota,18622,9653,0.51837,8573,0.46037
muta,sg,SI-081,Muta,3417,1620,0.4741,1490,0.43606
naklo,kr,SI-082,Naklo,5431,2588,0.47652,2316,0.42644
nazarje,ce,SI-083,Nazarje,2611,1162,0.44504,1069,0.40942
nova_gorica,ng,SI-084,Nova Gorica,31845,14494,0.45514,13203,0.4146
novo_mesto,nm,SI-085,Novo mesto,37398,16791,0.44898,15093,0.40358
odranci,ms,SI-086,Odranci,1619,705,0.43545,587,0.36257
oplotnica,mb,SI-171,Oplotnica,4154,1628,0.39191,1460,0.35147
ormož,mb,SI-087,Ormož,11886,4992,0.41999,4406,0.37069
osilnica,nm,SI-088,Osilnica,327,213,0.65138,187,0.57187
pesnica,mb,SI-089,Pesnica,7508,2904,0.38679,2645,0.35229
piran,kp,SI-090,Piran/Pirano,18457,8103,0.43902,7411,0.40153
pivka,po,SI-091,Pivka,6190,2963,0.47868,2633,0.42536
podčetrtek,ce,SI-092,Podčetrtek,3614,1337,0.36995,1114,0.30825
podlehnik,mb,SI-172,Podlehnik,1853,680,0.36697,599,0.32326
podvelka,sg,SI-093,Podvelka,2365,955,0.40381,858,0.36279
poljčane,mb,SI-200,Poljčane,4467,1799,0.40273,1564,0.35012
polzela,ce,SI-173,Polzela,6321,2871,0.4542,2554,0.40405
postojna,po,SI-094,Postojna,16675,7880,0.47256,6945,0.41649
prebold,ce,SI-174,Prebold,5210,2373,0.45547,2112,0.40537
preddvor,kr,SI-095,Preddvor,3780,1845,0.4881,1666,0.44074
prevalje,sg,SI-175,Prevalje,6800,3463,0.50926,3219,0.47338
ptuj,mb,SI-096,Ptuj,23611,10461,0.44306,9148,0.38745
puconci,ms,SI-097,Puconci,5904,2578,0.43665,2220,0.37602
rače-fram,mb,SI-098,Rače - Fram,7623,3318,0.43526,3026,0.39696
radeče,kk,SI-099,Radeče,4164,2175,0.52233,1957,0.46998
radenci,ms,SI-100,Radenci,5098,2438,0.47823,2154,0.42252
radlje_ob_dravi,sg,SI-101,Radlje ob Dravi,6164,2634,0.42732,2444,0.3965
radovljica,kr,SI-102,Radovljica,19195,9177,0.47809,8283,0.43152
ravne_na_koroškem,sg,SI-103,Ravne na Koroškem,11289,6058,0.53663,5599,0.49597
razkrižje,ms,SI-176,Razkrižje,1265,529,0.41818,470,0.37154
rečica_ob_savinji,ce,SI-209,Rečica ob Savinji,2355,1062,0.45096,971,0.41231
renče-vogrsko,ng,SI-201,Renče - Vogrsko,4383,1934,0.44125,1777,0.40543
ribnica,nm,SI-104,Ribnica,9644,4475,0.46402,3863,0.40056
ribnica_na_pohorju,sg,SI-177,Ribnica na Pohorju,1142,545,0.47723,504,0.44133
rogaška_slatina,ce,SI-106,Rogaška Slatina,11323,4519,0.3991,3899,0.34434
rogašovci,ms,SI-105,Rogašovci,3114,1287,0.41329,1098,0.3526
rogatec,ce,SI-107,Rogatec,3138,1236,0.39388,1010,0.32186
ruše,mb,SI-108,Ruše,7055,2977,0.42197,2741,0.38852
selnica_ob_dravi,mb,SI-178,Selnica ob Dravi,4562,1907,0.41802,1723,0.37769
