date,vaccination.region.kp.1st,vaccination.region.kp.1st.todate,vaccination.region.kp.2nd,vaccination.region.kp.2nd.todate,vaccination.region.kp.3rd,vaccination.region.kp.3rd.todate,vaccination.region.ng.1st,vaccination.region.ng.1st.todate,vaccination.region.ng.2nd,vaccination.region.ng.2nd.todate,vaccination.region.ng.3rd,vaccination.region.ng.3rd.todate,vaccination.region.po.1st,vaccination.region.po.1st.todate,vaccination.region.po.2nd,vaccination.region.po.2nd.todate,vaccination.region.po.3rd,vaccination.region.po.3rd.todate,vaccination.region.kr.1st,vaccination.region.kr.1st.todate,vaccination.region.kr.2nd,vaccination.region.kr.2nd.todate,vaccination.region.kr.3rd,vaccination.region.kr.3rd.todate,vaccination.region.lj.1st,vaccination.region.lj.1st.todate,vaccination.region.lj.2nd,vaccination.region.lj.2nd.todate,vaccination.region.lj.3rd,vaccination.region.lj.3rd.todate,vaccination.region.nm.1st,vaccination.region.nm.1st.todate,vaccination.region.nm.2nd,vaccination.region.nm.2nd.todate,vaccination.region.nm.3rd,vaccination.region.nm.3rd.todate,vaccination.region.kk.1st,vaccination.region.kk.1st.todate,vaccination.region.kk.2nd,vaccination.region.kk.2nd.todate,vaccination.region.kk.3rd,vaccination.region.kk.3rd.todate,vaccination.region.za.1st,vaccination.region.za.1st.todate,vaccination.region.za.2nd,vaccination.region.za.2nd.todate,vaccination.region.za.3rd,vaccination.region.za.3rd.todate,vaccination.region.ce.1st,vaccination.region.ce.1st.todate,vaccination.region.ce.2nd,vaccination.region.ce.2nd.todate,vaccination.region.ce.3rd,vaccination.region.ce.3rd.todate,vaccination.region.sg.1st,vaccination.region.sg.1st.todate,vaccination.region.sg.2nd,vaccination.region.sg.2nd.todate,vaccination.region.sg.3rd,vaccination.region.sg.3rd.todate,vaccination.region.mb.1st,vaccination.region.mb.1st.todate,vaccination.region.mb.2nd,vaccination.region.mb.2nd.todate,vaccination.region.mb.3rd,vaccination.region.mb.3rd.todate,vaccination.region.ms.1st,vaccination.region.ms.1st.todate,vaccination.region.ms.2nd,vaccination.region.ms.2nd.todate,vaccination.region.ms.3rd,vaccination.region.ms.3rd.todate
2020-12-27,,359,,,,,,406,,,,,,184,,,,,,644,,,,,,1649,,,,,,329,,,,,,252,,,,,,101,,,,,,862,,,,,,60,,,,,,835,,,,,,516,,,,
2020-12-28,23,382,,,,,28,434,,,,,30,214,,,,,74,718,,,,,434,2083,,,,,141,470,,,,,120,372,,,,,137,238,,,,,138,1000,,,,,50,110,,,,,269,1104,,,,,241,757,,,,
2020-12-29,,382,,,,,21,455,,,,,5,219,,,,,82,800,,,,,84,2167,,,,,3,473,,,,,72,444,,,,,172,410,,,,,372,1372,,,,,11,121,,,,,349,1453,,,,,152,909,,,,
2020-12-30,16,398,,,,,6,461,,,,,8,227,,,,,35,835,,,,,24,2191,,,,,47,520,,,,,19,463,,,,,,410,,,,,24,1396,,,,,23,144,,,,,152,1605,,,,,67,976,,,,
2020-12-31,13,411,,,,,316,777,,,,,7,234,,,,,213,1048,,,,,499,2690,,,,,34,554,,,,,6,469,,,,,6,416,,,,,13,1409,,,,,141,285,,,,,449,2054,,,,,161,1137,,,,
2021-01-01,11,422,,,,,2,779,,,,,,234,,,,,72,1120,,,,,36,2726,,,,,21,575,,,,,,469,,,,,3,419,,,,,2,1411,,,,,3,288,,,,,1,2055,,,,,,1137,,,,
2021-01-02,,422,,,,,,779,,,,,,234,,,,,45,1165,,,,,43,2769,,,,,,575,,,,,3,472,,,,,3,422,,,,,230,1641,,,,,8,296,,,,,69,2124,,,,,2,1139,,,,
2021-01-03,3,425,,,,,2,781,,,,,1,235,,,,,98,1263,,,,,164,2933,,,,,5,580,,,,,7,479,,,,,8,430,,,,,253,1894,,,,,2,298,,,,,10,2134,,,,,2,1141,1,1,,
2021-01-04,36,461,,,,,39,820,,,,,8,243,,,,,75,1338,,,,,544,3477,,,,,22,602,,,,,5,484,,,,,24,454,,,,,57,1951,,,,,30,328,,,,,246,2380,,,,,3,1144,,1,,
2021-01-05,233,694,,,,,340,1160,,,,,86,329,,,,,190,1528,,,,,800,4277,,,,,38,640,,,,,3,487,,,,,19,473,,,,,124,2075,,,,,69,397,,,,,596,2976,,,,,39,1183,,1,,
