Datum;Potrjeni ostali;Potrjeni zasciteni s cepljenjem;Potrjeni ostali 7dnevno povprecje;Potrjeni zasciteni s cepljenjem 7dnevno povprecje;Potrjeni ostali 7dnevno povprecje na 100000;Potrjeni zasciteni s cepljenjem 7dnevno povprecje na 100000
4.03.2020;1;0;#NULL!;#NULL!;#NULL!;#NULL!
5.03.2020;5;0;#NULL!;#NULL!;#NULL!;#NULL!
6.03.2020;4;0;#NULL!;#NULL!;#NULL!;#NULL!
7.03.2020;4;0;#NULL!;#NULL!;#NULL!;#NULL!
8.03.2020;5;0;#NULL!;#NULL!;#NULL!;#NULL!
9.03.2020;9;0;#NULL!;#NULL!;#NULL!;#NULL!
10.03.2020;17;0;6,43;0;0,3;0
11.03.2020;33;0;11;0;0,52;0
12.03.2020;48;0;17,14;0;0,81;0
13.03.2020;44;0;22,86;0;1,08;0
14.03.2020;30;0;26,57;0;1,26;0
15.03.2020;35;0;30,86;0;1,46;0
16.03.2020;24;0;33;0;1,56;0
17.03.2020;9;0;31,86;0;1,51;0
18.03.2020;31;0;31,57;0;1,5;0
19.03.2020;21;0;27,71;0;1,31;0
20.03.2020;27;0;25,29;0;1,2;0
21.03.2020;36;0;26,14;0;1,24;0
22.03.2020;33;0;25,86;0;1,23;0
23.03.2020;36;0;27,57;0;1,31;0
24.03.2020;46;0;32,86;0;1,56;0
25.03.2020;45;0;34,86;0;1,65;0
26.03.2020;58;0;40,14;0;1,9;0
27.03.2020;48;0;43,14;0;2,05;0
28.03.2020;47;0;44,71;0;2,12;0
29.03.2020;24;0;43,43;0;2,06;0
30.03.2020;45;0;44,71;0;2,12;0
31.03.2020;37;0;43,43;0;2,06;0
1.04.2020;50;0;44,14;0;2,09;0
2.04.2020;37;0;41,14;0;1,95;0
3.04.2020;39;0;39,86;0;1,89;0
4.04.2020;19;0;35,86;0;1,7;0
5.04.2020;20;0;35,29;0;1,67;0
6.04.2020;33;0;33,57;0;1,59;0
7.04.2020;36;0;33,43;0;1,59;0
8.04.2020;31;0;30,71;0;1,46;0
9.04.2020;34;0;30,29;0;1,44;0
10.04.2020;29;0;28,86;0;1,37;0
11.04.2020;16;0;28,43;0;1,35;0
12.04.2020;7;0;26,57;0;1,26;0
13.04.2020;8;0;23;0;1,09;0
14.04.2020;27;0;21,71;0;1,03;0
15.04.2020;21;0;20,29;0;0,96;0
16.04.2020;34;0;20,29;0;0,96;0
17.04.2020;13;0;18;0;0,85;0
18.04.2020;12;0;17,43;0;0,83;0
19.04.2020;5;0;17,14;0;0,81;0
20.04.2020;9;0;17,29;0;0,82;0
21.04.2020;9;0;14,71;0;0,7;0
22.04.2020;11;0;13,29;0;0,63;0
23.04.2020;7;0;9,43;0;0,45;0
24.04.2020;13;0;9,43;0;0,45;0
25.04.2020;8;0;8,86;0;0,42;0
26.04.2020;5;0;8,86;0;0,42;0
27.04.2020;4;0;8,14;0;0,39;0
28.04.2020;8;0;8;0;0,38;0
29.04.2020;9;0;7,71;0;0,37;0
30.04.2020;5;0;7,43;0;0,35;0
1.05.2020;5;0;6,29;0;0,3;0
2.05.2020;0;0;5,14;0;0,24;0
3.05.2020;0;0;4,43;0;0,21;0
4.05.2020;5;0;4,57;0;0,22;0
5.05.2020;3;0;3,86;0;0,18;0
6.05.2020;1;0;2,71;0;0,13;0
7.05.2020;1;0;2,14;0;0,1;0
8.05.2020;4;0;2;0;0,09;0
9.05.2020;3;0;2,43;0;0,12;0
10.05.2020;2;0;2,71;0;0,13;0
11.05.2020;1;0;2,14;0;0,1;0
12.05.2020;2;0;2;0;0,09;0
13.05.2020;1;0;2;0;0,09;0
14.05.2020;1;0;2;0;0,09;0
15.05.2020;0;0;1,43;0;0,07;0
16.05.2020;1;0;1,14;0;0,05;0
17.05.2020;0;0;0,86;0;0,04;0
18.05.2020;1;0;0,86;0;0,04;0
19.05.2020;1;0;0,71;0;0,03;0
20.05.2020;0;0;0,57;0;0,03;0
21.05.2020;0;0;0,43;0;0,02;0
22.05.2020;0;0;0,43;0;0,02;0
23.05.2020;0;0;0,29;0;0,01;0
24.05.2020;1;0;0,43;0;0,02;0
25.05.2020;0;0;0,29;0;0,01;0
26.05.2020;1;0;0,29;0;0,01;0
27.05.2020;2;0;0,57;0;0,03;0
28.05.2020;0;0;0,57;0;0,03;0
29.05.2020;0;0;0,57;0;0,03;0
30.05.2020;0;0;0,57;0;0,03;0
31.05.2020;0;0;0,43;0;0,02;0
1.06.2020;2;0;0,71;0;0,03;0
2.06.2020;2;0;0,86;0;0,04;0
3.06.2020;0;0;0,57;0;0,03;0
4.06.2020;2;0;0,86;0;0,04;0
5.06.2020;3;0;1,29;0;0,06;0
6.06.2020;1;0;1,43;0;0,07;0
7.06.2020;0;0;1,43;0;0,07;0
8.06.2020;1;0;1,29;0;0,06;0
9.06.2020;1;0;1,14;0;0,05;0
10.06.2020;0;0;1,14;0;0,05;0
11.06.2020;2;0;1,14;0;0,05;0
12.06.2020;2;0;1;0;0,05;0
13.06.2020;3;0;1,29;0;0,06;0
14.06.2020;1;0;1,43;0;0,07;0
15.06.2020;3;0;1,71;0;0,08;0
16.06.2020;4;0;2,14;0;0,1;0
17.06.2020;6;0;3;0;0,14;0
18.06.2020;2;0;3;0;0,14;0
19.06.2020;6;0;3,57;0;0,17;0
20.06.2020;1;0;3,29;0;0,16;0
21.06.2020;1;0;3,29;0;0,16;0
22.06.2020;7;0;3,86;0;0,18;0
23.06.2020;6;0;4,14;0;0,2;0
24.06.2020;6;0;4,14;0;0,2;0
25.06.2020;11;0;5,43;0;0,26;0
26.06.2020;13;0;6,43;0;0,3;0
27.06.2020;9;0;7,57;0;0,36;0
28.06.2020;3;0;7,86;0;0,37;0
29.06.2020;15;0;9;0;0,43;0
30.06.2020;13;0;10;0;0,47;0
1.07.2020;20;0;12;0;0,57;0
2.07.2020;16;0;12,71;0;0,6;0
3.07.2020;26;0;14,57;0;0,69;0
4.07.2020;20;0;16,14;0;0,77;0
5.07.2020;14;0;17,71;0;0,84;0
6.07.2020;21;0;18,57;0;0,88;0
7.07.2020;24;0;20,14;0;0,96;0
8.07.2020;12;0;19;0;0,9;0
9.07.2020;14;0;18,71;0;0,89;0
10.07.2020;33;0;19,71;0;0,93;0
11.07.2020;14;0;18,86;0;0,89;0
12.07.2020;7;0;17,86;0;0,85;0
13.07.2020;10;0;16,29;0;0,77;0
14.07.2020;17;0;15,29;0;0,72;0
15.07.2020;19;0;16,29;0;0,77;0
16.07.2020;18;0;16,86;0;0,8;0
17.07.2020;23;0;15,43;0;0,73;0
18.07.2020;6;0;14,29;0;0,68;0
