Datum;Potrjeni ostali;Potrjeni zasciteni s cepljenjem;Potrjeni ostali 7dnevno povprecje;Potrjeni zasciteni s cepljenjem 7dnevno povprecje;Potrjeni ostali 7dnevno povprecje na 100000;Potrjeni zasciteni s cepljenjem 7dnevno povprecje na 100000
4.03.2020;1;0;#NULL!;#NULL!;#NULL!;#NULL!
5.03.2020;5;0;#NULL!;#NULL!;#NULL!;#NULL!
6.03.2020;4;0;#NULL!;#NULL!;#NULL!;#NULL!
7.03.2020;5;0;#NULL!;#NULL!;#NULL!;#NULL!
8.03.2020;5;0;#NULL!;#NULL!;#NULL!;#NULL!
9.03.2020;11;0;#NULL!;#NULL!;#NULL!;#NULL!
10.03.2020;17;0;6,86;0;0,33;0
11.03.2020;35;0;11,71;0;0,56;0
12.03.2020;50;0;18,14;0;0,86;0
13.03.2020;46;0;24,14;0;1,14;0
14.03.2020;36;0;28,57;0;1,35;0
15.03.2020;35;0;32,86;0;1,56;0
16.03.2020;26;0;35;0;1,66;0
17.03.2020;10;0;34;0;1,61;0
18.03.2020;32;0;33,57;0;1,59;0
19.03.2020;23;0;29,71;0;1,41;0
20.03.2020;28;0;27,14;0;1,29;0
21.03.2020;37;0;27,29;0;1,29;0
22.03.2020;36;0;27,43;0;1,3;0
23.03.2020;36;0;28,86;0;1,37;0
24.03.2020;48;0;34,29;0;1,63;0
25.03.2020;47;0;36,43;0;1,73;0
26.03.2020;61;0;41,86;0;1,98;0
27.03.2020;52;0;45,29;0;2,15;0
28.03.2020;47;0;46,71;0;2,22;0
29.03.2020;24;0;45;0;2,13;0
30.03.2020;48;0;46,71;0;2,22;0
31.03.2020;37;0;45,14;0;2,14;0
1.04.2020;55;0;46,29;0;2,19;0
2.04.2020;40;0;43,29;0;2,05;0
3.04.2020;41;0;41,71;0;1,98;0
4.04.2020;20;0;37,86;0;1,8;0
5.04.2020;23;0;37,71;0;1,79;0
6.04.2020;35;0;35,86;0;1,7;0
7.04.2020;36;0;35,71;0;1,69;0
8.04.2020;33;0;32,57;0;1,54;0
9.04.2020;35;0;31,86;0;1,51;0
10.04.2020;29;0;30,14;0;1,43;0
11.04.2020;17;0;29,71;0;1,41;0
12.04.2020;7;0;27,43;0;1,3;0
13.04.2020;8;0;23,57;0;1,12;0
14.04.2020;27;0;22,29;0;1,06;0
15.04.2020;21;0;20,57;0;0,98;0
16.04.2020;36;0;20,71;0;0,98;0
17.04.2020;13;0;18,43;0;0,87;0
18.04.2020;13;0;17,86;0;0,85;0
19.04.2020;5;0;17,57;0;0,83;0
20.04.2020;9;0;17,71;0;0,84;0
21.04.2020;9;0;15,14;0;0,72;0
22.04.2020;13;0;14;0;0,66;0
23.04.2020;7;0;9,86;0;0,47;0
24.04.2020;15;0;10,14;0;0,48;0
25.04.2020;8;0;9,43;0;0,45;0
26.04.2020;6;0;9,57;0;0,45;0
27.04.2020;6;0;9,14;0;0,43;0
28.04.2020;9;0;9,14;0;0,43;0
29.04.2020;11;0;8,86;0;0,42;0
30.04.2020;5;0;8,57;0;0,41;0
1.05.2020;5;0;7,14;0;0,34;0
2.05.2020;0;0;6;0;0,28;0
3.05.2020;0;0;5,14;0;0,24;0
4.05.2020;6;0;5,14;0;0,24;0
5.05.2020;3;0;4,29;0;0,2;0
6.05.2020;1;0;2,86;0;0,14;0
7.05.2020;1;0;2,29;0;0,11;0
8.05.2020;4;0;2,14;0;0,1;0
9.05.2020;3;0;2,57;0;0,12;0
10.05.2020;3;0;3;0;0,14;0
11.05.2020;1;0;2,29;0;0,11;0
12.05.2020;2;0;2,14;0;0,1;0
13.05.2020;1;0;2,14;0;0,1;0
14.05.2020;1;0;2,14;0;0,1;0
15.05.2020;0;0;1,57;0;0,07;0
16.05.2020;1;0;1,29;0;0,06;0
17.05.2020;0;0;0,86;0;0,04;0
18.05.2020;1;0;0,86;0;0,04;0
19.05.2020;1;0;0,71;0;0,03;0
20.05.2020;0;0;0,57;0;0,03;0
21.05.2020;0;0;0,43;0;0,02;0
22.05.2020;0;0;0,43;0;0,02;0
23.05.2020;0;0;0,29;0;0,01;0
24.05.2020;1;0;0,43;0;0,02;0
25.05.2020;0;0;0,29;0;0,01;0
26.05.2020;2;0;0,43;0;0,02;0
27.05.2020;2;0;0,71;0;0,03;0
28.05.2020;0;0;0,71;0;0,03;0
29.05.2020;0;0;0,71;0;0,03;0
30.05.2020;0;0;0,71;0;0,03;0
31.05.2020;0;0;0,57;0;0,03;0
1.06.2020;2;0;0,86;0;0,04;0
2.06.2020;2;0;0,86;0;0,04;0
3.06.2020;0;0;0,57;0;0,03;0
4.06.2020;2;0;0,86;0;0,04;0
5.06.2020;5;0;1,57;0;0,07;0
6.06.2020;1;0;1,71;0;0,08;0
7.06.2020;0;0;1,71;0;0,08;0
8.06.2020;1;0;1,57;0;0,07;0
9.06.2020;2;0;1,57;0;0,07;0
10.06.2020;0;0;1,57;0;0,07;0
11.06.2020;2;0;1,57;0;0,07;0
12.06.2020;2;0;1,14;0;0,05;0
13.06.2020;3;0;1,43;0;0,07;0
14.06.2020;1;0;1,57;0;0,07;0
15.06.2020;3;0;1,86;0;0,09;0
16.06.2020;4;0;2,14;0;0,1;0
17.06.2020;8;0;3,29;0;0,16;0
18.06.2020;2;0;3,29;0;0,16;0
19.06.2020;6;0;3,86;0;0,18;0
20.06.2020;1;0;3,57;0;0,17;0
21.06.2020;1;0;3,57;0;0,17;0
22.06.2020;13;0;5;0;0,24;0
23.06.2020;6;0;5,29;0;0,25;0
24.06.2020;6;0;5;0;0,24;0
25.06.2020;11;0;6,29;0;0,3;0
26.06.2020;14;0;7,43;0;0,35;0
27.06.2020;9;0;8,57;0;0,41;0
28.06.2020;4;0;9;0;0,43;0
29.06.2020;15;0;9,29;0;0,44;0
30.06.2020;13;0;10,29;0;0,49;0
1.07.2020;21;0;12,43;0;0,59;0
2.07.2020;16;0;13,14;0;0,62;0
3.07.2020;30;0;15,43;0;0,73;0
4.07.2020;21;0;17,14;0;0,81;0
5.07.2020;16;0;18,86;0;0,89;0
6.07.2020;23;0;20;0;0,95;0
7.07.2020;24;0;21,57;0;1,02;0
8.07.2020;13;0;20,43;0;0,97;0
9.07.2020;17;0;20,57;0;0,98;0
10.07.2020;34;0;21,14;0;1;0
11.07.2020;15;0;20,29;0;0,96;0
12.07.2020;8;0;19,14;0;0,91;0
13.07.2020;10;0;17,29;0;0,82;0
14.07.2020;19;0;16,57;0;0,79;0
15.07.2020;19;0;17,43;0;0,83;0
16.07.2020;19;0;17,71;0;0,84;0
17.07.2020;24;0;16,29;0;0,77;0
18.07.2020;6;0;15;0;0,71;0
