Leto;Teden;Hosp_Necepljeni;Hosp_Cepljeni;Kumulativa_Cepljeni_prebivalci;Necepljeni_prebivalci;% Hosp_necepljeni;% Hosp_cepljeni
2021;9;222;2; 50.743 ; 2.058.234 ;10,79;3,94
2021;10;169;2; 52.857 ; 2.056.120 ;8,22;3,78
2021;11;230;3; 53.812 ; 2.055.165 ;11,19;5,57
2021;12;262;2; 65.773 ; 2.043.204 ;12,82;3,04
2021;13;296;2; 86.989 ; 2.021.988 ;14,64;2,30
2021;14;336;4; 106.942 ; 2.002.035 ;16,78;3,74
2021;15;302;8; 115.318 ; 1.993.659 ;15,15;6,94
2021;16;282;7; 121.833 ; 1.987.144 ;14,19;5,75
2021;17;246;; 124.755 ; 1.984.222 ;12,40;0,00
2021;18;215;7; 149.087 ; 1.959.890 ;10,97;4,70
2021;19;157;7; 179.486 ; 1.929.491 ;8,14;3,90
2021;20;117;4; 221.219 ; 1.887.758 ;6,20;1,81
2021;21;85;2; 261.424 ; 1.847.553 ;4,60;0,77
2021;22;73;6; 296.707 ; 1.812.270 ;4,03;2,02
2021;23;52;3; 343.126 ; 1.765.851 ;2,94;0,87
2021;24;30;5; 412.532 ; 1.696.445 ;1,77;1,21
2021;25;14;0; 493.944 ; 1.615.033 ;0,87;0,00
2021;26;10;1; 563.216 ; 1.545.761 ;0,65;0,18
2021;27;9;0; 609.910 ; 1.499.067 ;0,60;0,00
2021;28;3;1; 663.360 ; 1.445.617 ;0,21;0,15
2021;29;6;1; 719.778 ; 1.389.199 ;0,43;0,14
2021;30;14;0; 761.811 ; 1.347.166 ;1,04;0,00
2021;31;12;3; 792.911 ; 1.316.066 ;0,91;0,38
2021;32;27;3; 817.208 ; 1.291.769 ;2,09;0,37
2021;33;32;7; 840.673 ; 1.268.304 ;2,52;0,83
2021;34;86;22; 863.732 ; 1.245.245 ;6,91;2,55
2021;35;126;28; 885.615 ; 1.223.362 ;10,30;3,16
2021;36;143;41; 908.011 ; 1.200.966 ;11,91;4,52
2021;37;159;59; 928.486 ; 1.180.491 ;13,47;6,35
2021;38;172;52; 945.323 ; 1.163.654 ;14,78;5,50
2021;39;189;54; 966.195 ; 1.142.782 ;16,54;5,59
2021;40;143;53; 1.001.170 ; 1.107.807 ;12,91;5,29
2021;41;139;49; 1.021.944 ; 1.087.033 ;12,79;4,79
2021;42;181;96; 1.041.602 ; 1.067.375 ;16,96;9,22
