date,vaccination.administered,vaccination.administered.todate,vaccination.administered2nd,vaccination.administered2nd.todate,vaccination.administered3rd,vaccination.administered3rd.todate,vaccination.used.todate,vaccination.pfizer.used.todate,vaccination.moderna.used.todate,vaccination.az.used.todate,vaccination.janssen.used.todate,vaccination.novavax.used.todate,vaccination.delivered.todate,vaccination.pfizer.delivered,vaccination.pfizer.delivered.todate,vaccination.moderna.delivered,vaccination.moderna.delivered.todate,vaccination.az.delivered,vaccination.az.delivered.todate,vaccination.janssen.delivered,vaccination.janssen.delivered.todate,vaccination.novavax.delivered,vaccination.novavax.delivered.todate,vaccination.age.0-11.1st.todate,vaccination.age.0-11.2nd.todate,vaccination.age.0-11.3rd.todate,vaccination.age.12-17.1st.todate,vaccination.age.12-17.2nd.todate,vaccination.age.12-17.3rd.todate,vaccination.age.18-24.1st.todate,vaccination.age.18-24.2nd.todate,vaccination.age.18-24.3rd.todate,vaccination.age.25-29.1st.todate,vaccination.age.25-29.2nd.todate,vaccination.age.25-29.3rd.todate,vaccination.age.30-34.1st.todate,vaccination.age.30-34.2nd.todate,vaccination.age.30-34.3rd.todate,vaccination.age.35-39.1st.todate,vaccination.age.35-39.2nd.todate,vaccination.age.35-39.3rd.todate,vaccination.age.40-44.1st.todate,vaccination.age.40-44.2nd.todate,vaccination.age.40-44.3rd.todate,vaccination.age.45-49.1st.todate,vaccination.age.45-49.2nd.todate,vaccination.age.45-49.3rd.todate,vaccination.age.50-54.1st.todate,vaccination.age.50-54.2nd.todate,vaccination.age.50-54.3rd.todate,vaccination.age.55-59.1st.todate,vaccination.age.55-59.2nd.todate,vaccination.age.55-59.3rd.todate,vaccination.age.60-64.1st.todate,vaccination.age.60-64.2nd.todate,vaccination.age.60-64.3rd.todate,vaccination.age.65-69.1st.todate,vaccination.age.65-69.2nd.todate,vaccination.age.65-69.3rd.todate,vaccination.age.70-74.1st.todate,vaccination.age.70-74.2nd.todate,vaccination.age.70-74.3rd.todate,vaccination.age.75-79.1st.todate,vaccination.age.75-79.2nd.todate,vaccination.age.75-79.3rd.todate,vaccination.age.80-84.1st.todate,vaccination.age.80-84.2nd.todate,vaccination.age.80-84.3rd.todate,vaccination.age.85-89.1st.todate,vaccination.age.85-89.2nd.todate,vaccination.age.85-89.3rd.todate,vaccination.age.90+.1st.todate,vaccination.age.90+.2nd.todate,vaccination.age.90+.3rd.todate
2020-12-26,,,,,,,,,,,,,11700,11700,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,6199,6199,,,,,6199,6199,,,,,11700,,11700,,,,,,,,,,,,,,,12,,,34,,,76,,,77,,,108,,,165,,,211,,,299,,,237,,,310,,,389,,,474,,,910,,,1230,,,1667,,
2020-12-28,1686,7885,,,,,7885,7885,,,,,11700,,11700,,,,,,,,,,,,,,,22,,,67,,,125,,,154,,,175,,,269,,,321,,,483,,,329,,,382,,,479,,,573,,,1079,,,1480,,,1947,,
2020-12-29,1326,9211,,,,,9211,9211,,,,,11700,,11700,,,,,,,,,,,,,,,34,,,97,,,179,,,230,,,285,,,378,,,462,,,673,,,465,,,490,,,558,,,630,,,1147,,,1553,,,2030,,
2020-12-30,422,9633,,,,,9633,9633,,,,,19890,8190,19890,,,,,,,,,,,,,,,39,,,118,,,211,,,263,,,331,,,424,,,505,,,729,,,517,,,508,,,573,,,647,,,1166,,,1563,,,2039,,
2020-12-31,1857,11490,,,,,11490,11490,,,,,19890,,19890,,,,,,,,,,,,1,,,54,,,201,,,330,,,448,,,556,,,652,,,792,,,1025,,,703,,,584,,,618,,,676,,,1200,,,1581,,,2069,,
2021-01-01,151,11641,,,,,11641,11641,,,,,19890,,19890,,,,,,,,,,,,1,,,57,,,213,,,344,,,466,,,578,,,669,,,812,,,1047,,,712,,,584,,,618,,,678,,,1201,,,1585,,,2076,,
2021-01-02,404,12045,,,,,12045,12045,,,,,19890,,19890,,,,,,,,,,,,1,,,79,,,252,,,388,,,504,,,628,,,726,,,861,,,1114,,,742,,,591,,,618,,,678,,,1202,,,1585,,,2076,,
2021-01-03,556,12601,1,1,,,12601,12601,,,,,19890,,19890,,,,,,,,,,,,1,,,81,,,301,,,458,,,573,,,692,,,803,1,,915,,,1184,,,777,,,607,,,625,,,684,,,1213,,,1594,,,2093,,
2021-01-04,1091,13692,,1,,,13692,13692,,,,,39780,19890,39780,,,,,,,,,,,,1,,,95,,,353,,,539,,,678,,,797,,,909,1,,1045,,,1360,,,890,,,653,,,656,,,696,,,1242,,,1619,,,2159,,
2021-01-05,2546,16238,,1,,,16238,16238,,,,,39780,,39780,,,,,,,,,,,,2,,,131,,,475,,,726,,,936,,,1059,,,1227,1,,1389,,,1785,,,1149,,,752,,,719,,,738,,,1282,,,1651,,,2217,,
2021-01-06,5392,21630,1,2,,,21631,21631,,,,,39780,,39780,,,,,,,,,,,,4,,,210,,,803,,,1193,,,1486,,,1728,,,1916,1,,2038,,,2658,,,1699,,,952,,,851,,,807,,,1319,,,1704,,,2262,1,
2021-01-07,5477,27107,,2,,,27108,27108,,,,,39780,,39780,,,,,,,,,1,,,4,,,333,,,1190,,,1660,,,1989,,,2355,,,2579,1,,2692,,,3473,,,2241,,,1182,,,987,,,918,,,1401,,,1779,,,2323,1,
2021-01-08,3265,30372,1,3,,,30374,30374,,,,,39780,,39780,,,,,,,,,1,,,5,,,399,,,1443,,,1920,,,2239,,,2690,,,2894,1,,3018,,,3874,,,2536,,,1357,,,1124,,,1032,,,1552,,,1901,,,2387,2,
2021-01-09,254,30626,,3,,,30628,30628,,,,,39780,,39780,,,,,,,,,1,,,5,,,401,,,1455,,,1930,,,2258,,,2713,,,2919,1,,3056,,,3915,,,2576,,,1371,,,1132,,,1032,,,1555,,,1908,,,2399,2,
2021-01-10,1,30627,,3,,,30629,30629,,,,,39780,,39780,,,,,,,,,1,,,5,,,401,,,1455,,,1930,,,2258,,,2713,,,2920,1,,3056,,,3915,,,2576,,,1371,,,1132,,,1032,,,1555,,,1908,,,2399,2,
2021-01-11,484,31111,,3,,,31113,31113,,,,,59670,19890,59670,,,,,,,,,1,,,5,,,417,,,1492,,,1973,,,2315,,,2766,,,2973,1,,3111,,,3965,,,2617,,,1388,,,1141,,,1040,,,1567,,,1929,,,2411,2,
2021-01-12,1883,32994,,3,,,32996,32996,,,,,60870,,59670,1200,1200,,,,,,,1,,,5,,,446,,,1579,,,2033,,,2394,,,2833,,,3084,1,,3210,,,4098,,,2710,,,1447,,,1198,,,1090,,,1924,,,2286,,,2656,2,
2021-01-13,4737,37731,2,5,,,37735,37735,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,498,,,1698,,,2160,,,2555,,,3023,,,3294,1,,3417,,,4370,,,2877,,,1556,,,1293,,,1199,,,3089,,,3420,2,,3276,2,
2021-01-14,6747,44478,1,6,,,44483,44483,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,569,,,1828,,,2312,,,2743,,,3212,,,3528,1,,3653,,,4633,,,3045,,,1670,1,,1408,,,1319,,,4882,,,5365,2,,4305,2,
2021-01-15,4743,49221,148,154,,,49374,49374,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,615,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1566,4,,1450,3,,6106,3,,6652,3,,5008,2,
2021-01-16,325,49546,,154,,,49699,49699,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,616,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1566,4,,1450,3,,6247,3,,6780,3,,5063,2,
2021-01-17,3,49549,1,155,,,49703,49703,,,,,60870,,59670,,1200,,,,,,,1,,,5,,,616,2,,1903,12,,2418,18,,2885,11,,3359,9,,3703,14,,3819,19,,4797,25,,3168,19,,1766,10,,1568,5,,1450,3,,6248,3,,6780,3,,5063,2,
2021-01-18,43,49592,166,321,,,49912,49912,,,,,70230,9360,69030,,1200,,,,,,,1,,,5,,,616,4,,1906,25,,2423,50,,2890,37,,3367,32,,3709,32,,3825,31,,4803,50,,3168,29,,1766,14,,1568,6,,1450,3,,6249,3,,6783,3,,5063,2,
2021-01-19,544,50136,1647,1968,,,52101,52035,66,,,,70230,,69030,,1200,,,,,,,1,,,5,,,632,10,,1942,36,,2440,73,,2924,72,,3411,76,,3763,99,,3870,119,,4866,134,,3215,87,,1788,71,,1582,88,,1461,119,,6276,213,,6843,308,,5117,463,
2021-01-20,1191,51327,3808,5776,,,57096,56777,319,,,,70230,,69030,,1200,,,,,,,1,,,5,,,648,27,,1977,83,,2489,145,,3001,176,,3487,204,,3866,265,,3958,304,,4965,441,,3274,293,,1819,261,,1609,312,,1502,369,,6448,697,,7034,929,,5244,1270,
2021-01-21,1289,52616,3490,9266,,,61874,61358,516,,,,70230,,69030,,1200,,,,,,,1,,,5,1,,668,46,,2029,152,,2538,270,,3074,363,,3565,450,,3953,529,,4055,660,,5069,825,,3316,568,,1839,464,,1637,506,,1532,536,,6611,942,,7274,1260,,5450,1694,
