leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;SARI_potrjeni_covid_popolnomacepljeni;SARI_potrjeni_covid_ostali_cepstatus;SARI_potrjeni_covid_np_cepstatus;SARI_potrjeni_covid_popolnomacepljeni_>65_let;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_SARI_covid;odpust_SARI_covid;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let
2021_09;391;376;224;2;222;0;2;54;15;11;38;230;38;70;82;67;1;0;0;0;6;14;45;64;71;23;0;0;0;0;2;3;8;16;8;1;0;0;0;0;0;0;1;10;9;18
2021_10;384;377;172;2;169;1;2;35;9;25;37;183;37;71;80;68;0;0;1;1;7;10;33;42;52;26;0;0;0;0;3;2;5;15;12;0;0;0;0;0;0;0;0;7;20;10
2021_11;454;444;236;3;227;6;2;39;4;38;33;173;47;67;79;64;0;0;2;0;12;23;56;66;57;20;0;0;0;0;4;5;13;15;10;0;0;0;0;0;0;0;5;5;12;11
2021_12;463;455;268;2;262;4;2;49;7;27;31;200;57;66;78;63;1;1;3;3;18;28;54;94;41;25;0;0;1;0;4;5;18;20;9;0;0;0;0;0;0;0;2;8;11;10
2021_13;464;454;301;2;294;5;2;45;7;15;51;206;61;65;76;65;5;0;2;5;11;34;75;92;55;22;0;0;0;1;1;7;16;27;9;0;0;0;0;0;1;1;3;16;20;10
2021_14;508;504;342;4;336;2;4;34;13;25;38;231;70;66;79;66;0;1;2;1;17;56;68;117;52;28;0;0;1;0;2;6;18;31;10;2;0;0;0;0;0;0;2;13;13;10
2021_15;472;465;312;8;301;3;8;50;9;31;27;278;61;65;80;61;0;0;1;3;22;53;70;85;46;32;0;0;0;0;5;12;14;27;3;0;0;0;0;0;0;0;4;4;7;12
2021_16;439;435;290;7;282;1;7;49;14;35;41;266;60;64;77;62;3;0;3;6;15;42;62;91;50;18;0;0;0;2;4;12;13;20;9;0;0;0;0;0;0;2;1;14;12;12
2021_17;376;368;249;0;246;3;0;37;7;14;40;227;50;63;76;61;0;0;1;7;18;42;62;70;37;12;0;0;1;1;3;9;11;21;4;0;0;0;0;0;0;0;4;18;9;9
2021_18;398;393;222;7;214;1;7;36;6;12;22;248;57;61;75;61;0;0;3;8;24;47;44;44;30;22;0;0;2;0;3;9;17;17;9;0;0;0;0;0;0;0;3;8;7;4
2021_19;344;337;166;7;157;2;7;34;9;3;22;220;40;65;78;64;3;0;0;3;11;24;38;37;30;20;0;0;0;0;2;5;12;15;5;1;0;0;0;0;1;0;1;5;6;9
2021_20;321;317;122;4;117;1;4;27;0;5;26;154;40;61;75;62;1;0;0;4;15;28;23;22;13;16;0;0;0;2;2;6;12;10;8;0;0;0;0;0;0;0;3;12;4;7
2021_21;255;254;87;2;85;0;2;11;2;1;19;124;27;63;77;63;1;0;1;2;9;16;15;13;23;7;0;0;1;1;0;3;7;8;6;1;0;0;0;0;0;0;3;5;4;7
