"date","pupils_infected_new.kindergarten","pupils_infected_new.elementary","pupils_infected_new.elementary_special","pupils_infected_new.music","pupils_infected_new.highscool","pupils_infected_new.dormitory","pupils_infected_new.institutions","employees_infected_new.kindergarten","employees_infected_new.elementary","employees_infected_new.elementary_special","employees_infected_new.music","employees_infected_new.highscool","employees_infected_new.dormitory","employees_infected_new.institutions","units_quaranteened_new.kindergarten","units_quaranteened_new.elementary","units_quaranteened_new.elementary_special","units_quaranteened_new.music","units_quaranteened_new.highscool","units_quaranteened_new.dormitory","units_quaranteened_new.institutions","pupils_quaranteened_new.kindergarten","pupils_quaranteened_new.elementary","pupils_quaranteened_new.elementary_special","pupils_quaranteened_new.music","pupils_quaranteened_new.highscool","pupils_quaranteened_new.dormitory","pupils_quaranteened_new.institutions","pupils_infected.kindergarten","pupils_infected.elementary","pupils_infected.elementary_special","pupils_infected.music","pupils_infected.highscool","pupils_infected.dormitory","pupils_infected.institutions","employees_infected.kindergarten","employees_infected.elementary","employees_infected.elementary_special","employees_infected.music","employees_infected.highscool","employees_infected.dormitory","employees_infected.institutions","units_quaranteened.kindergarten","units_quaranteened.elementary","units_quaranteened.elementary_special","units_quaranteened.music","units_quaranteened.highscool","units_quaranteened.dormitory","units_quaranteened.institutions","pupils_quaranteened.kindergarten","pupils_quaranteened.elementary","pupils_quaranteened.elementary_special","pupils_quaranteened.music","pupils_quaranteened.highscool","pupils_quaranteened.dormitory","pupils_quaranteened.institutions","teaching_remote.kindergarten","teaching_remote.elementary","teaching_remote.elementary_special","teaching_remote.music","teaching_remote.highscool","teaching_remote.dormitory","teaching_remote.institutions"
"2020-09-01",0,9,0,0,0,0,0,4,3,0,0,5,0,0,4,0,0,3,1,0,0,46,0,0,3,28,0,0,0,9,0,0,0,0,0,5,3,0,0,5,0,0,4,0,0,3,1,0,0,46,0,0,3,28,0,0,3,0,0,1,1,0,0
"2020-09-02",0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,13,25,0,0,0,0,0,0,10,0,0,2,0,0,5,5,0,0,5,0,0,5,1,0,3,1,0,0,59,25,0,3,28,0,0,4,1,0,1,1,0,0
"2020-09-03",0,9,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,22,87,0,0,0,19,0,1,3,0,0,5,9,0,0,5,0,0,5,1,0,9,4,0,0,59,25,0,25,115,0,0,4,1,0,2,4,0,0
"2020-09-04",0,3,0,0,0,0,0,0,6,0,0,0,0,0,2,7,0,0,0,0,0,38,113,0,0,0,0,0,0,22,0,1,3,0,0,5,15,0,0,5,0,0,7,8,0,9,4,0,0,97,138,0,25,115,0,0,5,4,0,2,4,0,0
"2020-09-05",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,3,0,0,5,17,0,0,5,0,0,7,8,0,9,4,0,0,97,138,0,25,115,0,0,5,4,0,2,4,0,0
"2020-09-06",0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,23,0,0,24,0,0,0,25,0,1,5,0,0,5,20,0,0,5,0,0,7,9,0,9,5,0,0,97,161,0,25,139,0,0,5,4,0,2,5,0,0
"2020-09-07",0,4,0,0,2,0,0,0,9,1,0,0,0,0,1,4,0,0,1,0,0,14,93,0,0,30,0,0,0,29,0,1,7,0,0,5,29,1,0,5,0,0,7,13,0,9,5,0,0,108,254,0,25,145,0,0,4,7,0,2,5,0,0
"2020-09-08",0,12,0,2,2,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,184,0,31,50,0,0,0,41,0,3,9,0,0,5,29,1,0,5,0,0,7,21,0,11,7,0,0,108,438,0,56,195,0,0,4,10,0,4,7,0,0
"2020-09-09",1,7,0,0,1,1,0,1,6,0,0,1,0,0,0,12,0,0,0,0,0,0,265,0,0,0,0,0,1,47,0,3,10,1,0,5,35,1,0,5,0,0,7,33,0,11,7,0,0,108,703,0,56,195,0,0,4,13,0,4,7,0,0
"2020-09-10",0,10,0,0,6,0,0,1,1,1,0,1,0,0,1,5,0,0,6,0,0,18,118,0,0,118,0,0,1,57,0,3,16,1,0,6,36,2,0,6,0,0,8,38,0,11,13,0,0,126,821,0,56,313,0,0,5,17,0,4,11,0,0
"2020-09-11",0,3,0,0,3,0,0,3,3,0,0,0,0,0,1,3,0,2,11,0,0,14,72,0,33,149,0,0,1,60,0,3,19,1,0,9,39,2,0,6,0,0,8,41,0,13,24,0,0,130,893,0,89,462,0,0,5,18,0,6,14,0,0
"2020-09-12",0,2,0,1,1,0,0,3,1,0,0,0,0,0,6,2,0,0,0,0,0,70,44,0,0,0,0,0,1,59,0,4,20,1,0,12,39,2,0,6,0,0,12,43,0,13,24,0,0,167,937,0,89,462,0,0,6,19,0,6,14,0,0
