Date,downloads.Android,downloads.Android.todate,downloads.iOS,downloads.iOS.todate,downloads.todate,TAN.issued,TAN.issued.todate,TAN.users,TAN.users.todate,TAN.SIusers,TAN.SIusers.todate
2020-08-17,4956,4956,,0,4956,,0,,0,,0
2020-08-18,18272,23228,,0,23228,,0,,0,,0
2020-08-19,5296,28524,,0,28524,,0,0,0,,0
2020-08-20,4568,33092,,0,33092,,0,0,0,,0
2020-08-21,2446,35538,,0,35538,,0,0,0,,0
2020-08-22,1813,37351,,0,37351,,0,0,0,,0
2020-08-23,1740,39091,,0,39091,,0,0,0,,0
2020-08-24,1985,41076,,0,41076,,0,0,0,,0
2020-08-25,2601,43677,,0,43677,,0,0,0,,0
2020-08-26,1435,45112,,0,45112,,0,0,0,,0
2020-08-27,1115,46227,,0,46227,,0,1,1,,0
2020-08-28,818,47045,,0,47045,,0,0,1,,0
2020-08-29,746,47791,,0,47791,,0,0,1,,0
2020-08-30,1077,48868,,0,48868,,0,0,1,,0
2020-08-31,721,49589,,0,49589,,0,1,2,,0
2020-09-01,1761,51350,,0,51350,,0,2,4,,0
2020-09-02,1783,53133,,0,53133,,0,1,5,,0
2020-09-03,1497,54630,,0,54630,,0,1,6,,0
2020-09-04,1273,55903,,0,55903,,0,0,6,,0
2020-09-05,770,56673,,0,56673,,0,2,8,,0
2020-09-06,770,57443,,0,57443,,0,0,8,,0
2020-09-07,1079,58522,,0,58522,,0,0,8,,0
2020-09-08,801,59323,,0,59323,,0,3,11,,0
2020-09-09,1133,60456,,0,60456,,0,0,11,,0
2020-09-10,13616,74072,,0,74072,,0,1,12,,0
2020-09-11,5139,79211,,0,79211,,0,4,16,,0
2020-09-12,5070,84281,,0,84281,,0,1,17,,0
2020-09-13,4271,88552,,0,88552,,0,3,20,,0
2020-09-14,2745,91297,,0,91297,,0,4,24,,0
2020-09-15,1675,92972,,0,92972,,0,4,28,,0
2020-09-16,2088,95060,,0,95060,,0,4,32,,0
2020-09-17,1102,96162,,0,96162,,0,5,37,,0
2020-09-18,829,96991,,0,96991,,0,3,40,,0
2020-09-19,574,97565,,0,97565,,0,1,41,,0
2020-09-20,592,98157,,0,98157,,0,5,46,,0
2020-09-21,522,98679,,0,98679,,0,2,48,,0
2020-09-22,672,99351,,0,99351,,0,2,50,,0
2020-09-23,502,99853,,0,99853,,0,8,58,,0
2020-09-24,648,100501,,0,100501,,0,3,61,,0
2020-09-25,953,101454,,0,101454,14,14,7,68,,0
2020-09-26,649,102103,,0,102103,4,18,2,70,,0
2020-09-27,535,102638,,0,102638,14,32,7,77,,0
2020-09-28,614,103252,,0,103252,9,41,3,80,,0
2020-09-29,466,103718,,0,103718,12,53,5,85,,0
2020-09-30,676,104394,,0,104394,14,67,11,96,,0
2020-10-01,513,104907,,0,104907,22,89,17,113,,0
2020-10-02,649,105556,,0,105556,23,112,10,123,,0
2020-10-03,445,106001,,0,106001,37,149,18,141,,0
2020-10-04,441,106442,,0,106442,11,160,10,151,,0
2020-10-05,461,106903,,0,106903,14,174,5,156,,0
2020-10-06,1308,108211,,0,108211,16,190,7,163,,0
2020-10-07,1729,109940,,0,109940,21,211,11,174,,0
2020-10-08,2059,111999,,0,111999,41,252,16,190,,0
2020-10-09,2315,114314,,0,114314,61,313,27,217,,0
2020-10-10,1029,115343,,0,115343,41,354,25,242,,0
2020-10-11,3453,118796,,0,118796,38,392,14,256,,0
2020-10-12,1804,120600,,0,120600,44,436,20,276,,0
2020-10-13,2761,123361,,0,123361,50,486,26,302,,0
2020-10-14,5777,129138,,0,129138,60,546,30,332,,0
2020-10-15,2941,132079,,0,132079,79,625,47,379,,0
2020-10-16,2521,134600,,0,134600,74,699,41,420,,0
2020-10-17,1796,136396,,0,136396,146,845,79,499,,0
2020-10-18,3187,139583,,0,139583,172,1017,71,570,,0
2020-10-19,11642,151225,,0,151225,152,1169,62,632,,0
2020-10-20,3212,154437,,0,154437,169,1338,104,736,,0
2020-10-21,3311,157748,,0,157748,187,1525,103,839,,0
2020-10-22,3264,161012,,0,161012,221,1746,109,948,,0
2020-10-23,1771,162783,,0,162783,223,1969,111,1059,,0
2020-10-24,1534,164317,,0,164317,182,2151,118,1177,,0
2020-10-25,1440,165757,,0,165757,166,2317,102,1279,,0
2020-10-26,1372,167129,,0,167129,177,2494,102,1381,,0
2020-10-27,1241,168370,,0,168370,203,2697,107,1488,,0
2020-10-28,1444,169814,,0,169814,247,2944,133,1621,,0
2020-10-29,1877,171691,,0,171691,211,3155,126,1747,,0
2020-10-30,925,172616,,0,172616,172,3327,101,1848,,0
2020-10-31,511,173127,,0,173127,274,3601,173,2021,,0
2020-11-01,557,173684,,0,173684,184,3785,101,2122,,0
2020-11-02,704,174388,,0,174388,209,3994,118,2240,,0
2020-11-03,487,174875,,0,174875,209,4203,97,2337,,0
2020-11-04,412,175287,,0,175287,220,4423,116,2453,,0
2020-11-05,333,175620,,0,175620,186,4609,105,2558,,0
2020-11-06,286,175906,,0,175906,173,4782,99,2657,,0
2020-11-07,221,176127,,0,176127,172,4954,99,2756,,0
2020-11-08,171,176298,,0,176298,202,5156,108,2864,,0
2020-11-09,238,176536,,0,176536,77,5233,37,2901,,0
2020-11-10,266,176802,,0,176802,220,5453,112,3013,,0
2020-11-11,390,177192,,0,177192,245,5698,132,3145,,0
2020-11-12,298,177490,,0,177490,182,5880,101,3246,,0
2020-11-13,339,177829,,0,177829,179,6059,94,3340,,0
2020-11-14,240,178069,,0,178069,182,6241,88,3428,,0
2020-11-15,254,178323,,0,178323,96,6337,52,3480,,0
2020-11-16,233,178556,,0,178556,109,6446,62,3542,,0
2020-11-17,258,178814,,0,178814,164,6610,115,3657,,0
2020-11-18,252,179066,,0,179066,165,6775,100,3757,,0
2020-11-19,261,179327,,0,179327,172,6947,116,3873,,0
2020-11-20,320,179647,,0,179647,146,7093,83,3956,,0
2020-11-21,216,179863,,0,179863,126,7219,89,4045,,0
2020-11-22,230,180093,,0,180093,79,7298,49,4094,,0
2020-11-23,192,180285,,0,180285,79,7377,41,4135,,0
2020-11-24,180,180465,,0,180465,141,7518,105,4240,,0
2020-11-25,174,180639,,0,180639,188,7706,122,4362,,0
2020-11-26,202,180841,,0,180841,132,7838,85,4447,,0
2020-11-27,178,181019,,0,181019,140,7978,98,4545,,0
2020-11-28,118,181137,,0,181137,86,8064,56,4601,,0
2020-11-29,168,181305,,0,181305,68,8132,43,4644,,0
2020-11-30,153,181458,,0,181458,68,8200,41,4685,,0
2020-12-01,155,181613,,0,181613,147,8347,102,4787,,0
2020-12-02,140,181753,,0,181753,150,8497,99,4886,,0
2020-12-03,112,181865,,0,181865,129,8626,92,4978,,0
2020-12-04,115,181980,,0,181980,112,8738,76,5054,,0
2020-12-05,97,182077,,0,182077,111,8849,79,5133,,0
2020-12-06,133,182210,,0,182210,87,8936,61,5194,,0
2020-12-07,126,182336,,0,182336,64,9000,35,5229,,0
2020-12-08,131,182467,,0,182467,123,9123,76,5305,,0
2020-12-09,123,182590,,0,182590,155,9278,95,5400,,0
2020-12-10,112,182702,,0,182702,103,9381,63,5463,,0
2020-12-11,124,182826,,0,182826,90,9471,61,5524,,0
2020-12-12,123,182949,,0,182949,88,9559,70,5594,,0
2020-12-13,10322,193271,,0,193271,81,9640,59,5653,,0
2020-12-14,41506,234777,,0,234777,488,10128,104,5757,,0
2020-12-15,23865,258642,,0,258642,777,10905,124,5881,,0
2020-12-16,13682,272324,,0,272324,938,11843,183,6064,,0
2020-12-17,10261,282585,,0,282585,866,12709,116,6180,,0
2020-12-18,10666,293251,,0,293251,1004,13713,142,6322,,0
2020-12-19,9985,303236,,0,303236,752,14465,107,6429,,0
2020-12-20,6501,309737,,0,309737,316,14781,48,6477,,0
2020-12-21,4912,314649,,0,314649,754,15535,99,6576,,0
2020-12-22,4134,318783,,0,318783,1645,17180,190,6766,,0
2020-12-23,2949,321732,,0,321732,1633,18813,211,6977,,0
2020-12-24,1379,323111,,0,323111,1462,20275,143,7120,,0
2020-12-25,1061,324172,,0,324172,328,20603,52,7172,,0
2020-12-26,824,324996,,0,324996,399,21002,66,7238,,0
2020-12-27,654,325650,,0,325650,413,21415,71,7309,,0
2020-12-28,488,326138,,0,326138,1321,22736,154,7463,,0
2020-12-29,498,326636,,0,326636,1855,24591,221,7684,,0
2020-12-30,468,327104,,0,327104,1973,26564,233,7917,,0
2020-12-31,366,327470,,0,327470,1521,28085,191,8108,,0
2021-01-01,300,327770,,0,327770,309,28394,34,8142,,0
2021-01-02,333,328103,,0,328103,474,28868,65,8207,,0
2021-01-03,337,328440,,0,328440,487,29355,70,8277,,0
2021-01-04,301,328741,,0,328741,1601,30956,202,8479,,0
2021-01-05,284,329025,,0,329025,2730,33686,274,8753,,0
2021-01-06,272,329297,,0,329297,2163,35849,237,8990,,0
2021-01-07,239,329536,,0,329536,1631,37480,168,9158,,0
2021-01-08,283,329819,,0,329819,1558,39038,169,9327,,0
2021-01-09,235,330054,,0,330054,579,39617,75,9402,,0
2021-01-10,212,330266,,0,330266,290,39907,42,9444,,0
2021-01-11,201,330467,,0,330467,1193,41100,105,9549,,0
2021-01-12,169,330636,,0,330636,1732,42832,162,9711,,0
2021-01-13,183,330819,,0,330819,1390,44222,150,9861,,0
2021-01-14,251,331070,,0,331070,1181,45403,117,9978,,0
2021-01-15,236,331306,,0,331306,1225,46628,94,10072,,0
2021-01-16,189,331495,,0,331495,542,47170,64,10136,,0
2021-01-17,171,331666,,0,331666,252,47422,37,10173,,0
2021-01-18,151,331817,,0,331817,1193,48615,114,10287,,0
2021-01-19,141,331958,,0,331958,1389,50004,136,10423,,0
2021-01-20,138,332096,,0,332096,1162,51166,115,10538,,0
2021-01-21,123,332219,,0,332219,1076,52242,109,10647,,0
2021-01-22,240,332459,,0,332459,1156,53398,121,10768,,0
2021-01-23,142,332601,,0,332601,515,53913,53,10821,,0
2021-01-24,142,332743,,0,332743,237,54150,42,10863,,0
2021-01-25,165,332908,,0,332908,1177,55327,117,10980,,0
2021-01-26,134,333042,,0,333042,1539,56866,161,11141,,0
2021-01-27,114,333156,,0,333156,1263,58129,115,11256,,0
2021-01-28,99,333255,,0,333255,1095,59224,125,11381,,0
2021-01-29,118,333373,,0,333373,983,60207,104,11485,,0
2021-01-30,211,333584,,0,333584,544,60751,51,11536,,0
2021-01-31,83,333667,,0,333667,299,61050,36,11572,,0
2021-02-01,102,333769,,0,333769,1179,62229,106,11678,,0
2021-02-02,92,333861,,0,333861,1297,63526,119,11797,,0
2021-02-03,88,333949,,0,333949,1070,64596,87,11884,,0
2021-02-04,93,334042,,0,334042,804,65400,69,11953,,0
2021-02-05,78,334120,,0,334120,726,66126,64,12017,,0
2021-02-06,57,334177,,0,334177,567,66693,58,12075,,0
2021-02-07,61,334238,,0,334238,246,66939,29,12104,,0
2021-02-08,61,334299,,0,334299,291,67230,29,12133,,0
2021-02-09,77,334376,,0,334376,1235,68465,77,12210,,0
2021-02-10,64,334440,,0,334440,1264,69729,806,13016,,0
2021-02-11,61,334501,,0,334501,1047,70776,1076,14092,,0
2021-02-12,139,334640,,0,334640,951,71727,954,15046,,0
2021-02-13,64,334704,,0,334704,625,72352,957,16003,,0
2021-02-14,44,334748,,0,334748,333,72685,681,16684,,0
2021-02-15,43,334791,,0,334791,657,73342,1010,17694,,0
2021-02-16,50,334841,,0,334841,974,74316,2059,19753,,0
2021-02-17,42,334883,,0,334883,769,75085,2095,21848,,0
2021-02-18,55,334938,,0,334938,717,75802,2071,23919,,0
2021-02-19,55,334993,,0,334993,850,76652,2220,26139,,0
2021-02-20,48,335041,,0,335041,407,77059,1943,28082,,0
2021-02-21,32,335073,,0,335073,234,77293,1241,29323,,0
2021-02-22,58,335131,,0,335131,702,77995,1424,30747,,0
2021-02-23,50,335181,,0,335181,969,78964,2150,32897,,0
2021-02-24,43,335224,,0,335224,744,79708,2154,35051,,0
2021-02-25,38,335262,,0,335262,834,80542,2179,37230,,0
2021-02-26,36,335298,,0,335298,849,81391,2240,39470,,0
2021-02-27,32,335330,,0,335330,422,81813,1950,41420,,0
2021-02-28,55,335385,,0,335385,213,82026,1217,42637,,0
2021-03-01,42,335427,,0,335427,589,82615,1397,44034,,0
2021-03-02,52,335479,,0,335479,1028,83643,2298,46332,,0
2021-03-03,42,335521,,0,335521,930,84573,2330,48662,,0
2021-03-04,54,335575,,0,335575,758,85331,2028,50690,,0
2021-03-05,47,335622,,0,335622,786,86117,2270,52960,,0
2021-03-06,43,335665,,0,335665,382,86499,2017,54977,,0
2021-03-07,36,335701,,0,335701,180,86679,1275,56252,,0
2021-03-08,31,335732,,0,335732,633,87312,1494,57746,,0
2021-03-09,53,335785,,0,335785,824,88136,2691,60437,,0
2021-03-10,43,335828,,0,335828,762,88898,2769,63206,,0
2021-03-11,45,335873,,0,335873,664,89562,2771,65977,,0
2021-03-12,38,335911,,0,335911,549,90111,3145,69122,,0
2021-03-13,36,335947,,0,335947,692,90803,2746,71868,,0
2021-03-14,27,335974,,0,335974,183,90986,1639,73507,,0
2021-03-15,47,336021,,0,336021,772,91758,2062,75569,,0
2021-03-16,37,336058,,0,336058,717,92475,3518,79087,,0
2021-03-17,34,336092,,0,336092,981,93456,3667,82754,,0
2021-03-18,50,336142,,0,336142,820,94276,3452,86206,,0
2021-03-19,40,336182,,0,336182,915,95191,3863,90069,,0
2021-03-20,31,336213,,0,336213,480,95671,3502,93571,,0
2021-03-21,34,336247,,0,336247,249,95920,2112,95683,,0
2021-03-22,30,336277,,0,336277,777,96697,2532,98215,,0
2021-03-23,60,336337,,0,336337,1201,97898,4636,102851,,0
2021-03-24,58,336395,,0,336395,1061,98959,4904,107755,,0
2021-03-25,47,336442,,0,336442,931,99890,4721,112476,,0
2021-03-26,35,336477,,0,336477,1090,100980,4747,117223,,0
2021-03-27,35,336512,,0,336512,654,101634,4143,121366,,0
2021-03-28,44,336556,,0,336556,277,101911,2534,123900,,0
2021-03-29,46,336602,,0,336602,932,102843,3010,126910,,0
2021-03-30,50,336652,,0,336652,1368,104211,4773,131683,,0
2021-03-31,55,336707,,0,336707,1228,105439,5085,136768,,0
2021-04-01,49,336756,,0,336756,1062,106501,4702,141470,,0
2021-04-02,50,336806,,0,336806,1106,107607,4113,145583,,0
2021-04-03,29,336835,,0,336835,694,108301,2854,148437,,0
2021-04-04,34,336869,,0,336869,263,108564,2329,150766,,0
2021-04-05,43,336912,,0,336912,235,108799,2168,152934,,0
2021-04-06,47,336959,,0,336959,1028,109827,3067,156001,,0
2021-04-07,39,336998,,0,336998,1370,111197,5113,161114,103,103
2021-04-08,38,337036,,0,337036,1136,112333,5121,166235,93,196
2021-04-09,41,337077,,0,337077,1128,113461,5241,171476,85,281
2021-04-10,34,337111,,0,337111,556,114017,4070,175546,42,323
2021-04-11,31,337142,,0,337142,262,114279,2497,178043,16,339
2021-04-12,46,337188,,0,337188,896,115175,2898,180941,60,399
2021-04-13,30,337218,,0,337218,1130,116305,5233,186174,80,479
2021-04-14,87,337305,,0,337305,781,117086,5130,191304,51,530
2021-04-15,102,337407,,0,337407,734,117820,4529,195833,36,566
2021-04-16,86,337493,,0,337493,660,118480,4463,200296,32,598
