Datum,Pridobivanje uporabnikov
01.09.2020,345
02.09.2020,1222
03.09.2020,480
04.09.2020,442
05.09.2020,207
06.09.2020,186
07.09.2020,159
08.09.2020,153
09.09.2020,199
10.09.2020,1496
11.09.2020,893
12.09.2020,520
13.09.2020,492
14.09.2020,353
15.09.2020,178
16.09.2020,212
17.09.2020,150
18.09.2020,131
19.09.2020,91
20.09.2020,92
21.09.2020,84
22.09.2020,92
23.09.2020,88
24.09.2020,77
25.09.2020,103
26.09.2020,109
27.09.2020,79
28.09.2020,82
29.09.2020,60
30.09.2020,80
01.10.2020,72
02.10.2020,98
03.10.2020,78
04.10.2020,56
05.10.2020,42
06.10.2020,127
07.10.2020,207
08.10.2020,179
09.10.2020,293
10.10.2020,141
11.10.2020,360
12.10.2020,256
13.10.2020,273
14.10.2020,543
15.10.2020,482
16.10.2020,250
17.10.2020,194
18.10.2020,298
19.10.2020,1278
20.10.2020,573
21.10.2020,324
22.10.2020,324
23.10.2020,211
24.10.2020,198
25.10.2020,175
26.10.2020,199
27.10.2020,183
28.10.2020,173
29.10.2020,184
30.10.2020,192
31.10.2020,93
01.11.2020,79
02.11.2020,85
03.11.2020,63
04.11.2020,74
05.11.2020,57
06.11.2020,58
07.11.2020,50
08.11.2020,33
09.11.2020,46
10.11.2020,53
11.11.2020,70
12.11.2020,59
13.11.2020,74

