ZAVSIFMAT,ZAVMATNAZ,ZAVSIF,ZAVNAZ,KAT_MAT,KATEGORIJA,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBD_SIF,OBDOBJE,STEV_UCENCEV,DOG_SIF,DOGODEK,VZROK_SIF,VZROK
1000,"Center za komunikacijo, sluh in govor Portorož",1000,"Center za komunikacijo, sluh in govor Portorož",4010,4010,Obalno-kraška,Piran,21.10.2020,23.10.2020,21.10.2020,1043,1. razred,6,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,19.10.2020,23.10.2020,21.10.2020,1043,1. razred,4,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,21.10.2020,29.10.2020,21.10.2020,1042,Komb. 1. in 2. star. obd.,7,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,25.01.2021,29.01.2021,24.01.2021,1043,1. razred,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,28.01.2021,06.02.2021,27.01.2021,1048,6. razred,3,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,28.01.2021,06.02.2021,27.01.2021,1049,7. razred,2,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",1001,"Center IRIS - Center za izobraževanje, rehabilitacijo, inkluzijo in svetovanje za slepe in slabovidne",4010,4010,Osrednjeslovenska,Ljubljana,28.01.2021,06.02.2021,27.01.2021,1051,9. razred,4,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3061,Okužba s Covid-19 pri učitelju
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,07.10.2020,16.10.2020,19.10.2020,1046,4. razred,2,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,07.10.2020,16.10.2020,19.10.2020,1050,8. razred,8,2012,Karantena za celoten oddelek - pouk oz. vzgojno delo poteka na daljavo,3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",1002,"Center za izobraževanje, rehabilitacijo in usposabljanje Kamnik",4010,4010,Osrednjeslovenska,Kamnik,09.10.2020,18.10.2020,19.10.2020,1048,6. razred,1,2011,"Pouk oz. vzgojno delo poteka na prilagojen / spremenjen način (manjše skupine, zaščitne maske, dodatna razkuževanja ...)",3060,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka
