leto_teden;SARI_sprejeti;SARI_testirani;SARI_potrjeni_covid;SARI_potrjeni_covid_popolnomacepljeni;SARI_potrjeni_covid_ostali_cepstatus;SARI_potrjeni_covid_np_cepstatus;SARI_potrjeni_covid_popolnomacepljeni_>65_let;neSARI_potrjeni_covid;hosp_odkriti_covid;hosp_pridobljeni_covid;smrt_SARI_covid;odpust_SARI_covid;SARI_covid_EIZ;povpstar_SARI_covid;povpstar_umrli_SARI_covid;povprstar_SARI_covid_EIZ;SARI_potrjeni_covid_<5_let ;SARI_potrjeni_covid_5-14_let;SARI_potrjeni_covid_15-24_let;SARI_potrjeni_covid_25-34_let;SARI_potrjeni_covid_35-44_let;SARI_potrjeni_covid_45-54_let;SARI_potrjeni_covid_55-64_let;SARI_potrjeni_covid_65-74_let;SARI_potrjeni_covid_75-84_let;SARI_potrjeni_covid_>85_let;SARI_covid_EIZ_<5_let ;SARI_covid_EIZ_5-14_let;SARI_covid_EIZ_15-24_let;SARI_covid_EIZ_25-34_let;SARI_covid_EIZ_35-44_let;SARI_covid_EIZ_45-54_let;SARI_covid_EIZ_55-64_let;SARI_covid_EIZ_65-74_let;SARI_covid_EIZ_75-84_let;SARI_covid_EIZ_>85_let;smrt_SARI_covid_<5_let ;smrt_SARI_covid_5-14_let;smrt_SARI_covid_15-24_let;smrt_SARI_covid_25-34_let;smrt_SARI_covid_35-44_let;smrt_SARI_covid_45-54_let;smrt_SARI_covid_55-64_let;smrt_SARI_covid_65-74_let;smrt_SARI_covid_75-84_let;smrt_SARI_covid_>85_let
2021_09;392;377;225;2;222;1;2;54;15;11;38;230;38;70;82;67;1;0;0;0;6;14;46;64;71;23;0;0;0;0;2;3;8;16;8;1;0;0;0;0;0;0;1;10;9;18
2021_10;388;381;176;2;169;5;2;35;9;25;37;183;37;71;80;68;0;0;1;1;7;10;35;42;54;26;0;0;0;0;3;2;5;15;12;0;0;0;0;0;0;0;0;7;20;10
2021_11;455;445;237;3;230;4;2;39;4;38;33;173;47;67;79;64;0;0;2;;12;23;56;66;57;21;0;0;0;0;4;5;13;15;10;0;0;0;0;0;0;0;5;5;12;11
2021_12;471;463;276;2;262;12;2;49;7;27;31;200;57;66;78;63;1;1;3;3;20;28;54;94;47;25;0;0;1;0;4;5;18;20;9;0;0;0;0;0;0;0;2;8;11;10
2021_13;471;461;308;2;296;10;2;45;7;15;51;206;61;65;76;65;5;0;2;5;12;35;75;94;58;22;0;0;0;1;1;7;16;27;9;0;0;0;0;0;1;1;3;16;20;10
2021_14;509;505;343;4;336;3;4;34;13;25;38;231;70;66;79;66;0;1;2;1;17;55;70;117;52;28;0;0;1;0;2;6;18;31;10;2;0;0;0;0;0;0;2;13;13;10
2021_15;473;466;313;8;302;3;8;50;9;31;27;278;61;65;80;61;0;0;1;3;22;53;70;86;46;32;0;0;0;0;5;12;14;27;3;0;0;0;0;0;0;0;4;4;7;12
2021_16;450;446;301;7;282;12;7;49;14;35;41;266;60;64;77;62;3;0;3;6;15;43;64;97;51;19;0;0;0;2;4;12;13;20;9;0;0;0;0;0;0;2;1;14;12;12
2021_17;385;377;258;0;246;12;0;37;7;14;40;227;50;63;76;61;0;0;1;7;18;44;65;74;37;12;0;0;1;1;3;9;11;21;4;0;0;0;0;0;0;0;4;18;9;9
2021_18;405;400;229;7;215;7;7;36;6;12;22;248;57;61;75;61;0;0;3;8;25;49;47;45;30;22;0;0;2;0;3;9;17;17;9;0;0;0;0;0;0;0;3;8;7;4
2021_19;348;341;170;7;157;6;7;34;9;3;22;220;40;65;78;64;3;0;0;3;11;25;39;38;30;21;0;0;0;0;2;5;12;15;5;1;0;0;0;0;1;0;1;5;6;9
2021_20;326;322;127;4;117;6;4;27;0;5;26;154;40;61;75;62;1;0;0;4;15;30;23;24;13;17;0;0;0;2;2;6;12;10;8;0;0;0;0;0;0;0;3;12;4;7
2021_21;259;258;91;2;85;4;2;11;2;1;19;124;27;63;77;63;1;0;1;2;9;17;16;14;23;8;0;0;1;1;0;3;7;8;6;1;0;0;0;0;0;0;3;5;4;7
2021_22;280;277;87;6;73;8;3;12;2;0;15;95;14;62;75;68;0;0;3;2;7;12;21;17;20;5;0;0;0;0;0;2;2;5;5;0;0;0;0;0;0;0;4;3;5;3
2021_23;230;221;56;3;52;1;3;7;0;0;17;97;14;60;75;57;1;0;1;2;8;11;8;9;13;3;0;0;0;0;2;5;2;3;2;0;0;0;0;0;0;1;2;4;7;3
2021_24;236;225;36;5;30;1;5;12;0;0;10;56;8;63;74;61;0;0;0;3;3;7;9;2;5;7;0;0;0;0;2;1;1;2;2;0;0;0;0;0;0;1;1;4;2;2
2021_25;174;158;14;0;14;0;0;5;0;0;5;38;2;55;78;36;0;0;1;0;2;3;4;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;1
2021_26;156;145;13;1;10;2;1;2;1;0;1;19;3;67;68;61;0;0;0;0;1;1;4;3;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0
2021_27;171;156;11;0;9;2;0;4;1;0;4;19;2;55;81;70;0;0;0;0;2;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;2
2021_28;190;180;4;1;3;0;1;0;0;0;0;14;1;56;;44;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021_29;168;165;7;1;6;0;1;4;1;0;2;4;3;69;70;60;0;0;0;1;0;0;2;1;1;2;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
2021_30;173;165;18;0;14;4;0;2;1;0;1;14;3;47;67;66;3;2;0;2;1;1;1;4;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0
2021_31;155;150;15;3;12;0;3;6;0;0;3;9;3;61;62;62;0;0;0;1;2;4;1;4;1;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;2;0;0
2021_32;203;194;30;3;27;0;3;7;0;0;1;17;5;65;59;65;0;0;0;2;2;5;8;3;4;6;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;1;0;0;0
2021_33;183;180;40;7;32;1;5;25;2;0;9;19;15;61;81;65;0;0;0;1;5;7;10;10;5;2;0;0;0;0;1;0;7;6;0;1;0;0;0;0;0;0;1;2;1;5
2021_34;283;264;109;22;86;1;12;22;3;3;6;41;15;58;80;61;0;0;4;11;7;22;28;15;15;7;0;0;1;0;1;2;5;3;3;0;0;0;0;0;0;0;0;1;3;2
2021_35;356;351;156;28;126;2;23;20;1;1;5;70;35;61;79;58;0;0;4;5;12;43;22;37;18;15;0;0;1;1;2;12;5;12;2;0;0;0;0;0;0;0;0;2;1;2
2021_36;404;395;185;41;143;1;33;23;6;22;14;109;44;64;79;59;0;2;0;3;22;28;35;42;35;18;0;0;0;1;8;8;8;15;4;0;0;0;0;0;0;1;0;3;6;4
2021_37;430;430;219;59;159;1;51;19;10;8;26;135;58;65;80;63;3;0;0;5;21;35;37;50;39;29;0;0;0;1;3;10;16;15;11;2;0;0;0;0;0;1;1;4;9;11
2021_38;495;489;226;52;172;2;43;39;3;15;29;147;53;64;81;63;1;0;4;4;22;29;48;49;51;18;0;0;0;1;4;7;13;21;6;1;0;0;0;0;0;0;0;9;10;10
2021_39;473;471;243;53;190;0;39;40;14;7;31;183;61;62;72;61;5;0;1;5;23;36;62;50;30;31;0;0;0;2;6;7;20;19;6;1;0;0;0;0;1;1;4;11;11;3
2021_40;470;461;197;53;143;1;39;38;18;8;35;179;49;65;74;62;1;1;0;6;12;28;46;42;40;21;0;0;0;2;5;6;16;10;9;1;0;0;0;0;1;1;6;10;7;10
2021_41;490;489;188;48;139;1;36;43;9;19;21;147;46;65;82;63;1;1;0;0;19;37;32;34;41;24;0;0;0;0;3;11;9;13;9;1;0;0;0;0;0;1;1;3;4;12
2021_42;574;570;278;97;181;0;75;70;8;27;40;173;58;68;76;68;2;0;0;7;18;31;46;60;70;44;0;0;0;1;1;5;13;19;17;2;0;0;0;0;1;0;7;7;13;12
2021_43;688;687;407;138;266;3;110;65;5;31;53;237;94;66;78;61;6;1;2;7;33;46;68;100;85;58;0;0;1;1;12;16;24;28;11;1;0;0;0;0;0;1;7;8;22;15
2021_44;779;779;530;177;349;4;140;97;22;33;67;244;100;67;81;63;5;0;3;20;32;67;92;114;106;91;0;0;0;3;5;17;25;29;19;2;0;0;0;0;0;0;5;12;24;26
