,datum,WWTP,Statistična_regija,Različica.virusa,Delež.različice
0,2022-11-08,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.999999954650874
1,2022-11-07,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.985099889969572
2,2022-11-07,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.9999999957980258
3,2022-11-07,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.993322239997152
4,2022-11-08,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9503975999661411
5,2022-11-08,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.9888261299499068
6,2022-11-08,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.8492011999928362
7,2022-10-10,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.992425359997032
8,2022-10-10,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.9977119998297848
9,2022-10-11,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9907079595907984
10,2022-10-11,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.9640449996549988
11,2022-10-11,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.9535085407772445
12,2022-10-11,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9757597319370592
13,2022-10-10,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.9933231379651024
14,2022-10-10,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.98598796005227
15,2022-12-13,CČN_Slovenj_Gradec,Koroška,BA.5* [Omicron (BA.5.X)],0.9364865999853528
16,2022-12-12,ČN_Domžale_Kamnik,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.5405526808640715
17,2022-12-12,ČN_Kranj,Gorenjska,BA.5* [Omicron (BA.5.X)],0.842104978425508
18,2022-12-13,ČN_Celje,Savinjska,BA.5* [Omicron (BA.5.X)],0.7960195966210774
19,2022-12-13,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.4945081099969793
20,2022-12-12,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.4446679999739963
21,2022-12-13,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.6431932297525175
22,2022-12-12,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.9384875099624448
23,2022-12-12,CČN_Postojna,Primorsko-notranjska,BA.5* [Omicron (BA.5.X)],0.9299160964733216
24,2022-12-12,ČN_Maribor,Podravska,BA.5* [Omicron (BA.5.X)],0.7093908798455989
25,2022-12-13,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.8505147494491964
26,2022-12-13,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.9688111999994944
27,2022-12-13,CČN_Trbovlje,Zasavska,BA.5* [Omicron (BA.5.X)],0.8246214800596848
28,2022-09-13,OČN_Šaleške doline,Savinjska,BA.5* [Omicron (BA.5.X)],0.9953651567122136
29,2022-09-13,ČN_Novo_mesto,Jugovzhodna Slovenija,BA.5* [Omicron (BA.5.X)],0.9999999999531146
30,2022-09-13,CČN_Litija_in_Šmartno_pri_Litiji,Zasavska,BA.5* [Omicron (BA.5.X)],0.9999999937073546
31,2022-09-13,CČN_Murska_Sobota,Pomurska,BA.5* [Omicron (BA.5.X)],0.992619945953482
32,2022-09-12,ČN_Nova_Gorica,Goriška,BA.5* [Omicron (BA.5.X)],0.8662724799278197
33,2022-09-13,CČN_Zagorje,Zasavska,BA.5* [Omicron (BA.5.X)],0.963664499559799
34,2022-09-12,CČN_Ljubljana,Osrednjeslovenska,BA.5* [Omicron (BA.5.X)],0.9986910924268452
35,2022-09-13,ČN_Koper,Obalno-kraška,BA.5* [Omicron (BA.5.X)],0.9961829999739008
36,2022-09-08,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9971215099879563
37,2022-09-13,CČN_Brežice,Posavska,BA.5* [Omicron (BA.5.X)],0.9971215099879563
